"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,1,2,1,2,"2;1","YKTipadM",100,4,8,1,1.6,1
2,0.772439631884013,2,2,1,4,"2;1","YKTipadM",100,4,8,1,1.6,1
3,1.02300654722907,1,3,1,7,"2;1","YKTipadM",100,4,8,1,1.6,1
4,1.03558505935769,1,7,1,14,"2;1","YKTipadM",100,4,8,1,1.6,1
5,0.762720769015101,1,3,1,17,"2;1","YKTipadM",100,4,8,1,1.6,1
6,1.37318557908266,1,4,1,21,"2;1","YKTipadM",100,4,8,1,1.6,1
7,0.580441271818901,1,3,1,24,"2;1","YKTipadM",100,4,8,1,1.6,1
8,0.575324825553081,1,5,1,29,"2;1","YKTipadM",100,4,8,1,1.6,1
9,0.625398652064761,1,5,1,34,"2;1","YKTipadM",100,4,8,1,1.6,1
10,0.5,1,2,1,36,"2;1","YKTipadM",100,4,8,1,1.6,1
11,0.5,1,4,1,40,"2;1","YKTipadM",100,4,8,1,1.6,1
12,0.5,1,1,1,41,"2;1","YKTipadM",100,4,8,1,1.6,1
13,0.600552587130852,1,5,1,46,"2;1","YKTipadM",100,4,8,1,1.6,1
14,0.714503753943947,1,3,1,49,"2;1","YKTipadM",100,4,8,1,1.6,1
15,0.587236557300046,1,5,1,54,"2;1","YKTipadM",100,4,8,1,1.6,1
16,0.5,1,3,1,57,"2;1","YKTipadM",100,4,8,1,1.6,1
17,0.887459002613394,1,3,1,60,"2;1","YKTipadM",100,4,8,1,1.6,1
18,0.762401659939001,1,3,1,63,"2;1","YKTipadM",100,4,8,1,1.6,1
19,0.5,1,4,1,67,"2;1","YKTipadM",100,4,8,1,1.6,1
20,0.717456811202829,2,3,1,70,"2;1","YKTipadM",100,4,8,1,1.6,1
1,0.5,2,7,2,7,"2;1","YKTipadM",100,4,8,1,1.6,1
2,0.524691077063914,1,13,2,20,"2;1","YKTipadM",100,4,8,1,1.6,1
3,0.5,1,-1,2,19,"2;1","YKTipadM",100,4,8,1,1.6,1
4,0.55882057477854,2,6,2,25,"2;1","YKTipadM",100,4,8,1,1.6,1
5,1.0435094035195,2,4,2,29,"2;1","YKTipadM",100,4,8,1,1.6,1
6,0.951672398287587,2,4,2,33,"2;1","YKTipadM",100,4,8,1,1.6,1
7,0.690605429287354,2,3,2,36,"2;1","YKTipadM",100,4,8,1,1.6,1
8,1.07986755465613,2,-1,2,35,"2;1","YKTipadM",100,4,8,1,1.6,1
9,0.866961794249416,1,2,2,37,"2;1","YKTipadM",100,4,8,1,1.6,1
10,0.859413718973061,1,8,2,45,"2;1","YKTipadM",100,4,8,1,1.6,1
11,0.82203777688887,2,3,2,48,"2;1","YKTipadM",100,4,8,1,1.6,1
12,1.06803969334755,1,9,2,57,"2;1","YKTipadM",100,4,8,1,1.6,1
13,0.581758494833122,1,0,2,57,"2;1","YKTipadM",100,4,8,1,1.6,1
14,0.900961491510902,1,0,2,57,"2;1","YKTipadM",100,4,8,1,1.6,1
15,0.615574758795194,1,20,2,77,"2;1","YKTipadM",100,4,8,1,1.6,1
16,0.601945560214528,1,-5,2,72,"2;1","YKTipadM",100,4,8,1,1.6,1
17,1.08596440590337,1,10,2,82,"2;1","YKTipadM",100,4,8,1,1.6,1
18,1.11195806568009,1,-5,2,77,"2;1","YKTipadM",100,4,8,1,1.6,1
19,0.608965238553589,1,7,2,84,"2;1","YKTipadM",100,4,8,1,1.6,1
20,0.5,1,-21,2,63,"2;1","YKTipadM",100,4,8,1,1.6,1
21,0.957913926179253,1,23,2,86,"2;1","YKTipadM",100,4,8,1,1.6,1
22,0.5,1,11,2,97,"2;1","YKTipadM",100,4,8,1,1.6,1
23,0.545220316367529,1,-4,2,93,"2;1","YKTipadM",100,4,8,1,1.6,1
24,0.968287588922504,1,10,2,103,"2;1","YKTipadM",100,4,8,1,1.6,1
25,0.977751894070476,2,6,2,109,"2;1","YKTipadM",100,4,8,1,1.6,1
1,0.5,1,1,3,1,"1;2","YKTipadM",100,4,8,1,1.6,1
2,0.761895374183837,2,-3,3,-2,"1;2","YKTipadM",100,4,8,1,1.6,1
3,1.05236894530155,1,6,3,4,"1;2","YKTipadM",100,4,8,1,1.6,1
4,1.13410641231216,1,3,3,7,"1;2","YKTipadM",100,4,8,1,1.6,1
5,1.30965428162199,1,3,3,10,"1;2","YKTipadM",100,4,8,1,1.6,1
6,0.611763975022124,1,3,3,13,"1;2","YKTipadM",100,4,8,1,1.6,1
7,0.710513226350593,1,1,3,14,"1;2","YKTipadM",100,4,8,1,1.6,1
8,0.759038463502485,2,13,3,27,"1;2","YKTipadM",100,4,8,1,1.6,1
9,1.33769295907813,2,11,3,38,"1;2","YKTipadM",100,4,8,1,1.6,1
10,0.597666444909756,2,0,3,38,"1;2","YKTipadM",100,4,8,1,1.6,1
11,0.96723279466277,2,-17,3,21,"1;2","YKTipadM",100,4,8,1,1.6,1
