"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.935886243871927,2,4,1,4,"1;2","YPLbmRSi",100,4,4,0,0.8,3
2,0.544513772502373,2,7,1,11,"1;2","YPLbmRSi",100,4,4,0,0.8,3
3,0.649652709098957,2,0,1,11,"1;2","YPLbmRSi",100,4,4,0,0.8,3
4,0.734078233213669,2,4,1,15,"1;2","YPLbmRSi",100,4,4,0,0.8,3
5,0.72875703972118,2,-2,1,13,"1;2","YPLbmRSi",100,4,4,0,0.8,3
6,0.899647296708455,2,4,1,17,"1;2","YPLbmRSi",100,4,4,0,0.8,3
7,0.691640866795728,2,6,1,23,"1;2","YPLbmRSi",100,4,4,0,0.8,3
8,0.946565728048407,2,6,1,29,"1;2","YPLbmRSi",100,4,4,0,0.8,3
9,0.537343860612186,2,2,1,31,"1;2","YPLbmRSi",100,4,4,0,0.8,3
10,0.843203119316279,2,3,1,34,"1;2","YPLbmRSi",100,4,4,0,0.8,3
11,0.501769731772139,2,5,1,39,"1;2","YPLbmRSi",100,4,4,0,0.8,3
12,0.5679700308825,2,2,1,41,"1;2","YPLbmRSi",100,4,4,0,0.8,3
13,0.736095463904518,2,7,1,48,"1;2","YPLbmRSi",100,4,4,0,0.8,3
14,0.533524757817478,2,4,1,52,"1;2","YPLbmRSi",100,4,4,0,0.8,3
15,0.537720643017959,2,1,1,53,"1;2","YPLbmRSi",100,4,4,0,0.8,3
16,0.5,2,0,1,53,"1;2","YPLbmRSi",100,4,4,0,0.8,3
17,0.665068919481547,1,9,1,62,"1;2","YPLbmRSi",100,4,4,0,0.8,3
18,0.720268081147285,2,-3,1,59,"1;2","YPLbmRSi",100,4,4,0,0.8,3
19,0.708382382089256,2,4,1,63,"1;2","YPLbmRSi",100,4,4,0,0.8,3
20,0.618128618895881,2,2,1,65,"1;2","YPLbmRSi",100,4,4,0,0.8,3
1,0.6154518391238,1,-10,2,-10,"2;1","YPLbmRSi",100,4,4,0,0.8,3
2,0.850791780182381,2,4,2,-6,"2;1","YPLbmRSi",100,4,4,0,0.8,3
3,0.766723739058852,1,5,2,-1,"2;1","YPLbmRSi",100,4,4,0,0.8,3
4,0.907975307734062,1,8,2,7,"2;1","YPLbmRSi",100,4,4,0,0.8,3
5,0.724741906067951,1,23,2,30,"2;1","YPLbmRSi",100,4,4,0,0.8,3
6,0.720597303898004,1,0,2,30,"2;1","YPLbmRSi",100,4,4,0,0.8,3
7,0.536317672325112,1,-1,2,29,"2;1","YPLbmRSi",100,4,4,0,0.8,3
8,1.33056014946432,1,7,2,36,"2;1","YPLbmRSi",100,4,4,0,0.8,3
9,0.5,1,5,2,41,"2;1","YPLbmRSi",100,4,4,0,0.8,3
10,0.785077667165446,1,8,2,49,"2;1","YPLbmRSi",100,4,4,0,0.8,3
11,0.561228532102544,1,2,2,51,"2;1","YPLbmRSi",100,4,4,0,0.8,3
12,0.98162853796426,1,11,2,62,"2;1","YPLbmRSi",100,4,4,0,0.8,3
13,0.874563099836025,1,18,2,80,"2;1","YPLbmRSi",100,4,4,0,0.8,3
14,0.972381411061848,1,-2,2,78,"2;1","YPLbmRSi",100,4,4,0,0.8,3
15,0.771146882511936,1,24,2,102,"2;1","YPLbmRSi",100,4,4,0,0.8,3
16,0.976914955330419,2,5,2,107,"2;1","YPLbmRSi",100,4,4,0,0.8,3
17,1.16439029390268,2,1,2,108,"2;1","YPLbmRSi",100,4,4,0,0.8,3
18,0.514935362880994,2,1,2,109,"2;1","YPLbmRSi",100,4,4,0,0.8,3
19,0.71464991697723,2,1,2,110,"2;1","YPLbmRSi",100,4,4,0,0.8,3
20,0.803761000572018,2,3,2,113,"2;1","YPLbmRSi",100,4,4,0,0.8,3
21,1.09213747294991,2,4,2,117,"2;1","YPLbmRSi",100,4,4,0,0.8,3
22,0.764470279307144,2,2,2,119,"2;1","YPLbmRSi",100,4,4,0,0.8,3
23,1.04229240727555,2,5,2,124,"2;1","YPLbmRSi",100,4,4,0,0.8,3
24,0.881376518854721,2,6,2,130,"2;1","YPLbmRSi",100,4,4,0,0.8,3
25,0.769949048231603,2,9,2,139,"2;1","YPLbmRSi",100,4,4,0,0.8,3
1,0.577413429294077,2,6,3,6,"2;1","YPLbmRSi",100,4,4,0,0.8,3
2,0.5,2,5,3,11,"2;1","YPLbmRSi",100,4,4,0,0.8,3
3,0.5,2,1,3,12,"2;1","YPLbmRSi",100,4,4,0,0.8,3
4,0.696388711721743,2,3,3,15,"2;1","YPLbmRSi",100,4,4,0,0.8,3
5,0.84196020280723,2,3,3,18,"2;1","YPLbmRSi",100,4,4,0,0.8,3
6,0.668265778406424,2,3,3,21,"2;1","YPLbmRSi",100,4,4,0,0.8,3
7,1.08864296035134,2,-1,3,20,"2;1","YPLbmRSi",100,4,4,0,0.8,3
8,1.04582966872336,2,5,3,25,"2;1","YPLbmRSi",100,4,4,0,0.8,3
9,0.790559792476848,2,2,3,27,"2;1","YPLbmRSi",100,4,4,0,0.8,3
10,1.08203349878191,2,3,3,30,"2;1","YPLbmRSi",100,4,4,0,0.8,3
11,0.692878868062528,2,3,3,33,"2;1","YPLbmRSi",100,4,4,0,0.8,3
12,0.5,2,3,3,36,"2;1","YPLbmRSi",100,4,4,0,0.8,3
13,0.739542464505653,2,8,3,44,"2;1","YPLbmRSi",100,4,4,0,0.8,3
14,0.5,2,5,3,49,"2;1","YPLbmRSi",100,4,4,0,0.8,3
15,0.520726484471112,2,1,3,50,"2;1","YPLbmRSi",100,4,4,0,0.8,3
16,0.643814959684459,2,3,3,53,"2;1","YPLbmRSi",100,4,4,0,0.8,3
17,0.68212652342973,2,7,3,60,"2;1","YPLbmRSi",100,4,4,0,0.8,3
18,0.516833371241666,2,5,3,65,"2;1","YPLbmRSi",100,4,4,0,0.8,3
