"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.537056758209491,1,5,1,5,"1;2","YRT7iWRb",0,2,NA,1,0.82,2
2,0.669092916354435,1,4,1,9,"1;2","YRT7iWRb",0,2,NA,1,0.82,2
3,1.00070782909224,1,2,1,11,"1;2","YRT7iWRb",0,2,NA,1,0.82,2
4,0.5,2,6,1,17,"1;2","YRT7iWRb",0,2,NA,1,0.82,2
5,0.543138312879694,2,0,1,17,"1;2","YRT7iWRb",0,2,NA,1,0.82,2
6,0.559061622043018,1,4,1,21,"1;2","YRT7iWRb",0,2,NA,1,0.82,2
7,0.570383203462743,1,1,1,22,"1;2","YRT7iWRb",0,2,NA,1,0.82,2
8,0.919189630935384,2,3,1,25,"1;2","YRT7iWRb",0,2,NA,1,0.82,2
9,0.835626215166417,1,1,1,26,"1;2","YRT7iWRb",0,2,NA,1,0.82,2
10,0.754334453873097,1,9,1,35,"1;2","YRT7iWRb",0,2,NA,1,0.82,2
11,1.34337350916091,2,3,1,38,"1;2","YRT7iWRb",0,2,NA,1,0.82,2
12,0.847382422379165,1,0,1,38,"1;2","YRT7iWRb",0,2,NA,1,0.82,2
13,1.06995981779903,1,0,1,38,"1;2","YRT7iWRb",0,2,NA,1,0.82,2
14,0.644461275665944,1,4,1,42,"1;2","YRT7iWRb",0,2,NA,1,0.82,2
15,1.04504152966709,1,1,1,43,"1;2","YRT7iWRb",0,2,NA,1,0.82,2
16,1.17172045793456,1,2,1,45,"1;2","YRT7iWRb",0,2,NA,1,0.82,2
17,1.03930469196005,2,4,1,49,"1;2","YRT7iWRb",0,2,NA,1,0.82,2
18,0.574163138768283,2,6,1,55,"1;2","YRT7iWRb",0,2,NA,1,0.82,2
19,1.06349262413799,2,2,1,57,"1;2","YRT7iWRb",0,2,NA,1,0.82,2
20,0.582879550666872,1,5,1,62,"1;2","YRT7iWRb",0,2,NA,1,0.82,2
1,1.00066570915754,1,-7,2,-7,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
2,0.686568066795454,1,21,2,14,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
3,0.754958988700727,1,4,2,18,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
4,1.00311542728843,2,6,2,24,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
5,1.27265925787728,2,-1,2,23,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
6,0.5,1,-14,2,9,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
7,0.711820779469671,2,6,2,15,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
8,0.724137998038279,2,5,2,20,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
9,0.849412666656219,1,-10,2,10,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
10,0.957210753930511,1,-13,2,-3,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
11,0.9227114910148,2,5,2,2,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
12,1.07266146552518,1,13,2,15,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
13,0.694633431211771,1,8,2,23,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
14,1.06478498052932,2,7,2,30,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
15,1.07306304536425,2,6,2,36,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
16,0.89016664909138,1,8,2,44,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
17,0.705359749213973,2,3,2,47,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
18,0.5,1,4,2,51,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
19,0.720378734409222,1,11,2,62,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
20,0.722434756924498,2,3,2,65,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
21,0.834759524770648,1,33,2,98,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
22,0.5,2,7,2,105,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
23,0.722934433625369,1,2,2,107,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
24,0.967461933487104,1,1,2,108,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
25,0.948782901223447,1,-2,2,106,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
1,0.5,1,-5,3,-5,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
2,0.672704536457474,2,5,3,0,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
3,0.626708587693208,2,7,3,7,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
4,0.952054321477973,2,0,3,7,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
5,0.529175902949831,2,1,3,8,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
6,0.766929073065656,2,6,3,14,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
7,0.864677110355897,2,2,3,16,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
8,1.16663819823276,2,4,3,20,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
9,0.546920492310308,1,-7,3,13,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
10,0.673733460347426,2,6,3,19,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
11,1.03508186402158,2,5,3,24,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
12,0.907796038904267,2,1,3,25,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
13,0.743994990039827,1,-9,3,16,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
14,0.818835073323414,2,2,3,18,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
15,1.28202004517423,1,-4,3,14,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
16,0.795953376289539,1,0,3,14,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
17,0.710794919732804,2,0,3,14,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
18,0.520389535278809,2,3,3,17,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
19,1.00564982277918,2,4,3,21,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
20,0.795696816124547,2,4,3,25,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
21,0.948003709644113,2,3,3,28,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
22,0.586994143217399,2,4,3,32,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
23,0.718928569233339,1,20,3,52,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
24,0.906859787178878,1,3,3,55,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
25,0.960020476572205,1,-16,3,39,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
1,1.32951117539039,2,5,4,5,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
2,0.82773960562081,2,3,4,8,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
3,0.681898365199357,2,6,4,14,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
4,0.946217974703911,2,6,4,20,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
5,0.5,1,-22,4,-2,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
6,0.620313116029109,2,9,4,7,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
7,0.802527346443099,2,0,4,7,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
8,0.548807843566125,1,-7,4,0,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
9,0.788905748446414,2,-2,4,-2,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
10,0.754915398901713,2,9,4,7,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
11,1.037214505213,1,-4,4,3,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
12,1.09798596718233,2,0,4,3,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
13,1.03309799000839,2,6,4,9,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
14,0.5,2,2,4,11,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
15,0.678981267348955,2,9,4,20,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
16,0.910471900330554,1,4,4,24,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
17,1.47951070342703,2,1,4,25,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
18,0.944658781580098,1,-3,4,22,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
19,0.848666397761277,2,5,4,27,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
20,0.651121665136879,2,0,4,27,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
21,0.920448022547544,2,1,4,28,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
22,0.957899880139651,1,23,4,51,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
23,0.810892866983002,1,9,4,60,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
24,0.500575197412974,1,1,4,61,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
25,1.34561168523789,2,6,4,67,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
1,0.827604065595464,2,5,5,5,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
2,0.947147780956271,2,3,5,8,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
3,0.833869466919164,2,6,5,14,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
4,0.997569934806237,1,14,5,28,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
5,0.77944068134565,1,-2,5,26,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
6,0.570513171793973,2,2,5,28,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
7,1.07480597483407,1,28,5,56,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
8,1.03834430618244,2,3,5,59,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
9,0.689429738776058,1,8,5,67,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
10,0.998456818061172,1,7,5,74,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
11,0.829707918695266,1,-2,5,72,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
12,1.10787370314214,1,17,5,89,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
13,1.09463965981543,1,-37,5,52,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
14,0.621624651799606,1,-4,5,48,"2;1","YRT7iWRb",0,2,NA,1,0.82,2
