"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.898504787003816,1,4,1,4,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
2,0.990464097261465,1,6,1,10,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
3,0.742089059936657,1,4,1,14,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
4,0.606582593692245,1,0,1,14,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
5,0.991239797941265,1,3,1,17,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
6,0.72806075253016,1,6,1,23,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
7,0.5,1,4,1,27,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
8,0.940586658886254,1,1,1,28,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
9,0.837143372187048,1,4,1,32,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
10,0.862660117258824,1,1,1,33,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
11,1.03096457959812,1,4,1,37,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
12,0.906966051525781,1,5,1,42,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
13,0.559404361611719,1,3,1,45,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
14,1.15021289812945,2,4,1,49,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
15,0.605610021626042,1,6,1,55,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
16,0.785633869993747,1,1,1,56,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
17,0.603928262734704,1,1,1,57,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
18,0.624023605970076,1,3,1,60,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
19,1.00437463376542,1,4,1,64,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
20,0.5,1,2,1,66,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
1,0.699171396962312,2,-9,2,-9,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
2,0.847084762819755,1,2,2,-7,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
3,0.742684679161446,1,4,2,-3,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
4,1.09065148267976,1,4,2,1,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
5,1.26765797151793,1,6,2,7,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
6,1.00845060764544,1,-2,2,5,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
7,0.5,1,3,2,8,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
8,0.911709801195896,1,3,2,11,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
9,1.12279123337428,1,4,2,15,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
10,1.1390627421192,1,5,2,20,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
11,1.11323621373601,2,-4,2,16,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
12,0.592998115553789,1,0,2,16,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
13,0.5,1,6,2,22,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
14,0.822225154016367,1,3,2,25,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
15,0.791982999860909,1,2,2,27,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
16,0.662784936483014,1,4,2,31,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
17,0.890973770259713,1,1,2,32,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
18,1.15822785192047,1,5,2,37,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
19,0.898231329568268,1,0,2,37,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
20,0.724026408524851,1,-1,2,36,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
21,0.989333788681451,1,3,2,39,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
22,1.00302663969812,1,3,2,42,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
23,0.879229737073929,1,4,2,46,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
24,0.517862308276042,1,3,2,49,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
25,0.638832889008326,1,-3,2,46,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
1,1.05921017052557,2,5,3,5,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
2,1.00130934806244,2,2,3,7,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
3,0.93589408401783,2,-4,3,3,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
4,0.787724554743086,2,-11,3,-8,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
5,1.04732299760335,1,5,3,-3,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
6,0.720832784583265,1,-4,3,-7,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
7,0.991109306497609,1,2,3,-5,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
8,0.835444855049684,1,2,3,-3,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
9,0.809458161572135,1,0,3,-3,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
10,0.671076120445016,1,5,3,2,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
11,0.830622800651432,1,4,3,6,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
12,0.90410543910338,1,5,3,11,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
13,0.929449420306436,1,6,3,17,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
14,0.617947507931553,1,8,3,25,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
15,0.736317655646248,1,-4,3,21,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
16,0.957059876896591,1,5,3,26,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
17,0.617737288205922,1,2,3,28,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
18,0.937171337139885,1,6,3,34,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
19,1.6646695909228,1,1,3,35,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
20,0.529671735637215,1,0,3,35,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
21,0.66031218183786,1,3,3,38,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
22,1.11407894439676,1,3,3,41,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
23,0.5,1,1,3,42,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
24,0.684858118936049,1,4,3,46,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
25,0.716747154450288,1,5,3,51,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
1,0.712454366561712,2,4,4,4,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
2,0.676395961528335,2,23,4,27,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
3,0.551673982319089,2,8,4,35,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
4,0.922253692640018,2,-8,4,27,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
5,0.967480393661271,2,9,4,36,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
6,0.5,2,5,4,41,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
7,0.510440909707587,2,14,4,55,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
8,0.5,2,6,4,61,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
9,0.72700469798344,2,-7,4,54,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
10,0.710403431966564,2,37,4,91,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
11,1.17195478758695,2,13,4,104,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
12,0.988291546169194,2,-11,4,93,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
13,0.630611336763514,2,-11,4,82,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
14,0.758307051017583,2,14,4,96,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
15,0.880854601881348,2,8,4,104,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
16,0.856648850941453,2,9,4,113,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
17,1.04100145658336,2,2,4,115,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
18,0.740570936530979,2,26,4,141,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
19,1.19989210296943,2,15,4,156,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
20,1.32830849979092,2,11,4,167,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
21,1.18957083018188,2,16,4,183,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
22,0.659416800193855,2,16,4,199,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
23,0.949471815910185,2,3,4,202,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
24,0.940953435576496,2,9,4,211,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
25,0.5,2,11,4,222,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
1,0.757905630836816,2,5,5,5,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
2,0.5,2,0,5,5,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
3,0.5,2,0,5,5,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
4,1.2271611244894,2,0,5,5,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
5,0.933786481626982,2,4,5,9,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
6,0.713473784281243,2,0,5,9,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
7,0.732349530983053,2,-3,5,6,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
8,1.24964798701617,2,1,5,7,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
9,0.712752380433701,2,1,5,8,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
10,0.92354511123206,2,3,5,11,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
11,0.986139197630928,2,4,5,15,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
12,0.966556731942812,1,23,5,38,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
13,1.12393366072435,1,17,5,55,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
14,0.5,1,22,5,77,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
15,0.936821641414866,1,7,5,84,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
16,0.698289124036085,1,-7,5,77,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
17,0.600669969969747,1,-12,5,65,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
18,0.5,1,-4,5,61,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
19,0.886728247942946,1,-1,5,60,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
20,0.619496953635741,1,1,5,61,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
21,0.803884760191399,1,1,5,62,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
22,0.5,1,3,5,65,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
23,0.898629035712942,1,11,5,76,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
24,0.5,1,-8,5,68,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
25,1.05226780371131,1,-14,5,54,"2;1","Z9R9wnjZ",0,3,NA,0,0.76,1
1,0.879739257578327,1,-2,6,-2,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
2,0.5,2,-8,6,-10,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
3,1.2706165385895,1,-2,6,-12,"1;2","Z9R9wnjZ",0,3,NA,0,0.76,1
