"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.784370316783528,1,3,1,3,"2;1","ZFabBqWh",100,5,6,0,1.2,3
2,1.23675448331609,1,7,1,10,"2;1","ZFabBqWh",100,5,6,0,1.2,3
3,1.11658345802831,2,4,1,14,"2;1","ZFabBqWh",100,5,6,0,1.2,3
4,0.618982977485205,1,0,1,14,"2;1","ZFabBqWh",100,5,6,0,1.2,3
5,0.844146464187989,2,4,1,18,"2;1","ZFabBqWh",100,5,6,0,1.2,3
6,0.574153880843469,1,4,1,22,"2;1","ZFabBqWh",100,5,6,0,1.2,3
7,0.975070734207575,2,4,1,26,"2;1","ZFabBqWh",100,5,6,0,1.2,3
8,0.757476701226347,1,5,1,31,"2;1","ZFabBqWh",100,5,6,0,1.2,3
9,0.624696983422041,1,2,1,33,"2;1","ZFabBqWh",100,5,6,0,1.2,3
10,0.660850997448727,1,4,1,37,"2;1","ZFabBqWh",100,5,6,0,1.2,3
11,0.892111346207121,1,5,1,42,"2;1","ZFabBqWh",100,5,6,0,1.2,3
12,0.624273623316902,1,2,1,44,"2;1","ZFabBqWh",100,5,6,0,1.2,3
13,0.707073075405226,1,7,1,51,"2;1","ZFabBqWh",100,5,6,0,1.2,3
14,0.743295540656659,1,2,1,53,"2;1","ZFabBqWh",100,5,6,0,1.2,3
15,0.605941919408487,1,4,1,57,"2;1","ZFabBqWh",100,5,6,0,1.2,3
16,0.671229545320675,1,5,1,62,"2;1","ZFabBqWh",100,5,6,0,1.2,3
17,0.769648414380331,1,1,1,63,"2;1","ZFabBqWh",100,5,6,0,1.2,3
18,0.738050855114129,1,1,1,64,"2;1","ZFabBqWh",100,5,6,0,1.2,3
19,0.936556681222366,2,4,1,68,"2;1","ZFabBqWh",100,5,6,0,1.2,3
20,1.21299057696763,1,1,1,69,"2;1","ZFabBqWh",100,5,6,0,1.2,3
1,1.24986765695955,2,12,2,12,"1;2","ZFabBqWh",100,5,6,0,1.2,3
2,0.696165744379605,2,-10,2,2,"1;2","ZFabBqWh",100,5,6,0,1.2,3
3,1.01337560068238,2,9,2,11,"1;2","ZFabBqWh",100,5,6,0,1.2,3
4,0.743050535168223,2,-6,2,5,"1;2","ZFabBqWh",100,5,6,0,1.2,3
5,0.690043204729208,1,6,2,11,"1;2","ZFabBqWh",100,5,6,0,1.2,3
6,1.11036928957473,2,10,2,21,"1;2","ZFabBqWh",100,5,6,0,1.2,3
7,0.727384389232123,1,4,2,25,"1;2","ZFabBqWh",100,5,6,0,1.2,3
8,0.630994961310595,2,-8,2,17,"1;2","ZFabBqWh",100,5,6,0,1.2,3
9,0.911108353502587,1,7,2,24,"1;2","ZFabBqWh",100,5,6,0,1.2,3
10,0.80146275211832,2,5,2,29,"1;2","ZFabBqWh",100,5,6,0,1.2,3
11,0.685487981803077,2,-2,2,27,"1;2","ZFabBqWh",100,5,6,0,1.2,3
12,0.732858322831716,1,7,2,34,"1;2","ZFabBqWh",100,5,6,0,1.2,3
13,0.60211441479085,2,11,2,45,"1;2","ZFabBqWh",100,5,6,0,1.2,3
14,0.578711617452649,1,7,2,52,"1;2","ZFabBqWh",100,5,6,0,1.2,3
15,0.841967767335805,1,0,2,52,"1;2","ZFabBqWh",100,5,6,0,1.2,3
16,0.5,2,-3,2,49,"1;2","ZFabBqWh",100,5,6,0,1.2,3
17,0.778733872841893,2,20,2,69,"1;2","ZFabBqWh",100,5,6,0,1.2,3
18,0.5,2,-1,2,68,"1;2","ZFabBqWh",100,5,6,0,1.2,3
19,0.875101612435753,2,-29,2,39,"1;2","ZFabBqWh",100,5,6,0,1.2,3
20,0.516859763101408,2,14,2,53,"1;2","ZFabBqWh",100,5,6,0,1.2,3
21,0.516790260757285,2,-3,2,50,"1;2","ZFabBqWh",100,5,6,0,1.2,3
22,0.790976070667781,2,3,2,53,"1;2","ZFabBqWh",100,5,6,0,1.2,3
23,0.529235896910186,1,2,2,55,"1;2","ZFabBqWh",100,5,6,0,1.2,3
24,0.883418644879856,2,3,2,58,"1;2","ZFabBqWh",100,5,6,0,1.2,3
25,0.601997137605454,2,-15,2,43,"1;2","ZFabBqWh",100,5,6,0,1.2,3
1,0.809034649478098,2,17,3,17,"1;2","ZFabBqWh",100,5,6,0,1.2,3
2,0.899916714815875,2,19,3,36,"1;2","ZFabBqWh",100,5,6,0,1.2,3
3,0.854448265832395,1,4,3,40,"1;2","ZFabBqWh",100,5,6,0,1.2,3
4,0.668194481414594,1,7,3,47,"1;2","ZFabBqWh",100,5,6,0,1.2,3
5,0.573208742113281,2,-15,3,32,"1;2","ZFabBqWh",100,5,6,0,1.2,3
6,0.9609007016202,2,1,3,33,"1;2","ZFabBqWh",100,5,6,0,1.2,3
7,0.783486913393331,2,-6,3,27,"1;2","ZFabBqWh",100,5,6,0,1.2,3
8,0.636545095115295,2,-14,3,13,"1;2","ZFabBqWh",100,5,6,0,1.2,3
9,0.55321919166395,2,33,3,46,"1;2","ZFabBqWh",100,5,6,0,1.2,3
10,1.41014868859082,1,3,3,49,"1;2","ZFabBqWh",100,5,6,0,1.2,3
11,0.754831270053145,2,-10,3,39,"1;2","ZFabBqWh",100,5,6,0,1.2,3
12,0.801446863643471,2,3,3,42,"1;2","ZFabBqWh",100,5,6,0,1.2,3
13,0.895058044947369,2,-6,3,36,"1;2","ZFabBqWh",100,5,6,0,1.2,3
14,0.702656526438261,1,2,3,38,"1;2","ZFabBqWh",100,5,6,0,1.2,3
15,0.979215637741086,2,3,3,41,"1;2","ZFabBqWh",100,5,6,0,1.2,3
16,0.90436288207145,2,11,3,52,"1;2","ZFabBqWh",100,5,6,0,1.2,3
17,0.989754418791614,2,-12,3,40,"1;2","ZFabBqWh",100,5,6,0,1.2,3
18,0.671314152816751,2,4,3,44,"1;2","ZFabBqWh",100,5,6,0,1.2,3
19,0.869441217536249,2,9,3,53,"1;2","ZFabBqWh",100,5,6,0,1.2,3
20,0.62513124513731,1,3,3,56,"1;2","ZFabBqWh",100,5,6,0,1.2,3
21,0.778923381926058,1,0,3,56,"1;2","ZFabBqWh",100,5,6,0,1.2,3
22,1.01469331354795,2,22,3,78,"1;2","ZFabBqWh",100,5,6,0,1.2,3
23,0.845149031011608,1,6,3,84,"1;2","ZFabBqWh",100,5,6,0,1.2,3
24,1.32008809746236,2,8,3,92,"1;2","ZFabBqWh",100,5,6,0,1.2,3
25,0.5,2,17,3,109,"1;2","ZFabBqWh",100,5,6,0,1.2,3
1,0.523271650650623,2,4,4,4,"2;1","ZFabBqWh",100,5,6,0,1.2,3
2,0.523071689093484,1,-1,4,3,"2;1","ZFabBqWh",100,5,6,0,1.2,3
3,0.500705164272676,1,-1,4,2,"2;1","ZFabBqWh",100,5,6,0,1.2,3
4,0.787974975707429,2,4,4,6,"2;1","ZFabBqWh",100,5,6,0,1.2,3
5,0.5,1,-4,4,2,"2;1","ZFabBqWh",100,5,6,0,1.2,3
6,0.991615253078019,2,4,4,6,"2;1","ZFabBqWh",100,5,6,0,1.2,3
7,0.5,2,6,4,12,"2;1","ZFabBqWh",100,5,6,0,1.2,3
8,1.16311824148847,2,3,4,15,"2;1","ZFabBqWh",100,5,6,0,1.2,3
9,0.5,2,4,4,19,"2;1","ZFabBqWh",100,5,6,0,1.2,3
10,0.706190109990913,2,8,4,27,"2;1","ZFabBqWh",100,5,6,0,1.2,3
11,0.635401536924402,1,10,4,37,"2;1","ZFabBqWh",100,5,6,0,1.2,3
12,0.571062115155475,1,-3,4,34,"2;1","ZFabBqWh",100,5,6,0,1.2,3
13,1.14920328203188,2,6,4,40,"2;1","ZFabBqWh",100,5,6,0,1.2,3
14,0.784520730070325,1,16,4,56,"2;1","ZFabBqWh",100,5,6,0,1.2,3
15,0.812919822574437,2,4,4,60,"2;1","ZFabBqWh",100,5,6,0,1.2,3
16,0.897444135895497,1,-18,4,42,"2;1","ZFabBqWh",100,5,6,0,1.2,3
17,0.704257954539585,2,4,4,46,"2;1","ZFabBqWh",100,5,6,0,1.2,3
18,0.579194881199418,1,4,4,50,"2;1","ZFabBqWh",100,5,6,0,1.2,3
19,0.70723200266838,1,-3,4,47,"2;1","ZFabBqWh",100,5,6,0,1.2,3
20,0.5,2,3,4,50,"2;1","ZFabBqWh",100,5,6,0,1.2,3
21,0.877200817385246,1,36,4,86,"2;1","ZFabBqWh",100,5,6,0,1.2,3
22,0.912672037023561,2,1,4,87,"2;1","ZFabBqWh",100,5,6,0,1.2,3
23,0.5,1,16,4,103,"2;1","ZFabBqWh",100,5,6,0,1.2,3
24,0.5,2,2,4,105,"2;1","ZFabBqWh",100,5,6,0,1.2,3
25,0.5,1,-5,4,100,"2;1","ZFabBqWh",100,5,6,0,1.2,3
1,1.0042990902317,2,-1,5,-1,"1;2","ZFabBqWh",100,5,6,0,1.2,3
2,0.830833066892823,1,6,5,5,"1;2","ZFabBqWh",100,5,6,0,1.2,3
3,1.03172101390045,2,-3,5,2,"1;2","ZFabBqWh",100,5,6,0,1.2,3
4,0.817248562019413,2,29,5,31,"1;2","ZFabBqWh",100,5,6,0,1.2,3
5,1.09025713937764,2,14,5,45,"1;2","ZFabBqWh",100,5,6,0,1.2,3
6,0.5,2,18,5,63,"1;2","ZFabBqWh",100,5,6,0,1.2,3
7,0.888829625548202,2,30,5,93,"1;2","ZFabBqWh",100,5,6,0,1.2,3
8,0.552216608653231,1,-1,5,92,"1;2","ZFabBqWh",100,5,6,0,1.2,3
9,0.5,1,8,5,100,"1;2","ZFabBqWh",100,5,6,0,1.2,3
10,0.910798406455575,1,-1,5,99,"1;2","ZFabBqWh",100,5,6,0,1.2,3
11,0.5,2,19,5,118,"1;2","ZFabBqWh",100,5,6,0,1.2,3
