"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.536625005818087,1,1,1,1,"1;2","aAUhFDWT",100,5,4,0,0.8,1
2,0.595556324178904,1,2,1,3,"1;2","aAUhFDWT",100,5,4,0,0.8,1
3,0.939121661340182,1,3,1,6,"1;2","aAUhFDWT",100,5,4,0,0.8,1
4,1.25653491175911,2,1,1,7,"1;2","aAUhFDWT",100,5,4,0,0.8,1
5,0.886143701585624,1,1,1,8,"1;2","aAUhFDWT",100,5,4,0,0.8,1
6,0.987133675769022,1,1,1,9,"1;2","aAUhFDWT",100,5,4,0,0.8,1
7,1.01192439511056,2,4,1,13,"1;2","aAUhFDWT",100,5,4,0,0.8,1
8,0.779845467730302,2,4,1,17,"1;2","aAUhFDWT",100,5,4,0,0.8,1
9,0.5,2,4,1,21,"1;2","aAUhFDWT",100,5,4,0,0.8,1
10,0.922873154134348,1,7,1,28,"1;2","aAUhFDWT",100,5,4,0,0.8,1
11,0.5,1,1,1,29,"1;2","aAUhFDWT",100,5,4,0,0.8,1
12,0.617956514202407,2,2,1,31,"1;2","aAUhFDWT",100,5,4,0,0.8,1
13,0.830257130734607,1,2,1,33,"1;2","aAUhFDWT",100,5,4,0,0.8,1
14,0.847382015141055,2,1,1,34,"1;2","aAUhFDWT",100,5,4,0,0.8,1
15,0.5,1,2,1,36,"1;2","aAUhFDWT",100,5,4,0,0.8,1
16,1.04779658168015,1,5,1,41,"1;2","aAUhFDWT",100,5,4,0,0.8,1
17,0.91833474795617,2,3,1,44,"1;2","aAUhFDWT",100,5,4,0,0.8,1
18,1.02167813386935,2,0,1,44,"1;2","aAUhFDWT",100,5,4,0,0.8,1
19,1.10447904067779,2,3,1,47,"1;2","aAUhFDWT",100,5,4,0,0.8,1
20,1.31457975550423,1,1,1,48,"1;2","aAUhFDWT",100,5,4,0,0.8,1
1,0.616386514236551,1,10,2,10,"2;1","aAUhFDWT",100,5,4,0,0.8,1
2,0.599671722705508,2,-2,2,8,"2;1","aAUhFDWT",100,5,4,0,0.8,1
3,0.778739061729273,2,6,2,14,"2;1","aAUhFDWT",100,5,4,0,0.8,1
4,0.677205284544403,1,8,2,22,"2;1","aAUhFDWT",100,5,4,0,0.8,1
5,0.689093461904943,1,-11,2,11,"2;1","aAUhFDWT",100,5,4,0,0.8,1
6,0.514207183575103,1,6,2,17,"2;1","aAUhFDWT",100,5,4,0,0.8,1
7,0.840860034840703,2,2,2,19,"2;1","aAUhFDWT",100,5,4,0,0.8,1
8,0.958407966242071,1,6,2,25,"2;1","aAUhFDWT",100,5,4,0,0.8,1
9,1.03726969358241,2,3,2,28,"2;1","aAUhFDWT",100,5,4,0,0.8,1
