"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.68993040798414,1,2,1,2,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
2,0.5,1,4,1,6,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
3,0.928718709319469,1,3,1,9,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
4,0.54899157953425,1,3,1,12,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
5,0.603615703045918,1,4,1,16,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
6,0.773370653430862,1,2,1,18,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
7,1.10159149524875,1,5,1,23,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
8,0.939532804631119,1,4,1,27,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
9,0.755108788340559,1,0,1,27,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
10,0.933319819854032,1,4,1,31,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
11,0.854100819865054,1,2,1,33,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
12,1.08584065527973,1,0,1,33,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
13,0.634116414679887,1,4,1,37,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
14,0.5,1,4,1,41,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
15,0.5,1,1,1,42,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
16,1.10721181153545,1,4,1,46,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
17,0.5,1,1,1,47,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
18,0.550088094129258,1,4,1,51,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
19,0.808623406526043,1,3,1,54,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
20,0.5,1,6,1,60,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
1,0.882647622221312,1,4,2,4,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
2,0.694226725295354,1,2,2,6,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
3,1.0575992684137,1,6,2,12,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
4,1.18582227787,1,6,2,18,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
5,0.705148372567728,2,-41,2,-23,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
6,0.675150778706526,1,7,2,-16,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
7,0.647919673509157,1,2,2,-14,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
8,1.3733977635379,1,5,2,-9,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
9,0.655519716503291,1,-3,2,-12,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
10,0.5,1,3,2,-9,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
11,0.644912331961383,1,2,2,-7,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
12,0.800568634886703,1,5,2,-2,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
13,0.726478767240378,1,3,2,1,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
14,0.891181274304543,1,4,2,5,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
15,0.5,2,7,2,12,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
16,1.05220690163656,1,6,2,18,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
17,0.922361111982245,1,3,2,21,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
18,0.892802162778232,2,3,2,24,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
19,1.19966140297076,1,1,2,25,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
20,1.05307007397149,1,4,2,29,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
21,1.40209827832256,1,0,2,29,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
22,1.04385306029254,1,3,2,32,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
23,1.24335675104807,1,8,2,40,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
24,1.09602137503476,1,-1,2,39,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
25,1.41789909447008,1,4,2,43,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
1,0.921717921740769,1,-6,3,-6,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
2,0.869049011438258,2,2,3,-4,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
3,0.970958010178382,2,5,3,1,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
4,0.832726731024839,2,2,3,3,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
5,0.743461667535568,2,5,3,8,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
6,1.27188332333226,2,7,3,15,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
7,1.02585310249057,2,8,3,23,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
8,0.5,2,6,3,29,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
9,0.817232977562137,2,7,3,36,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
10,0.536440856411598,2,8,3,44,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
11,1.04293725860412,2,-1,3,43,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
12,0.873621692280213,2,3,3,46,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
13,0.896142407276332,2,7,3,53,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
14,1.2034983533385,2,5,3,58,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
15,0.849859381595053,2,5,3,63,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
16,0.503321871468985,2,5,3,68,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
17,0.746514597959621,1,-8,3,60,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
18,0.664080747517085,2,-3,3,57,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
19,0.836033003379489,2,1,3,58,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
20,0.667321143836898,2,6,3,64,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
21,1.23996935690057,2,1,3,65,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
22,0.957669303422693,2,2,3,67,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
23,1.2017575332707,2,1,3,68,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
24,0.771015454679727,2,4,3,72,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
25,0.835038100878106,2,5,3,77,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
1,0.5,1,9,4,9,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
2,0.625945973511836,1,15,4,24,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
3,1.14349594269105,2,4,4,28,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
4,0.5,1,-9,4,19,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
5,0.5,1,-10,4,9,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
6,0.58199079837013,1,-31,4,-22,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
7,0.907278445141577,2,2,4,-20,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
8,0.520847000986055,2,3,4,-17,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
9,1.11210016599359,2,6,4,-11,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
10,0.544095105572741,2,2,4,-9,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
11,0.861254213055491,2,2,4,-7,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
12,0.78468892641185,2,0,4,-7,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
13,0.978500106888496,2,6,4,-1,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
14,0.860372180969173,1,4,4,3,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
15,0.780556811040584,2,2,4,5,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
16,0.889137876036161,2,3,4,8,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
17,1.14640667422327,2,6,4,14,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
18,1.22058681612438,1,17,4,31,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
19,1.17553592942349,2,1,4,32,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
20,0.579525069335859,2,9,4,41,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
21,0.506953338426716,2,1,4,42,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
22,0.936562506357859,2,4,4,46,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
23,0.994253541936482,2,2,4,48,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
24,0.994172813815749,2,2,4,50,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
25,0.857379627330374,2,6,4,56,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
1,0.615764918738719,1,4,5,4,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
2,0.955136163570312,1,2,5,6,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
3,0.786674644024798,1,-1,5,5,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
4,1.07290419233252,1,2,5,7,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
5,1.1532727399476,1,7,5,14,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
6,0.71117522613338,1,5,5,19,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
7,0.87243892033208,1,3,5,22,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
8,0.69014473838856,1,-3,5,19,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
9,0.787351327704005,1,5,5,24,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
10,0.669968503182918,1,5,5,29,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
11,1.03954899980137,1,3,5,32,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
12,1.03207658264895,1,3,5,35,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
13,1.10931212137922,1,4,5,39,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
14,0.5,1,4,5,43,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
15,0.543947780892164,1,2,5,45,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
16,0.783524725234153,2,1,5,46,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
17,0.751851900419353,1,4,5,50,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
18,0.805187604647253,1,2,5,52,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
19,0.978202300852527,1,5,5,57,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
20,0.81941372266654,1,8,5,65,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
21,0.5,1,4,5,69,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
22,0.877087713744319,1,4,5,73,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
23,1.25319660697422,1,5,5,78,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
24,0.765947819957934,1,1,5,79,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
25,0.5,1,6,5,85,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
1,0.815910323716017,2,11,6,11,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
2,1.08068999632582,1,6,6,17,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
3,0.5,2,5,6,22,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
4,0.5,2,-3,6,19,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
5,0.638609532810975,2,17,6,36,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
6,0.891937840337966,2,6,6,42,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
7,0.849579255900715,1,1,6,43,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
8,0.746559976826196,2,-2,6,41,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
9,0.813779479192054,2,4,6,45,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
10,1.07008150680849,2,2,6,47,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
11,0.550423672854015,2,16,6,63,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
12,1.03626604646462,2,-3,6,60,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
13,0.938130680736695,2,-1,6,59,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
14,0.836716301894971,1,3,6,62,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
15,0.5,2,-8,6,54,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
16,1.06624163218901,1,2,6,56,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
17,1.07313260478122,1,5,6,61,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
18,0.566182095218676,1,5,6,66,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
19,1.10161482381286,1,-1,6,65,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
20,0.925192599459555,1,1,6,66,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
21,0.727435197141408,1,2,6,68,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
22,1.00611711645083,1,3,6,71,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
23,0.82556069517945,1,10,6,81,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
24,1.02440649012144,1,4,6,85,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
25,0.772146261942872,1,-2,6,83,"1;2","aBXO7cBr",0,1,NA,0,0.68,2
1,0.561138321224951,2,4,7,4,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
2,0.5,2,5,7,9,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
3,0.587301284136981,2,3,7,12,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
4,0.967946574903735,2,7,7,19,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
5,1.33774465348769,2,3,7,22,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
6,0.762946415776883,1,-11,7,11,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
7,1.04237865096196,2,1,7,12,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
8,0.942180662154182,2,7,7,19,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
9,0.999097817415341,2,4,7,23,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
10,0.744951739395768,2,5,7,28,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
11,0.933119837366419,2,1,7,29,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
12,0.5,2,4,7,33,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
13,0.5,2,-1,7,32,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
14,1.2646659865088,2,3,7,35,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
15,0.5,2,5,7,40,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
16,0.546185428579102,1,3,7,43,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
17,0.716755922917756,2,2,7,45,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
18,0.707389378318516,2,5,7,50,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
19,0.6731896539011,1,12,7,62,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
20,0.5,2,0,7,62,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
21,0.937400637856633,2,4,7,66,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
22,0.794080607342052,2,4,7,70,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
23,0.5,2,6,7,76,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
24,1.08185245519183,2,8,7,84,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
25,0.960549136483922,2,3,7,87,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
1,0.520103031750741,2,6,8,6,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
2,1.00410700829638,2,3,8,9,"2;1","aBXO7cBr",0,1,NA,0,0.68,2
