"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.996854475222604,1,3,1,3,"1;2","aq8gBkCv",100,4,5,0,1,3
2,1.1638758798974,1,1,1,4,"1;2","aq8gBkCv",100,4,5,0,1,3
3,0.676099425850597,1,1,1,5,"1;2","aq8gBkCv",100,4,5,0,1,3
4,0.559026892809458,1,0,1,5,"1;2","aq8gBkCv",100,4,5,0,1,3
5,0.716358801687715,1,7,1,12,"1;2","aq8gBkCv",100,4,5,0,1,3
6,0.609776645765902,2,4,1,16,"1;2","aq8gBkCv",100,4,5,0,1,3
7,0.569378744065556,1,3,1,19,"1;2","aq8gBkCv",100,4,5,0,1,3
8,0.973426223803588,1,1,1,20,"1;2","aq8gBkCv",100,4,5,0,1,3
9,0.888700404406956,1,3,1,23,"1;2","aq8gBkCv",100,4,5,0,1,3
10,0.976166873496163,1,-2,1,21,"1;2","aq8gBkCv",100,4,5,0,1,3
11,0.5,1,2,1,23,"1;2","aq8gBkCv",100,4,5,0,1,3
12,0.565405169024822,1,2,1,25,"1;2","aq8gBkCv",100,4,5,0,1,3
13,0.880566620101787,1,4,1,29,"1;2","aq8gBkCv",100,4,5,0,1,3
14,0.989496961426282,1,3,1,32,"1;2","aq8gBkCv",100,4,5,0,1,3
15,1.14624895926273,1,0,1,32,"1;2","aq8gBkCv",100,4,5,0,1,3
16,0.817114922255168,1,2,1,34,"1;2","aq8gBkCv",100,4,5,0,1,3
17,0.844997876262402,1,-1,1,33,"1;2","aq8gBkCv",100,4,5,0,1,3
18,0.5,1,7,1,40,"1;2","aq8gBkCv",100,4,5,0,1,3
19,0.776542268163123,2,2,1,42,"1;2","aq8gBkCv",100,4,5,0,1,3
20,0.627651697184919,1,4,1,46,"1;2","aq8gBkCv",100,4,5,0,1,3
1,0.757216953726048,1,4,2,4,"1;2","aq8gBkCv",100,4,5,0,1,3
2,0.607854984167786,1,3,2,7,"1;2","aq8gBkCv",100,4,5,0,1,3
3,0.5,1,5,2,12,"1;2","aq8gBkCv",100,4,5,0,1,3
4,0.719345117233315,1,4,2,16,"1;2","aq8gBkCv",100,4,5,0,1,3
5,0.687754278054004,2,2,2,18,"1;2","aq8gBkCv",100,4,5,0,1,3
6,0.531897385282967,1,1,2,19,"1;2","aq8gBkCv",100,4,5,0,1,3
7,0.819383704649172,1,4,2,23,"1;2","aq8gBkCv",100,4,5,0,1,3
8,0.84784939598129,1,3,2,26,"1;2","aq8gBkCv",100,4,5,0,1,3
9,0.603729670184701,1,3,2,29,"1;2","aq8gBkCv",100,4,5,0,1,3
10,0.5,1,4,2,33,"1;2","aq8gBkCv",100,4,5,0,1,3
11,1.24345664217577,2,-1,2,32,"1;2","aq8gBkCv",100,4,5,0,1,3
12,1.06085022249866,1,5,2,37,"1;2","aq8gBkCv",100,4,5,0,1,3
13,0.867168329299313,1,3,2,40,"1;2","aq8gBkCv",100,4,5,0,1,3
14,0.5,1,4,2,44,"1;2","aq8gBkCv",100,4,5,0,1,3
15,0.974782336596447,1,4,2,48,"1;2","aq8gBkCv",100,4,5,0,1,3
16,0.542598535021158,2,2,2,50,"1;2","aq8gBkCv",100,4,5,0,1,3
17,0.5,1,1,2,51,"1;2","aq8gBkCv",100,4,5,0,1,3
18,0.714977640880059,1,3,2,54,"1;2","aq8gBkCv",100,4,5,0,1,3
19,1.27003578141038,1,7,2,61,"1;2","aq8gBkCv",100,4,5,0,1,3
20,0.845646077024782,1,3,2,64,"1;2","aq8gBkCv",100,4,5,0,1,3
21,1.15623771080546,1,-1,2,63,"1;2","aq8gBkCv",100,4,5,0,1,3
22,1.24245815688622,1,4,2,67,"1;2","aq8gBkCv",100,4,5,0,1,3
23,1.3024676318717,2,-6,2,61,"1;2","aq8gBkCv",100,4,5,0,1,3
24,0.821490980837976,1,6,2,67,"1;2","aq8gBkCv",100,4,5,0,1,3
25,0.5,1,7,2,74,"1;2","aq8gBkCv",100,4,5,0,1,3
1,0.5,2,3,3,3,"2;1","aq8gBkCv",100,4,5,0,1,3
2,0.5,2,2,3,5,"2;1","aq8gBkCv",100,4,5,0,1,3
