"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.879254889925886,2,0,1,0,"1;2","bSjoudxr",100,4,4,0,0.8,2
2,0.785168496729622,2,3,1,3,"1;2","bSjoudxr",100,4,4,0,0.8,2
3,0.591441037741413,1,4,1,7,"1;2","bSjoudxr",100,4,4,0,0.8,2
4,1.40778908323194,2,2,1,9,"1;2","bSjoudxr",100,4,4,0,0.8,2
5,0.753324483566312,1,5,1,14,"1;2","bSjoudxr",100,4,4,0,0.8,2
6,0.965485743113176,2,3,1,17,"1;2","bSjoudxr",100,4,4,0,0.8,2
7,0.754197059819108,1,-2,1,15,"1;2","bSjoudxr",100,4,4,0,0.8,2
8,0.85821292997908,2,3,1,18,"1;2","bSjoudxr",100,4,4,0,0.8,2
9,0.585591071043851,2,2,1,20,"1;2","bSjoudxr",100,4,4,0,0.8,2
10,0.802584132839789,1,6,1,26,"1;2","bSjoudxr",100,4,4,0,0.8,2
11,0.684817747164426,1,5,1,31,"1;2","bSjoudxr",100,4,4,0,0.8,2
12,1.05201154406601,1,3,1,34,"1;2","bSjoudxr",100,4,4,0,0.8,2
13,0.772210584289475,2,1,1,35,"1;2","bSjoudxr",100,4,4,0,0.8,2
14,0.5,1,1,1,36,"1;2","bSjoudxr",100,4,4,0,0.8,2
15,0.707946014922384,2,3,1,39,"1;2","bSjoudxr",100,4,4,0,0.8,2
16,0.865965450211804,2,1,1,40,"1;2","bSjoudxr",100,4,4,0,0.8,2
17,0.682701920721321,2,7,1,47,"1;2","bSjoudxr",100,4,4,0,0.8,2
18,0.592067654944455,1,5,1,52,"1;2","bSjoudxr",100,4,4,0,0.8,2
19,1.08549687040898,1,2,1,54,"1;2","bSjoudxr",100,4,4,0,0.8,2
20,0.917557618647023,2,3,1,57,"1;2","bSjoudxr",100,4,4,0,0.8,2
1,0.9635747201566,2,4,2,4,"1;2","bSjoudxr",100,4,4,0,0.8,2
2,0.689383920811123,2,-2,2,2,"1;2","bSjoudxr",100,4,4,0,0.8,2
3,0.774621841004556,1,8,2,10,"1;2","bSjoudxr",100,4,4,0,0.8,2
4,0.5,2,5,2,15,"1;2","bSjoudxr",100,4,4,0,0.8,2
5,0.987021758717109,2,9,2,24,"1;2","bSjoudxr",100,4,4,0,0.8,2
6,0.523485388111251,1,5,2,29,"1;2","bSjoudxr",100,4,4,0,0.8,2
7,0.792993160932275,2,-1,2,28,"1;2","bSjoudxr",100,4,4,0,0.8,2
8,0.958630161316469,1,1,2,29,"1;2","bSjoudxr",100,4,4,0,0.8,2
9,0.566180570363006,1,1,2,30,"1;2","bSjoudxr",100,4,4,0,0.8,2
10,1.1067528045488,2,-4,2,26,"1;2","bSjoudxr",100,4,4,0,0.8,2
11,0.751308384094967,2,-4,2,22,"1;2","bSjoudxr",100,4,4,0,0.8,2
12,1.27957854838747,2,-15,2,7,"1;2","bSjoudxr",100,4,4,0,0.8,2
13,0.628639488125979,2,14,2,21,"1;2","bSjoudxr",100,4,4,0,0.8,2
14,0.830739296218057,2,6,2,27,"1;2","bSjoudxr",100,4,4,0,0.8,2
15,0.872079336168864,1,5,2,32,"1;2","bSjoudxr",100,4,4,0,0.8,2
16,0.749206719804643,2,10,2,42,"1;2","bSjoudxr",100,4,4,0,0.8,2
17,0.5,1,4,2,46,"1;2","bSjoudxr",100,4,4,0,0.8,2
18,0.897775567724585,1,4,2,50,"1;2","bSjoudxr",100,4,4,0,0.8,2
19,0.871307458067799,2,-20,2,30,"1;2","bSjoudxr",100,4,4,0,0.8,2
20,1.113150915155,2,7,2,37,"1;2","bSjoudxr",100,4,4,0,0.8,2
21,0.868399450009706,1,4,2,41,"1;2","bSjoudxr",100,4,4,0,0.8,2
22,0.655617588272501,2,-2,2,39,"1;2","bSjoudxr",100,4,4,0,0.8,2
23,0.5,2,6,2,45,"1;2","bSjoudxr",100,4,4,0,0.8,2
24,0.612120672455347,2,-4,2,41,"1;2","bSjoudxr",100,4,4,0,0.8,2
25,0.765262144222495,2,6,2,47,"1;2","bSjoudxr",100,4,4,0,0.8,2
1,0.571957744165992,2,17,3,17,"1;2","bSjoudxr",100,4,4,0,0.8,2
2,1.11921944940418,1,4,3,21,"1;2","bSjoudxr",100,4,4,0,0.8,2
3,0.649558317355292,2,-4,3,17,"1;2","bSjoudxr",100,4,4,0,0.8,2
4,0.84672493017118,2,14,3,31,"1;2","bSjoudxr",100,4,4,0,0.8,2
5,0.700147332378582,2,-8,3,23,"1;2","bSjoudxr",100,4,4,0,0.8,2
6,0.5,2,9,3,32,"1;2","bSjoudxr",100,4,4,0,0.8,2
7,1.28466060210475,1,-1,3,31,"1;2","bSjoudxr",100,4,4,0,0.8,2
8,0.641078917672592,2,-2,3,29,"1;2","bSjoudxr",100,4,4,0,0.8,2
9,0.866169722564644,1,9,3,38,"1;2","bSjoudxr",100,4,4,0,0.8,2
10,0.693719435112531,2,4,3,42,"1;2","bSjoudxr",100,4,4,0,0.8,2
11,0.690341819781192,2,2,3,44,"1;2","bSjoudxr",100,4,4,0,0.8,2
