"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,2,0,1,0,"1;2","bawsuugU",100,6,3,0,0.6,1
2,0.684088183885714,2,0,1,0,"1;2","bawsuugU",100,6,3,0,0.6,1
3,0.972949935922858,1,3,1,3,"1;2","bawsuugU",100,6,3,0,0.6,1
4,1.05350651826255,2,-3,1,0,"1;2","bawsuugU",100,6,3,0,0.6,1
5,0.911968037470809,1,2,1,2,"1;2","bawsuugU",100,6,3,0,0.6,1
6,0.5,2,3,1,5,"1;2","bawsuugU",100,6,3,0,0.6,1
7,0.625055253311463,2,2,1,7,"1;2","bawsuugU",100,6,3,0,0.6,1
8,0.919615226180326,1,6,1,13,"1;2","bawsuugU",100,6,3,0,0.6,1
9,0.634219194529579,1,3,1,16,"1;2","bawsuugU",100,6,3,0,0.6,1
10,1.13451373579789,2,4,1,20,"1;2","bawsuugU",100,6,3,0,0.6,1
11,1.08449245538427,2,4,1,24,"1;2","bawsuugU",100,6,3,0,0.6,1
12,0.5,2,0,1,24,"1;2","bawsuugU",100,6,3,0,0.6,1
13,1.08796161574906,1,5,1,29,"1;2","bawsuugU",100,6,3,0,0.6,1
14,0.5,1,-1,1,28,"1;2","bawsuugU",100,6,3,0,0.6,1
15,0.717156037267509,2,1,1,29,"1;2","bawsuugU",100,6,3,0,0.6,1
16,0.500688355010005,2,8,1,37,"1;2","bawsuugU",100,6,3,0,0.6,1
17,0.829711885958985,1,4,1,41,"1;2","bawsuugU",100,6,3,0,0.6,1
18,0.604714845920671,1,2,1,43,"1;2","bawsuugU",100,6,3,0,0.6,1
19,0.620632798969288,1,2,1,45,"1;2","bawsuugU",100,6,3,0,0.6,1
20,1.41472061903247,2,3,1,48,"1;2","bawsuugU",100,6,3,0,0.6,1
1,0.874418847855895,1,6,2,6,"2;1","bawsuugU",100,6,3,0,0.6,1
2,1.01514713814629,1,14,2,20,"2;1","bawsuugU",100,6,3,0,0.6,1
3,0.646450234370957,1,-2,2,18,"2;1","bawsuugU",100,6,3,0,0.6,1
4,1.0458120681878,1,7,2,25,"2;1","bawsuugU",100,6,3,0,0.6,1
5,0.5,1,-3,2,22,"2;1","bawsuugU",100,6,3,0,0.6,1
6,0.5,2,4,2,26,"2;1","bawsuugU",100,6,3,0,0.6,1
7,0.5,1,-6,2,20,"2;1","bawsuugU",100,6,3,0,0.6,1
8,1.26288984681387,1,8,2,28,"2;1","bawsuugU",100,6,3,0,0.6,1
9,0.708953318116994,1,-4,2,24,"2;1","bawsuugU",100,6,3,0,0.6,1
10,0.932990430203919,1,8,2,32,"2;1","bawsuugU",100,6,3,0,0.6,1
11,0.791766394935323,1,9,2,41,"2;1","bawsuugU",100,6,3,0,0.6,1
12,1.18663057001443,2,6,2,47,"2;1","bawsuugU",100,6,3,0,0.6,1
