"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.87418853666783,1,5,1,5,"2;1","bsZX4ZFh",100,5,2,0,0.4,3
2,0.711218367808127,1,4,1,9,"2;1","bsZX4ZFh",100,5,2,0,0.4,3
3,0.5,1,1,1,10,"2;1","bsZX4ZFh",100,5,2,0,0.4,3
4,0.871834779477686,2,2,1,12,"2;1","bsZX4ZFh",100,5,2,0,0.4,3
5,0.547627360200498,1,5,1,17,"2;1","bsZX4ZFh",100,5,2,0,0.4,3
6,0.999438700309228,1,3,1,20,"2;1","bsZX4ZFh",100,5,2,0,0.4,3
7,0.681625027550958,1,4,1,24,"2;1","bsZX4ZFh",100,5,2,0,0.4,3
8,0.917074419088195,1,6,1,30,"2;1","bsZX4ZFh",100,5,2,0,0.4,3
9,0.643714344982227,1,-1,1,29,"2;1","bsZX4ZFh",100,5,2,0,0.4,3
10,0.970952300698136,2,0,1,29,"2;1","bsZX4ZFh",100,5,2,0,0.4,3
11,0.941590801385682,2,4,1,33,"2;1","bsZX4ZFh",100,5,2,0,0.4,3
12,1.09181286076614,1,3,1,36,"2;1","bsZX4ZFh",100,5,2,0,0.4,3
13,0.5,1,3,1,39,"2;1","bsZX4ZFh",100,5,2,0,0.4,3
14,0.602923100546069,1,2,1,41,"2;1","bsZX4ZFh",100,5,2,0,0.4,3
15,1.35974754477984,1,5,1,46,"2;1","bsZX4ZFh",100,5,2,0,0.4,3
16,0.758240869915658,1,1,1,47,"2;1","bsZX4ZFh",100,5,2,0,0.4,3
17,0.934092403132287,2,6,1,53,"2;1","bsZX4ZFh",100,5,2,0,0.4,3
18,0.741470758786173,2,2,1,55,"2;1","bsZX4ZFh",100,5,2,0,0.4,3
19,0.804924311002103,1,0,1,55,"2;1","bsZX4ZFh",100,5,2,0,0.4,3
20,0.995199263598338,2,0,1,55,"2;1","bsZX4ZFh",100,5,2,0,0.4,3
1,0.641105865936155,1,1,2,1,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
2,0.625868641627416,2,17,2,18,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
3,0.983128638386625,2,1,2,19,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
4,1.03365948378788,2,-5,2,14,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
5,0.5,2,18,2,32,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
6,1.14593793361642,2,-22,2,10,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
7,0.724311718543569,1,5,2,15,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
8,1.12105587925024,1,6,2,21,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
9,0.819741325967993,2,-4,2,17,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
10,1.33909005519159,1,2,2,19,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
11,1.18341261876198,1,6,2,25,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
12,1.01938947906149,1,6,2,31,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
13,1.17197336328533,1,2,2,33,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
14,0.57850465627351,1,3,2,36,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
15,0.718934179283498,1,6,2,42,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
16,0.862404413242093,1,3,2,45,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
17,0.778594170540261,1,5,2,50,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
18,0.723840377328302,1,3,2,53,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
19,1.03605266025505,2,-4,2,49,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
20,0.5,1,4,2,53,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
21,1.01121206297345,1,5,2,58,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
22,0.961880059112395,1,3,2,61,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
23,0.763362748502926,1,4,2,65,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
24,0.553156493586577,1,4,2,69,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
25,0.665762441688256,1,5,2,74,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
1,0.911922751368492,1,5,3,5,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
2,0.901158220524876,1,2,3,7,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
3,0.731080013854356,2,-3,3,4,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
4,0.882231760546277,1,5,3,9,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
5,0.691155750861022,1,6,3,15,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
6,1.28718375850056,1,-2,3,13,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
7,0.777118029716817,1,1,3,14,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
8,0.5,1,3,3,17,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
9,0.5,2,-14,3,3,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
10,1.32484249894271,1,6,3,9,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
11,0.5,2,3,3,12,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
12,0.5,1,10,3,22,"1;2","bsZX4ZFh",100,5,2,0,0.4,3
