"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.604343543578139,1,3,1,3,"1;2","c5K9ZU1N",0,2,NA,0,0.89,1
2,0.866625605312122,1,3,1,6,"1;2","c5K9ZU1N",0,2,NA,0,0.89,1
3,1.11402889465567,1,5,1,11,"1;2","c5K9ZU1N",0,2,NA,0,0.89,1
4,1.16435508405591,1,4,1,15,"1;2","c5K9ZU1N",0,2,NA,0,0.89,1
5,1.1209453864102,1,2,1,17,"1;2","c5K9ZU1N",0,2,NA,0,0.89,1
6,0.545358521667986,1,5,1,22,"1;2","c5K9ZU1N",0,2,NA,0,0.89,1
7,1.18169545589951,1,4,1,26,"1;2","c5K9ZU1N",0,2,NA,0,0.89,1
8,1.0087271365268,1,5,1,31,"1;2","c5K9ZU1N",0,2,NA,0,0.89,1
9,1.04941488898848,2,1,1,32,"1;2","c5K9ZU1N",0,2,NA,0,0.89,1
10,0.662893320725656,1,2,1,34,"1;2","c5K9ZU1N",0,2,NA,0,0.89,1
11,0.575425325066763,1,3,1,37,"1;2","c5K9ZU1N",0,2,NA,0,0.89,1
12,0.967392122249114,1,4,1,41,"1;2","c5K9ZU1N",0,2,NA,0,0.89,1
13,1.03810383174424,1,0,1,41,"1;2","c5K9ZU1N",0,2,NA,0,0.89,1
14,1.20036402788966,1,1,1,42,"1;2","c5K9ZU1N",0,2,NA,0,0.89,1
15,1.25975297841685,1,4,1,46,"1;2","c5K9ZU1N",0,2,NA,0,0.89,1
16,0.72259676058007,1,2,1,48,"1;2","c5K9ZU1N",0,2,NA,0,0.89,1
17,0.7837920492255,1,3,1,51,"1;2","c5K9ZU1N",0,2,NA,0,0.89,1
18,0.671716557131728,1,5,1,56,"1;2","c5K9ZU1N",0,2,NA,0,0.89,1
19,0.611597699972519,2,3,1,59,"1;2","c5K9ZU1N",0,2,NA,0,0.89,1
20,1.22659298110012,2,4,1,63,"1;2","c5K9ZU1N",0,2,NA,0,0.89,1
1,0.835530396384057,2,8,2,8,"2;1","c5K9ZU1N",0,2,NA,0,0.89,1
2,0.5,1,0,2,8,"2;1","c5K9ZU1N",0,2,NA,0,0.89,1
3,0.701559084160829,1,-3,2,5,"2;1","c5K9ZU1N",0,2,NA,0,0.89,1
4,0.927897258336516,1,-26,2,-21,"2;1","c5K9ZU1N",0,2,NA,0,0.89,1
5,0.947430264352958,1,8,2,-13,"2;1","c5K9ZU1N",0,2,NA,0,0.89,1
6,1.20914176343998,1,19,2,6,"2;1","c5K9ZU1N",0,2,NA,0,0.89,1
7,0.5,2,9,2,15,"2;1","c5K9ZU1N",0,2,NA,0,0.89,1
8,0.678993719137542,2,4,2,19,"2;1","c5K9ZU1N",0,2,NA,0,0.89,1
9,1.03132885684826,2,3,2,22,"2;1","c5K9ZU1N",0,2,NA,0,0.89,1
10,0.823231717864736,2,3,2,25,"2;1","c5K9ZU1N",0,2,NA,0,0.89,1
11,0.988650948512345,2,7,2,32,"2;1","c5K9ZU1N",0,2,NA,0,0.89,1
12,1.05726185854874,2,3,2,35,"2;1","c5K9ZU1N",0,2,NA,0,0.89,1
13,1.2298789847901,1,2,2,37,"2;1","c5K9ZU1N",0,2,NA,0,0.89,1
