"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.913078287041111,2,0,1,0,"2;1","cdBvTDag",0,2,NA,0,1.03,2
2,1.41555596391153,2,5,1,5,"2;1","cdBvTDag",0,2,NA,0,1.03,2
3,1.22662123449308,2,3,1,8,"2;1","cdBvTDag",0,2,NA,0,1.03,2
4,0.849272593109138,2,5,1,13,"2;1","cdBvTDag",0,2,NA,0,1.03,2
5,0.954551477319931,2,3,1,16,"2;1","cdBvTDag",0,2,NA,0,1.03,2
6,1.13402883354803,2,4,1,20,"2;1","cdBvTDag",0,2,NA,0,1.03,2
7,0.937884104454859,2,3,1,23,"2;1","cdBvTDag",0,2,NA,0,1.03,2
8,1.05753128910174,2,3,1,26,"2;1","cdBvTDag",0,2,NA,0,1.03,2
9,0.544583587689487,2,4,1,30,"2;1","cdBvTDag",0,2,NA,0,1.03,2
10,0.692396712721981,2,0,1,30,"2;1","cdBvTDag",0,2,NA,0,1.03,2
11,0.751074243316689,2,4,1,34,"2;1","cdBvTDag",0,2,NA,0,1.03,2
12,1.02383838248477,2,1,1,35,"2;1","cdBvTDag",0,2,NA,0,1.03,2
13,0.538892561705893,2,4,1,39,"2;1","cdBvTDag",0,2,NA,0,1.03,2
14,1.01611418798103,2,2,1,41,"2;1","cdBvTDag",0,2,NA,0,1.03,2
15,0.787678989042934,2,2,1,43,"2;1","cdBvTDag",0,2,NA,0,1.03,2
16,0.840933040571995,2,3,1,46,"2;1","cdBvTDag",0,2,NA,0,1.03,2
17,0.919497927747836,2,5,1,51,"2;1","cdBvTDag",0,2,NA,0,1.03,2
18,1.01557432180699,2,2,1,53,"2;1","cdBvTDag",0,2,NA,0,1.03,2
19,0.868341933474045,2,0,1,53,"2;1","cdBvTDag",0,2,NA,0,1.03,2
20,0.880702403062526,2,4,1,57,"2;1","cdBvTDag",0,2,NA,0,1.03,2
1,0.661432270204089,1,15,2,15,"2;1","cdBvTDag",0,2,NA,0,1.03,2
