"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.834212842737305,1,4,1,4,"1;2","ciP9r7GS",100,5,5,0,1,2
2,1.25105017602382,2,-2,1,2,"1;2","ciP9r7GS",100,5,5,0,1,2
3,0.5,1,1,1,3,"1;2","ciP9r7GS",100,5,5,0,1,2
4,0.661313034991483,1,2,1,5,"1;2","ciP9r7GS",100,5,5,0,1,2
5,0.619422552060993,1,3,1,8,"1;2","ciP9r7GS",100,5,5,0,1,2
6,0.5,1,3,1,11,"1;2","ciP9r7GS",100,5,5,0,1,2
7,0.986921156738025,2,2,1,13,"1;2","ciP9r7GS",100,5,5,0,1,2
8,0.923461150473321,1,3,1,16,"1;2","ciP9r7GS",100,5,5,0,1,2
9,0.723462000707068,1,3,1,19,"1;2","ciP9r7GS",100,5,5,0,1,2
10,0.711367112002584,1,6,1,25,"1;2","ciP9r7GS",100,5,5,0,1,2
11,0.5,2,3,1,28,"1;2","ciP9r7GS",100,5,5,0,1,2
12,0.823614149262475,2,2,1,30,"1;2","ciP9r7GS",100,5,5,0,1,2
13,0.527576896071377,1,4,1,34,"1;2","ciP9r7GS",100,5,5,0,1,2
14,1.32144056328264,1,5,1,39,"1;2","ciP9r7GS",100,5,5,0,1,2
15,1.05687345806359,1,4,1,43,"1;2","ciP9r7GS",100,5,5,0,1,2
16,0.5,2,1,1,44,"1;2","ciP9r7GS",100,5,5,0,1,2
17,0.985015350927901,1,3,1,47,"1;2","ciP9r7GS",100,5,5,0,1,2
18,0.549452377765563,1,2,1,49,"1;2","ciP9r7GS",100,5,5,0,1,2
19,0.859972276790441,2,2,1,51,"1;2","ciP9r7GS",100,5,5,0,1,2
20,1.07404732592914,2,4,1,55,"1;2","ciP9r7GS",100,5,5,0,1,2
1,1.05012268824774,1,4,2,4,"1;2","ciP9r7GS",100,5,5,0,1,2
2,0.5,1,3,2,7,"1;2","ciP9r7GS",100,5,5,0,1,2
3,0.626294538402658,2,19,2,26,"1;2","ciP9r7GS",100,5,5,0,1,2
4,0.5,2,-3,2,23,"1;2","ciP9r7GS",100,5,5,0,1,2
5,0.704647888774169,2,-2,2,21,"1;2","ciP9r7GS",100,5,5,0,1,2
6,1.22746124271002,2,0,2,21,"1;2","ciP9r7GS",100,5,5,0,1,2
7,0.920765728855653,2,10,2,31,"1;2","ciP9r7GS",100,5,5,0,1,2
8,1.22844730370865,2,-2,2,29,"1;2","ciP9r7GS",100,5,5,0,1,2
9,0.966608864384181,1,3,2,32,"1;2","ciP9r7GS",100,5,5,0,1,2
10,0.760864302038921,2,-9,2,23,"1;2","ciP9r7GS",100,5,5,0,1,2
11,1.08497619948106,2,-3,2,20,"1;2","ciP9r7GS",100,5,5,0,1,2
12,0.983562420979092,2,-1,2,19,"1;2","ciP9r7GS",100,5,5,0,1,2
13,0.638301333656457,1,3,2,22,"1;2","ciP9r7GS",100,5,5,0,1,2
14,0.700770310023454,2,8,2,30,"1;2","ciP9r7GS",100,5,5,0,1,2
15,0.5,2,27,2,57,"1;2","ciP9r7GS",100,5,5,0,1,2
16,0.955318517085273,2,15,2,72,"1;2","ciP9r7GS",100,5,5,0,1,2
17,0.554829584014997,2,11,2,83,"1;2","ciP9r7GS",100,5,5,0,1,2
18,1.18950217426746,2,-2,2,81,"1;2","ciP9r7GS",100,5,5,0,1,2
19,0.620265102300688,2,14,2,95,"1;2","ciP9r7GS",100,5,5,0,1,2
20,0.56871059091302,1,9,2,104,"1;2","ciP9r7GS",100,5,5,0,1,2
21,0.5,2,10,2,114,"1;2","ciP9r7GS",100,5,5,0,1,2
22,0.626678774045181,1,3,2,117,"1;2","ciP9r7GS",100,5,5,0,1,2
23,0.5,2,14,2,131,"1;2","ciP9r7GS",100,5,5,0,1,2
24,0.938380979212533,1,3,2,134,"1;2","ciP9r7GS",100,5,5,0,1,2
25,0.69406007472203,1,2,2,136,"1;2","ciP9r7GS",100,5,5,0,1,2
1,0.969355327800515,2,5,3,5,"2;1","ciP9r7GS",100,5,5,0,1,2
2,0.52992663035817,2,5,3,10,"2;1","ciP9r7GS",100,5,5,0,1,2
3,0.5,1,18,3,28,"2;1","ciP9r7GS",100,5,5,0,1,2
4,0.820328977934685,1,-9,3,19,"2;1","ciP9r7GS",100,5,5,0,1,2
5,0.816567306375044,1,15,3,34,"2;1","ciP9r7GS",100,5,5,0,1,2
6,1.12307701263319,2,3,3,37,"2;1","ciP9r7GS",100,5,5,0,1,2
7,0.95852142204444,1,3,3,40,"2;1","ciP9r7GS",100,5,5,0,1,2
8,0.911522702512799,1,9,3,49,"2;1","ciP9r7GS",100,5,5,0,1,2
9,0.72145238838963,2,6,3,55,"2;1","ciP9r7GS",100,5,5,0,1,2
