"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.28173999491393,1,1,1,1,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
2,0.5,2,1,1,2,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
3,0.5,1,2,1,4,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
4,0.744835198634701,1,5,1,9,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
5,1.06035595932271,1,3,1,12,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
6,0.736573651907175,2,0,1,12,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
7,0.842917138043914,1,2,1,14,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
8,0.832456864163013,2,2,1,16,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
9,0.574254821116649,2,4,1,20,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
10,1.14257117319303,1,1,1,21,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
11,0.824496719013683,2,4,1,25,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
12,0.70320743322305,2,8,1,33,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
13,0.987018636164445,2,2,1,35,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
14,0.977440469487184,1,1,1,36,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
15,1.10948698179434,2,8,1,44,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
16,0.52290670261682,2,4,1,48,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
17,0.5,2,1,1,49,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
18,0.69835777162822,2,2,1,51,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
19,0.781851607908193,1,3,1,54,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
20,0.58002924345741,2,3,1,57,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
1,0.959766082117151,2,7,2,7,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
2,0.504589824292131,1,3,2,10,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
3,0.821871586239171,1,4,2,14,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
4,0.654425891109254,2,-10,2,4,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
5,0.765183481142009,1,6,2,10,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
6,0.887932675165718,2,10,2,20,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
7,0.807516852943964,2,7,2,27,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
8,1.14796041520884,1,5,2,32,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
9,0.923678710002875,2,-4,2,28,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
10,1.10884006397633,2,5,2,33,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
11,0.862973527683362,2,31,2,64,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
12,0.532055523039958,1,1,2,65,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
13,0.611135437063151,1,5,2,70,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
14,0.80615873277507,2,6,2,76,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
15,0.995541715193944,2,9,2,85,"1;2","d2NKAqNg",0,2,NA,0,0.96,2
