"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.592089803502129,1,3,1,3,"2;1","du1uabqR",100,5,2,1,0.4,2
2,1.30903326527894,1,6,1,9,"2;1","du1uabqR",100,5,2,1,0.4,2
3,0.662614347770553,1,5,1,14,"2;1","du1uabqR",100,5,2,1,0.4,2
4,0.669142966706437,1,4,1,18,"2;1","du1uabqR",100,5,2,1,0.4,2
5,0.784772470754313,1,2,1,20,"2;1","du1uabqR",100,5,2,1,0.4,2
6,0.685546216862158,1,2,1,22,"2;1","du1uabqR",100,5,2,1,0.4,2
7,0.885537917346483,1,4,1,26,"2;1","du1uabqR",100,5,2,1,0.4,2
8,0.812964186449814,1,1,1,27,"2;1","du1uabqR",100,5,2,1,0.4,2
9,0.94806574106864,1,0,1,27,"2;1","du1uabqR",100,5,2,1,0.4,2
10,1.29806295460294,1,4,1,31,"2;1","du1uabqR",100,5,2,1,0.4,2
11,0.618657987530792,2,4,1,35,"2;1","du1uabqR",100,5,2,1,0.4,2
12,0.5,1,6,1,41,"2;1","du1uabqR",100,5,2,1,0.4,2
13,0.788520457964484,1,4,1,45,"2;1","du1uabqR",100,5,2,1,0.4,2
14,0.610779084283507,1,6,1,51,"2;1","du1uabqR",100,5,2,1,0.4,2
15,0.847101605745985,1,4,1,55,"2;1","du1uabqR",100,5,2,1,0.4,2
16,0.5,2,2,1,57,"2;1","du1uabqR",100,5,2,1,0.4,2
17,0.701529967875065,2,4,1,61,"2;1","du1uabqR",100,5,2,1,0.4,2
18,0.857900643711424,2,1,1,62,"2;1","du1uabqR",100,5,2,1,0.4,2
19,0.716221249488054,1,3,1,65,"2;1","du1uabqR",100,5,2,1,0.4,2
20,0.811040319769069,2,5,1,70,"2;1","du1uabqR",100,5,2,1,0.4,2
1,0.73279543766251,1,14,2,14,"2;1","du1uabqR",100,5,2,1,0.4,2
2,1.08914315841024,1,17,2,31,"2;1","du1uabqR",100,5,2,1,0.4,2
3,1.00515112168736,1,11,2,42,"2;1","du1uabqR",100,5,2,1,0.4,2
4,0.7578980991981,1,12,2,54,"2;1","du1uabqR",100,5,2,1,0.4,2
5,0.924138516376726,1,3,2,57,"2;1","du1uabqR",100,5,2,1,0.4,2
6,0.5,2,4,2,61,"2;1","du1uabqR",100,5,2,1,0.4,2
7,0.763279268612091,1,0,2,61,"2;1","du1uabqR",100,5,2,1,0.4,2
8,0.736450031170095,1,-11,2,50,"2;1","du1uabqR",100,5,2,1,0.4,2
9,0.973693245311094,2,3,2,53,"2;1","du1uabqR",100,5,2,1,0.4,2
10,0.5,1,-15,2,38,"2;1","du1uabqR",100,5,2,1,0.4,2
11,0.5,1,9,2,47,"2;1","du1uabqR",100,5,2,1,0.4,2
12,1.11804921987512,1,-6,2,41,"2;1","du1uabqR",100,5,2,1,0.4,2
13,1.18210205084256,1,3,2,44,"2;1","du1uabqR",100,5,2,1,0.4,2
14,0.680512166759147,2,1,2,45,"2;1","du1uabqR",100,5,2,1,0.4,2
15,0.749599230503648,2,6,2,51,"2;1","du1uabqR",100,5,2,1,0.4,2
16,0.718061271584132,1,2,2,53,"2;1","du1uabqR",100,5,2,1,0.4,2
17,0.862274404251673,2,7,2,60,"2;1","du1uabqR",100,5,2,1,0.4,2
18,0.793279773924705,1,3,2,63,"2;1","du1uabqR",100,5,2,1,0.4,2
19,0.752503988197786,2,-1,2,62,"2;1","du1uabqR",100,5,2,1,0.4,2
20,1.06185899086666,1,-1,2,61,"2;1","du1uabqR",100,5,2,1,0.4,2
21,0.668277458164445,1,8,2,69,"2;1","du1uabqR",100,5,2,1,0.4,2
22,0.504667118516662,1,-20,2,49,"2;1","du1uabqR",100,5,2,1,0.4,2
23,0.888548890221063,1,38,2,87,"2;1","du1uabqR",100,5,2,1,0.4,2
24,0.558919116971751,2,4,2,91,"2;1","du1uabqR",100,5,2,1,0.4,2
25,1.49755299139159,2,4,2,95,"2;1","du1uabqR",100,5,2,1,0.4,2
1,0.5,1,-2,3,-2,"2;1","du1uabqR",100,5,2,1,0.4,2
2,0.748444614213734,2,8,3,6,"2;1","du1uabqR",100,5,2,1,0.4,2
3,1.1030165066956,2,1,3,7,"2;1","du1uabqR",100,5,2,1,0.4,2
4,0.833420956201941,2,3,3,10,"2;1","du1uabqR",100,5,2,1,0.4,2
5,1.11550206467957,2,6,3,16,"2;1","du1uabqR",100,5,2,1,0.4,2
6,0.852363194503026,2,8,3,24,"2;1","du1uabqR",100,5,2,1,0.4,2
7,0.80829564734931,2,7,3,31,"2;1","du1uabqR",100,5,2,1,0.4,2
8,0.53750011200747,1,9,3,40,"2;1","du1uabqR",100,5,2,1,0.4,2
