"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.05819656660458,2,4,1,4,"1;2","dunXFwfj",100,4,3,0,0.6,3
2,0.874171200402946,2,1,1,5,"1;2","dunXFwfj",100,4,3,0,0.6,3
3,0.650959528489805,2,3,1,8,"1;2","dunXFwfj",100,4,3,0,0.6,3
4,0.808295047600429,2,-1,1,7,"1;2","dunXFwfj",100,4,3,0,0.6,3
5,0.566581872642759,1,-3,1,4,"1;2","dunXFwfj",100,4,3,0,0.6,3
6,1.01035412261328,1,1,1,5,"1;2","dunXFwfj",100,4,3,0,0.6,3
7,0.933831291407058,1,-1,1,4,"1;2","dunXFwfj",100,4,3,0,0.6,3
8,1.00757083573305,2,1,1,5,"1;2","dunXFwfj",100,4,3,0,0.6,3
9,0.845913378933514,1,0,1,5,"1;2","dunXFwfj",100,4,3,0,0.6,3
10,0.594361528385141,2,1,1,6,"1;2","dunXFwfj",100,4,3,0,0.6,3
11,0.890339597529066,1,3,1,9,"1;2","dunXFwfj",100,4,3,0,0.6,3
12,0.869529751224583,1,3,1,12,"1;2","dunXFwfj",100,4,3,0,0.6,3
13,0.508008331472193,1,-2,1,10,"1;2","dunXFwfj",100,4,3,0,0.6,3
14,0.638092880377264,2,3,1,13,"1;2","dunXFwfj",100,4,3,0,0.6,3
15,1.12792265467645,1,5,1,18,"1;2","dunXFwfj",100,4,3,0,0.6,3
16,0.648145398505997,1,1,1,19,"1;2","dunXFwfj",100,4,3,0,0.6,3
17,0.920110003026908,2,3,1,22,"1;2","dunXFwfj",100,4,3,0,0.6,3
18,1.02800291255839,1,4,1,26,"1;2","dunXFwfj",100,4,3,0,0.6,3
19,0.960246718711217,1,1,1,27,"1;2","dunXFwfj",100,4,3,0,0.6,3
20,1.00790202167667,2,5,1,32,"1;2","dunXFwfj",100,4,3,0,0.6,3
1,0.5,2,3,2,3,"2;1","dunXFwfj",100,4,3,0,0.6,3
2,0.560189586811125,1,27,2,30,"2;1","dunXFwfj",100,4,3,0,0.6,3
3,0.913522398438011,1,9,2,39,"2;1","dunXFwfj",100,4,3,0,0.6,3
4,1.17833421745298,1,18,2,57,"2;1","dunXFwfj",100,4,3,0,0.6,3
5,0.898442240960179,1,-7,2,50,"2;1","dunXFwfj",100,4,3,0,0.6,3
6,1.16374278458172,1,13,2,63,"2;1","dunXFwfj",100,4,3,0,0.6,3
7,0.629564775739636,1,6,2,69,"2;1","dunXFwfj",100,4,3,0,0.6,3
8,0.91351527604134,1,-6,2,63,"2;1","dunXFwfj",100,4,3,0,0.6,3
9,0.58183913638648,1,25,2,88,"2;1","dunXFwfj",100,4,3,0,0.6,3
10,0.814047617000266,1,-14,2,74,"2;1","dunXFwfj",100,4,3,0,0.6,3
11,0.785438230209164,2,1,2,75,"2;1","dunXFwfj",100,4,3,0,0.6,3
12,0.585109447759087,1,-4,2,71,"2;1","dunXFwfj",100,4,3,0,0.6,3
13,0.667453532536517,1,-3,2,68,"2;1","dunXFwfj",100,4,3,0,0.6,3
14,0.841000916923197,1,4,2,72,"2;1","dunXFwfj",100,4,3,0,0.6,3
15,0.781212700776097,1,5,2,77,"2;1","dunXFwfj",100,4,3,0,0.6,3
16,0.832698565396696,1,16,2,93,"2;1","dunXFwfj",100,4,3,0,0.6,3
17,0.5,1,-3,2,90,"2;1","dunXFwfj",100,4,3,0,0.6,3
18,1.12818180986409,1,-17,2,73,"2;1","dunXFwfj",100,4,3,0,0.6,3
19,0.5,1,-7,2,66,"2;1","dunXFwfj",100,4,3,0,0.6,3
20,0.713106695474969,1,9,2,75,"2;1","dunXFwfj",100,4,3,0,0.6,3
