"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,1,4,1,4,"2;1","eNeXzXZ5",0,3,NA,0,1.15,1
2,0.663837185190667,1,0,1,4,"2;1","eNeXzXZ5",0,3,NA,0,1.15,1
3,0.941851309325231,1,2,1,6,"2;1","eNeXzXZ5",0,3,NA,0,1.15,1
4,0.922043345796035,1,6,1,12,"2;1","eNeXzXZ5",0,3,NA,0,1.15,1
5,0.661873350183222,2,7,1,19,"2;1","eNeXzXZ5",0,3,NA,0,1.15,1
6,0.932247690375765,2,3,1,22,"2;1","eNeXzXZ5",0,3,NA,0,1.15,1
7,1.01655366518249,1,7,1,29,"2;1","eNeXzXZ5",0,3,NA,0,1.15,1
8,1.00884450739418,1,6,1,35,"2;1","eNeXzXZ5",0,3,NA,0,1.15,1
9,0.894539831639796,1,2,1,37,"2;1","eNeXzXZ5",0,3,NA,0,1.15,1
10,0.5,1,-1,1,36,"2;1","eNeXzXZ5",0,3,NA,0,1.15,1
11,0.771871897432462,2,3,1,39,"2;1","eNeXzXZ5",0,3,NA,0,1.15,1
12,0.598270993565391,2,3,1,42,"2;1","eNeXzXZ5",0,3,NA,0,1.15,1
13,0.742534820424112,1,1,1,43,"2;1","eNeXzXZ5",0,3,NA,0,1.15,1
14,0.5,2,2,1,45,"2;1","eNeXzXZ5",0,3,NA,0,1.15,1
15,0.806567420077521,1,2,1,47,"2;1","eNeXzXZ5",0,3,NA,0,1.15,1
16,0.627658401026541,2,3,1,50,"2;1","eNeXzXZ5",0,3,NA,0,1.15,1
17,0.5,2,4,1,54,"2;1","eNeXzXZ5",0,3,NA,0,1.15,1
18,0.5,1,-1,1,53,"2;1","eNeXzXZ5",0,3,NA,0,1.15,1
19,0.911249001029369,2,1,1,54,"2;1","eNeXzXZ5",0,3,NA,0,1.15,1
20,0.5,2,3,1,57,"2;1","eNeXzXZ5",0,3,NA,0,1.15,1
1,1.06941298641829,2,0,2,0,"2;1","eNeXzXZ5",0,3,NA,0,1.15,1
2,0.726695049424913,1,0,2,0,"2;1","eNeXzXZ5",0,3,NA,0,1.15,1
3,0.865286640400169,1,-9,2,-9,"2;1","eNeXzXZ5",0,3,NA,0,1.15,1
4,0.916125441300897,2,3,2,-6,"2;1","eNeXzXZ5",0,3,NA,0,1.15,1
5,0.680324429154331,2,0,2,-6,"2;1","eNeXzXZ5",0,3,NA,0,1.15,1
6,0.982126998131418,1,1,2,-5,"2;1","eNeXzXZ5",0,3,NA,0,1.15,1
7,0.922631309862662,2,-1,2,-6,"2;1","eNeXzXZ5",0,3,NA,0,1.15,1
