"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.849716259589289,1,3,1,3,"1;2","eeqEFKyK",100,6,5,2,1,3
2,0.979941817157975,1,7,1,10,"1;2","eeqEFKyK",100,6,5,2,1,3
3,0.944912209865756,1,3,1,13,"1;2","eeqEFKyK",100,6,5,2,1,3
4,0.682516728201445,1,2,1,15,"1;2","eeqEFKyK",100,6,5,2,1,3
5,1.10925753039646,1,5,1,20,"1;2","eeqEFKyK",100,6,5,2,1,3
6,0.505876993938354,1,1,1,21,"1;2","eeqEFKyK",100,6,5,2,1,3
7,0.831821746065881,1,4,1,25,"1;2","eeqEFKyK",100,6,5,2,1,3
8,0.755795918173603,1,1,1,26,"1;2","eeqEFKyK",100,6,5,2,1,3
9,1.06651755008604,1,-2,1,24,"1;2","eeqEFKyK",100,6,5,2,1,3
10,0.597441359360892,1,1,1,25,"1;2","eeqEFKyK",100,6,5,2,1,3
11,0.883971924770953,2,3,1,28,"1;2","eeqEFKyK",100,6,5,2,1,3
12,1.02625425884037,2,6,1,34,"1;2","eeqEFKyK",100,6,5,2,1,3
13,0.613036354724641,2,3,1,37,"1;2","eeqEFKyK",100,6,5,2,1,3
14,0.61977742651617,2,1,1,38,"1;2","eeqEFKyK",100,6,5,2,1,3
15,0.754800062519068,2,3,1,41,"1;2","eeqEFKyK",100,6,5,2,1,3
16,0.5,1,3,1,44,"1;2","eeqEFKyK",100,6,5,2,1,3
17,0.920591420776198,2,1,1,45,"1;2","eeqEFKyK",100,6,5,2,1,3
18,0.5,2,4,1,49,"1;2","eeqEFKyK",100,6,5,2,1,3
19,0.56880442764852,1,2,1,51,"1;2","eeqEFKyK",100,6,5,2,1,3
20,0.961251121090853,2,5,1,56,"1;2","eeqEFKyK",100,6,5,2,1,3
1,0.927008495069421,2,1,2,1,"1;2","eeqEFKyK",100,6,5,2,1,3
2,1.08519502743164,1,3,2,4,"1;2","eeqEFKyK",100,6,5,2,1,3
3,0.766577070340305,1,4,2,8,"1;2","eeqEFKyK",100,6,5,2,1,3
4,0.548021824984303,1,1,2,9,"1;2","eeqEFKyK",100,6,5,2,1,3
5,1.04915877900056,1,4,2,13,"1;2","eeqEFKyK",100,6,5,2,1,3
6,0.829522910915866,2,24,2,37,"1;2","eeqEFKyK",100,6,5,2,1,3
7,0.5,1,-2,2,35,"1;2","eeqEFKyK",100,6,5,2,1,3
8,1.1744292825598,2,10,2,45,"1;2","eeqEFKyK",100,6,5,2,1,3
9,0.5,1,4,2,49,"1;2","eeqEFKyK",100,6,5,2,1,3
10,1.13579892496479,2,-23,2,26,"1;2","eeqEFKyK",100,6,5,2,1,3
11,1.03110155348362,2,13,2,39,"1;2","eeqEFKyK",100,6,5,2,1,3
12,0.958924721207931,2,4,2,43,"1;2","eeqEFKyK",100,6,5,2,1,3
13,1.27946784788292,2,4,2,47,"1;2","eeqEFKyK",100,6,5,2,1,3
14,1.27394607014401,2,1,2,48,"1;2","eeqEFKyK",100,6,5,2,1,3
15,0.596412978568563,1,1,2,49,"1;2","eeqEFKyK",100,6,5,2,1,3
16,1.29604030618257,1,3,2,52,"1;2","eeqEFKyK",100,6,5,2,1,3
17,1.08657084816628,1,4,2,56,"1;2","eeqEFKyK",100,6,5,2,1,3
18,0.874060623210336,2,-8,2,48,"1;2","eeqEFKyK",100,6,5,2,1,3
19,1.10113465139643,2,0,2,48,"1;2","eeqEFKyK",100,6,5,2,1,3
20,1.15062109886083,2,1,2,49,"1;2","eeqEFKyK",100,6,5,2,1,3
21,0.969058865863015,2,13,2,62,"1;2","eeqEFKyK",100,6,5,2,1,3
