"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.782398871408187,2,8,1,8,"1;2","enQDRnFf",100,6,2,0,0.4,1
2,0.527462464335585,2,3,1,11,"1;2","enQDRnFf",100,6,2,0,0.4,1
3,0.767076912968328,2,6,1,17,"1;2","enQDRnFf",100,6,2,0,0.4,1
4,1.0266556822045,2,3,1,20,"1;2","enQDRnFf",100,6,2,0,0.4,1
5,0.5,1,4,1,24,"1;2","enQDRnFf",100,6,2,0,0.4,1
6,0.847403365783127,2,0,1,24,"1;2","enQDRnFf",100,6,2,0,0.4,1
7,0.895142163560059,1,4,1,28,"1;2","enQDRnFf",100,6,2,0,0.4,1
8,0.99202812171594,2,1,1,29,"1;2","enQDRnFf",100,6,2,0,0.4,1
9,0.652544465389823,1,3,1,32,"1;2","enQDRnFf",100,6,2,0,0.4,1
10,1.23963709980295,1,5,1,37,"1;2","enQDRnFf",100,6,2,0,0.4,1
11,1.19204683678652,1,7,1,44,"1;2","enQDRnFf",100,6,2,0,0.4,1
12,0.748767648182802,1,5,1,49,"1;2","enQDRnFf",100,6,2,0,0.4,1
13,1.19821082575194,1,2,1,51,"1;2","enQDRnFf",100,6,2,0,0.4,1
14,0.5,1,2,1,53,"1;2","enQDRnFf",100,6,2,0,0.4,1
15,1.04239340947799,1,2,1,55,"1;2","enQDRnFf",100,6,2,0,0.4,1
16,0.704660813502048,1,0,1,55,"1;2","enQDRnFf",100,6,2,0,0.4,1
17,0.987311975388409,2,2,1,57,"1;2","enQDRnFf",100,6,2,0,0.4,1
18,0.5,1,3,1,60,"1;2","enQDRnFf",100,6,2,0,0.4,1
19,0.809226202624617,1,5,1,65,"1;2","enQDRnFf",100,6,2,0,0.4,1
20,0.636817317010682,1,6,1,71,"1;2","enQDRnFf",100,6,2,0,0.4,1
1,0.556533340291645,1,7,2,7,"2;1","enQDRnFf",100,6,2,0,0.4,1
2,0.872398419605485,1,-5,2,2,"2;1","enQDRnFf",100,6,2,0,0.4,1
3,0.814352123742916,2,0,2,2,"2;1","enQDRnFf",100,6,2,0,0.4,1
4,0.537041193041316,2,3,2,5,"2;1","enQDRnFf",100,6,2,0,0.4,1
5,0.547510201037438,2,3,2,8,"2;1","enQDRnFf",100,6,2,0,0.4,1
6,1.0796357290767,2,3,2,11,"2;1","enQDRnFf",100,6,2,0,0.4,1
7,0.997522054455744,2,2,2,13,"2;1","enQDRnFf",100,6,2,0,0.4,1
8,1.07221311530323,2,4,2,17,"2;1","enQDRnFf",100,6,2,0,0.4,1
9,0.532547071403118,2,3,2,20,"2;1","enQDRnFf",100,6,2,0,0.4,1
10,0.791687105353393,2,2,2,22,"2;1","enQDRnFf",100,6,2,0,0.4,1
11,0.644778822659829,2,-1,2,21,"2;1","enQDRnFf",100,6,2,0,0.4,1
12,1.30355137710334,2,8,2,29,"2;1","enQDRnFf",100,6,2,0,0.4,1
13,0.663936748395489,2,2,2,31,"2;1","enQDRnFf",100,6,2,0,0.4,1
14,0.5,2,5,2,36,"2;1","enQDRnFf",100,6,2,0,0.4,1
15,0.537036935419384,2,2,2,38,"2;1","enQDRnFf",100,6,2,0,0.4,1
16,0.5,2,5,2,43,"2;1","enQDRnFf",100,6,2,0,0.4,1
17,0.916288576551838,2,7,2,50,"2;1","enQDRnFf",100,6,2,0,0.4,1
18,0.540787853625867,2,-2,2,48,"2;1","enQDRnFf",100,6,2,0,0.4,1
19,0.993143117351048,2,7,2,55,"2;1","enQDRnFf",100,6,2,0,0.4,1
20,0.780853115764464,2,3,2,58,"2;1","enQDRnFf",100,6,2,0,0.4,1
21,0.911480386327003,2,1,2,59,"2;1","enQDRnFf",100,6,2,0,0.4,1
22,1.24146647711099,2,2,2,61,"2;1","enQDRnFf",100,6,2,0,0.4,1
23,0.5,2,2,2,63,"2;1","enQDRnFf",100,6,2,0,0.4,1
24,0.699228814885424,1,16,2,79,"2;1","enQDRnFf",100,6,2,0,0.4,1
25,0.683745965619455,2,5,2,84,"2;1","enQDRnFf",100,6,2,0,0.4,1
1,0.664327553344838,2,6,3,6,"2;1","enQDRnFf",100,6,2,0,0.4,1
2,0.766309838317022,2,1,3,7,"2;1","enQDRnFf",100,6,2,0,0.4,1
3,0.796655096950128,2,3,3,10,"2;1","enQDRnFf",100,6,2,0,0.4,1
4,0.5,1,10,3,20,"2;1","enQDRnFf",100,6,2,0,0.4,1
5,0.975749630156632,1,-15,3,5,"2;1","enQDRnFf",100,6,2,0,0.4,1
6,0.525196996077599,2,4,3,9,"2;1","enQDRnFf",100,6,2,0,0.4,1
7,0.5,2,2,3,11,"2;1","enQDRnFf",100,6,2,0,0.4,1
8,0.91075153275329,2,2,3,13,"2;1","enQDRnFf",100,6,2,0,0.4,1
9,1.1119344832279,2,5,3,18,"2;1","enQDRnFf",100,6,2,0,0.4,1
