"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.699683055397847,1,6,1,6,"1;2","fJv4d2yi",0,3,NA,2,0.83,2
2,0.815251244458765,1,1,1,7,"1;2","fJv4d2yi",0,3,NA,2,0.83,2
3,0.890332622276171,2,8,1,15,"1;2","fJv4d2yi",0,3,NA,2,0.83,2
4,0.787597994433824,2,5,1,20,"1;2","fJv4d2yi",0,3,NA,2,0.83,2
5,0.5,2,7,1,27,"1;2","fJv4d2yi",0,3,NA,2,0.83,2
6,0.580817463030533,2,0,1,27,"1;2","fJv4d2yi",0,3,NA,2,0.83,2
7,0.509503314221838,2,4,1,31,"1;2","fJv4d2yi",0,3,NA,2,0.83,2
8,1.1588127417473,2,4,1,35,"1;2","fJv4d2yi",0,3,NA,2,0.83,2
9,0.897308563599858,1,2,1,37,"1;2","fJv4d2yi",0,3,NA,2,0.83,2
10,0.569405327032832,2,1,1,38,"1;2","fJv4d2yi",0,3,NA,2,0.83,2
11,0.693445129735766,1,6,1,44,"1;2","fJv4d2yi",0,3,NA,2,0.83,2
12,1.48996765947004,1,4,1,48,"1;2","fJv4d2yi",0,3,NA,2,0.83,2
13,0.5,1,-2,1,46,"1;2","fJv4d2yi",0,3,NA,2,0.83,2
14,0.678070854541656,1,5,1,51,"1;2","fJv4d2yi",0,3,NA,2,0.83,2
15,0.650079542342331,2,2,1,53,"1;2","fJv4d2yi",0,3,NA,2,0.83,2
16,0.5,2,2,1,55,"1;2","fJv4d2yi",0,3,NA,2,0.83,2
17,0.508552568332458,1,-1,1,54,"1;2","fJv4d2yi",0,3,NA,2,0.83,2
18,0.5,2,2,1,56,"1;2","fJv4d2yi",0,3,NA,2,0.83,2
19,0.568117328884142,2,3,1,59,"1;2","fJv4d2yi",0,3,NA,2,0.83,2
20,0.68150795658191,2,5,1,64,"1;2","fJv4d2yi",0,3,NA,2,0.83,2
1,0.853781318170733,2,1,2,1,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
2,0.5,2,1,2,2,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
3,0.5,2,6,2,8,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
4,0.70933843545125,2,-1,2,7,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
5,1.04414180352387,2,4,2,11,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
6,0.854900312678012,2,1,2,12,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
7,0.938015813138684,2,3,2,15,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
8,1.12815465597666,1,3,2,18,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
9,1.06909443041803,2,3,2,21,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
10,0.5,2,-1,2,20,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
11,0.599446404658561,2,-2,2,18,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
12,0.833965106087,1,-9,2,9,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
13,1.06669557265713,2,0,2,9,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
14,0.815342196583612,2,-3,2,6,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
15,1.10700390862735,2,1,2,7,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
16,0.612983531498088,2,0,2,7,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
17,1.16981099541511,1,11,2,18,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
18,0.762934443155215,2,2,2,20,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
19,0.5,1,4,2,24,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
20,0.5,1,0,2,24,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
21,1.06418607312601,1,-1,2,23,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
22,0.706716046866844,2,2,2,25,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
23,0.5,1,10,2,35,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
24,0.804258398772142,1,-11,2,24,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
25,0.5,2,2,2,26,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
1,1.14272083561684,1,20,3,20,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
2,0.958357999896154,1,15,3,35,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
3,0.835866689772693,2,3,3,38,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
4,0.55176577926103,1,1,3,39,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
5,0.765374674987751,1,-1,3,38,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
6,1.03986205541974,2,-1,3,37,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
7,0.746773710093783,1,-11,3,26,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
8,0.874192914909039,1,1,3,27,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
9,1.01860333381628,1,-7,3,20,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
10,0.863170521425562,2,2,3,22,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
11,0.5,2,3,3,25,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
12,0.788992667886069,2,4,3,29,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
13,0.747972709991703,2,5,3,34,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
14,0.528985005320942,1,23,3,57,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
15,0.646636952046597,1,8,3,65,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
16,0.647278960000597,1,-12,3,53,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
17,1.40753349503745,1,2,3,55,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
18,1.13121067824248,2,4,3,59,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
19,0.995630288550671,1,-9,3,50,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
20,1.07688541060454,2,1,3,51,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
21,1.12583010778657,2,2,3,53,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
22,1.08889423410273,2,2,3,55,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
23,0.61028862299312,1,6,3,61,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
24,0.570626950807921,2,7,3,68,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
25,0.633535011914615,2,5,3,73,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
1,0.71013094389062,2,4,4,4,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
2,0.854920956893147,2,3,4,7,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
3,0.885514477870449,2,3,4,10,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
4,0.63491110763717,2,6,4,16,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
5,0.603409827161817,2,4,4,20,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
6,0.901820146977105,2,0,4,20,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
7,0.976827151443578,2,2,4,22,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
8,0.551337185316429,2,6,4,28,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
9,0.952069264333945,2,6,4,34,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
10,0.5,2,4,4,38,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
11,0.747878979711351,2,2,4,40,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
12,0.743933350348457,2,-1,4,39,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
13,0.723983495335601,2,2,4,41,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
14,1.33184290528563,2,2,4,43,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
15,0.5,2,2,4,45,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
16,0.51280841660868,2,4,4,49,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
17,0.622923428967136,2,5,4,54,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
18,0.967799850856587,2,3,4,57,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
19,0.596870810482285,2,0,4,57,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
20,0.81485933449336,2,4,4,61,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
21,0.512383867680048,2,-1,4,60,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
22,0.557248507240998,2,3,4,63,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
23,0.657451134450705,2,-2,4,61,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
24,0.852202463023657,2,5,4,66,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
25,0.5,2,6,4,72,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
1,0.9354187245522,2,2,5,2,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
2,1.10291556630692,2,2,5,4,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
3,1.13691274165472,1,8,5,12,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
4,1.01679984492169,1,12,5,24,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
5,1.07247953352236,1,11,5,35,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
6,0.805946091053286,1,13,5,48,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
7,0.609132289959187,1,13,5,61,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
8,0.891818013430419,1,38,5,99,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
9,0.827485638737722,1,-15,5,84,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
10,0.777796325881256,2,-1,5,83,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
11,0.5,1,17,5,100,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
12,1.46958055086695,1,19,5,119,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
13,0.695446693875012,1,7,5,126,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
14,1.27800099085957,1,3,5,129,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
15,0.539663140563076,1,21,5,150,"2;1","fJv4d2yi",0,3,NA,2,0.83,2
