"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.86893625839845,2,5,1,5,"2;1","ffrk7n1J",100,4,6,0,1.2,3
2,0.922400499247099,2,3,1,8,"2;1","ffrk7n1J",100,4,6,0,1.2,3
3,0.668613103029994,2,3,1,11,"2;1","ffrk7n1J",100,4,6,0,1.2,3
4,0.922996076534696,1,2,1,13,"2;1","ffrk7n1J",100,4,6,0,1.2,3
5,0.893446790216619,2,2,1,15,"2;1","ffrk7n1J",100,4,6,0,1.2,3
6,0.777230225287238,2,6,1,21,"2;1","ffrk7n1J",100,4,6,0,1.2,3
7,1.11227238360562,1,4,1,25,"2;1","ffrk7n1J",100,4,6,0,1.2,3
8,0.810755465923844,1,5,1,30,"2;1","ffrk7n1J",100,4,6,0,1.2,3
9,0.862635769826887,1,6,1,36,"2;1","ffrk7n1J",100,4,6,0,1.2,3
10,0.5,1,2,1,38,"2;1","ffrk7n1J",100,4,6,0,1.2,3
11,0.826499737420831,1,3,1,41,"2;1","ffrk7n1J",100,4,6,0,1.2,3
12,0.554427684603381,2,3,1,44,"2;1","ffrk7n1J",100,4,6,0,1.2,3
13,0.913545124841806,1,4,1,48,"2;1","ffrk7n1J",100,4,6,0,1.2,3
14,0.607516639648711,2,1,1,49,"2;1","ffrk7n1J",100,4,6,0,1.2,3
15,0.700974695802267,2,5,1,54,"2;1","ffrk7n1J",100,4,6,0,1.2,3
16,0.923491866287752,1,2,1,56,"2;1","ffrk7n1J",100,4,6,0,1.2,3
17,0.872627626423916,2,2,1,58,"2;1","ffrk7n1J",100,4,6,0,1.2,3
18,0.888351434955939,1,4,1,62,"2;1","ffrk7n1J",100,4,6,0,1.2,3
19,0.72781497150605,2,4,1,66,"2;1","ffrk7n1J",100,4,6,0,1.2,3
20,1.49572714024579,2,5,1,71,"2;1","ffrk7n1J",100,4,6,0,1.2,3
1,1.22617307887247,2,1,2,1,"1;2","ffrk7n1J",100,4,6,0,1.2,3
2,0.5,1,3,2,4,"1;2","ffrk7n1J",100,4,6,0,1.2,3
3,0.736362506701522,2,7,2,11,"1;2","ffrk7n1J",100,4,6,0,1.2,3
4,0.512241091208955,2,10,2,21,"1;2","ffrk7n1J",100,4,6,0,1.2,3
5,0.593579034189835,1,7,2,28,"1;2","ffrk7n1J",100,4,6,0,1.2,3
6,1.11975255477225,2,2,2,30,"1;2","ffrk7n1J",100,4,6,0,1.2,3
7,0.872305491835013,2,-22,2,8,"1;2","ffrk7n1J",100,4,6,0,1.2,3
8,0.560379648695478,2,-6,2,2,"1;2","ffrk7n1J",100,4,6,0,1.2,3
9,0.511196597732289,1,5,2,7,"1;2","ffrk7n1J",100,4,6,0,1.2,3
10,0.907146617336324,2,-3,2,4,"1;2","ffrk7n1J",100,4,6,0,1.2,3
11,0.548970423985546,2,27,2,31,"1;2","ffrk7n1J",100,4,6,0,1.2,3
12,1.02406964786679,2,-2,2,29,"1;2","ffrk7n1J",100,4,6,0,1.2,3
13,0.741163506596956,1,6,2,35,"1;2","ffrk7n1J",100,4,6,0,1.2,3
14,0.941362651268279,2,5,2,40,"1;2","ffrk7n1J",100,4,6,0,1.2,3
15,0.791891619662366,2,-6,2,34,"1;2","ffrk7n1J",100,4,6,0,1.2,3
16,0.793101227560406,2,-5,2,29,"1;2","ffrk7n1J",100,4,6,0,1.2,3
17,0.814897540983526,2,30,2,59,"1;2","ffrk7n1J",100,4,6,0,1.2,3
18,1.3009207384118,2,11,2,70,"1;2","ffrk7n1J",100,4,6,0,1.2,3
19,0.89048907898516,2,12,2,82,"1;2","ffrk7n1J",100,4,6,0,1.2,3
