"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.958135945277341,2,2,1,2,"1;2","gTNQ2kZl",0,1,NA,0,1,1
2,1.12580840618151,1,3,1,5,"1;2","gTNQ2kZl",0,1,NA,0,1,1
3,0.768693192837878,1,3,1,8,"1;2","gTNQ2kZl",0,1,NA,0,1,1
4,0.912743518083804,1,5,1,13,"1;2","gTNQ2kZl",0,1,NA,0,1,1
5,0.5,1,2,1,15,"1;2","gTNQ2kZl",0,1,NA,0,1,1
6,0.705357468705436,2,2,1,17,"1;2","gTNQ2kZl",0,1,NA,0,1,1
7,0.960974765737733,2,5,1,22,"1;2","gTNQ2kZl",0,1,NA,0,1,1
8,0.605403092181131,1,3,1,25,"1;2","gTNQ2kZl",0,1,NA,0,1,1
9,1.18445635197276,1,0,1,25,"1;2","gTNQ2kZl",0,1,NA,0,1,1
10,0.811433045824677,2,6,1,31,"1;2","gTNQ2kZl",0,1,NA,0,1,1
11,0.896150242211784,2,2,1,33,"1;2","gTNQ2kZl",0,1,NA,0,1,1
12,0.802256124655091,1,4,1,37,"1;2","gTNQ2kZl",0,1,NA,0,1,1
13,0.679336660335825,1,6,1,43,"1;2","gTNQ2kZl",0,1,NA,0,1,1
14,0.844301595274402,1,2,1,45,"1;2","gTNQ2kZl",0,1,NA,0,1,1
15,0.89008547559669,1,6,1,51,"1;2","gTNQ2kZl",0,1,NA,0,1,1
16,0.770437962151326,2,3,1,54,"1;2","gTNQ2kZl",0,1,NA,0,1,1
17,0.657357726598101,2,3,1,57,"1;2","gTNQ2kZl",0,1,NA,0,1,1
18,0.760095349774447,1,3,1,60,"1;2","gTNQ2kZl",0,1,NA,0,1,1
19,0.5,1,4,1,64,"1;2","gTNQ2kZl",0,1,NA,0,1,1
20,1.05904462387462,1,4,1,68,"1;2","gTNQ2kZl",0,1,NA,0,1,1
1,1.38871049658113,2,-14,2,-14,"1;2","gTNQ2kZl",0,1,NA,0,1,1
2,1.31218340431897,1,4,2,-10,"1;2","gTNQ2kZl",0,1,NA,0,1,1
3,1.13588218821943,1,3,2,-7,"1;2","gTNQ2kZl",0,1,NA,0,1,1
4,0.5,1,-1,2,-8,"1;2","gTNQ2kZl",0,1,NA,0,1,1
5,0.70026578201273,1,6,2,-2,"1;2","gTNQ2kZl",0,1,NA,0,1,1
6,1.29793955341038,1,2,2,0,"1;2","gTNQ2kZl",0,1,NA,0,1,1
7,0.5,1,5,2,5,"1;2","gTNQ2kZl",0,1,NA,0,1,1
8,1.09167695173574,2,12,2,17,"1;2","gTNQ2kZl",0,1,NA,0,1,1
9,0.97010917048756,1,5,2,22,"1;2","gTNQ2kZl",0,1,NA,0,1,1
10,0.936657044748144,1,6,2,28,"1;2","gTNQ2kZl",0,1,NA,0,1,1
11,0.976966614233581,1,3,2,31,"1;2","gTNQ2kZl",0,1,NA,0,1,1
12,0.86443513191215,1,4,2,35,"1;2","gTNQ2kZl",0,1,NA,0,1,1
13,1.17665516155755,1,2,2,37,"1;2","gTNQ2kZl",0,1,NA,0,1,1
14,0.5,2,11,2,48,"1;2","gTNQ2kZl",0,1,NA,0,1,1
15,0.928214886704024,1,5,2,53,"1;2","gTNQ2kZl",0,1,NA,0,1,1
16,0.532570353430235,1,3,2,56,"1;2","gTNQ2kZl",0,1,NA,0,1,1
17,1.05163894139549,1,7,2,63,"1;2","gTNQ2kZl",0,1,NA,0,1,1
18,0.566361545923539,1,6,2,69,"1;2","gTNQ2kZl",0,1,NA,0,1,1
19,0.886727063719902,1,2,2,71,"1;2","gTNQ2kZl",0,1,NA,0,1,1
20,0.852769848377549,1,2,2,73,"1;2","gTNQ2kZl",0,1,NA,0,1,1
21,1.17441720382339,1,6,2,79,"1;2","gTNQ2kZl",0,1,NA,0,1,1
22,1.15466865953379,1,3,2,82,"1;2","gTNQ2kZl",0,1,NA,0,1,1
23,0.738912594492204,2,-9,2,73,"1;2","gTNQ2kZl",0,1,NA,0,1,1
24,1.06335633147767,1,7,2,80,"1;2","gTNQ2kZl",0,1,NA,0,1,1
25,1.19135949772631,2,10,2,90,"1;2","gTNQ2kZl",0,1,NA,0,1,1
1,0.740115719113799,2,9,3,9,"2;1","gTNQ2kZl",0,1,NA,0,1,1
2,0.5,2,3,3,12,"2;1","gTNQ2kZl",0,1,NA,0,1,1
3,0.885488064904684,1,-1,3,11,"2;1","gTNQ2kZl",0,1,NA,0,1,1
4,0.993921760226598,2,3,3,14,"2;1","gTNQ2kZl",0,1,NA,0,1,1
