"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.789334753327934,1,0,1,0,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
2,0.716181165041119,2,6,1,6,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
3,1.05972122769505,1,0,1,6,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
4,0.672824965478338,1,0,1,6,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
5,0.540787058052747,2,2,1,8,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
6,0.938543819275767,1,4,1,12,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
7,0.904772937337292,1,-1,1,11,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
8,0.5,2,1,1,12,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
9,0.819380318681192,2,3,1,15,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
10,0.594521330092364,2,3,1,18,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
11,0.850554720987653,2,5,1,23,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
12,1.11312077459401,1,4,1,27,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
13,0.926042055630573,1,3,1,30,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
14,0.648557380716673,1,3,1,33,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
15,0.936668671704903,2,4,1,37,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
16,0.802435158159121,1,5,1,42,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
17,0.844303003073563,2,4,1,46,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
18,0.965707995084806,2,0,1,46,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
19,0.780025167429631,1,1,1,47,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
20,0.5,2,1,1,48,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
1,0.737083229203595,2,6,2,6,"2;1","gWNEjqeZ",100,5,2,0,0.4,3
2,0.5,2,1,2,7,"2;1","gWNEjqeZ",100,5,2,0,0.4,3
3,0.785244986347452,2,4,2,11,"2;1","gWNEjqeZ",100,5,2,0,0.4,3
4,0.747641850806809,2,9,2,20,"2;1","gWNEjqeZ",100,5,2,0,0.4,3
5,0.697484340319002,2,6,2,26,"2;1","gWNEjqeZ",100,5,2,0,0.4,3
6,1.18792334023517,2,1,2,27,"2;1","gWNEjqeZ",100,5,2,0,0.4,3
7,1.30269743589375,2,0,2,27,"2;1","gWNEjqeZ",100,5,2,0,0.4,3
8,1.27485585332346,2,8,2,35,"2;1","gWNEjqeZ",100,5,2,0,0.4,3
9,0.578083725723038,2,7,2,42,"2;1","gWNEjqeZ",100,5,2,0,0.4,3
10,0.612132091118653,2,5,2,47,"2;1","gWNEjqeZ",100,5,2,0,0.4,3
11,0.692901381248629,2,1,2,48,"2;1","gWNEjqeZ",100,5,2,0,0.4,3
12,0.780561908054408,2,5,2,53,"2;1","gWNEjqeZ",100,5,2,0,0.4,3
13,0.5,2,1,2,54,"2;1","gWNEjqeZ",100,5,2,0,0.4,3
14,0.622026861218067,2,6,2,60,"2;1","gWNEjqeZ",100,5,2,0,0.4,3
15,0.695559891277208,2,4,2,64,"2;1","gWNEjqeZ",100,5,2,0,0.4,3
16,1.03372575327049,2,2,2,66,"2;1","gWNEjqeZ",100,5,2,0,0.4,3
17,0.522121090643826,2,1,2,67,"2;1","gWNEjqeZ",100,5,2,0,0.4,3
18,0.56664748995615,2,5,2,72,"2;1","gWNEjqeZ",100,5,2,0,0.4,3
19,0.5,2,3,2,75,"2;1","gWNEjqeZ",100,5,2,0,0.4,3
20,0.5,2,7,2,82,"2;1","gWNEjqeZ",100,5,2,0,0.4,3
21,1.24175703453235,2,1,2,83,"2;1","gWNEjqeZ",100,5,2,0,0.4,3
22,0.630332581108657,2,5,2,88,"2;1","gWNEjqeZ",100,5,2,0,0.4,3
23,0.873942704800471,2,2,2,90,"2;1","gWNEjqeZ",100,5,2,0,0.4,3
24,0.5,2,5,2,95,"2;1","gWNEjqeZ",100,5,2,0,0.4,3
25,0.744527874191255,1,-1,2,94,"2;1","gWNEjqeZ",100,5,2,0,0.4,3
1,0.928211551461484,2,11,3,11,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
2,1.11456813336757,2,1,3,12,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
3,0.871573254537892,2,0,3,12,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
4,0.676149562805437,2,2,3,14,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
5,0.625211798480962,2,6,3,20,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
6,0.744965778675517,2,3,3,23,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
7,0.954478381071562,2,-10,3,13,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
8,0.916851860897789,2,20,3,33,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
9,1.01065414942792,2,0,3,33,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
10,0.632091568832783,2,8,3,41,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
11,0.631744881206963,1,5,3,46,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
12,0.716510608526522,1,3,3,49,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
13,0.887858356829118,2,15,3,64,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
14,0.5,1,4,3,68,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
15,0.648950222499605,2,-9,3,59,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
16,1.03582586289361,2,-12,3,47,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
17,0.859064966187874,2,-5,3,42,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
18,0.873644855256824,1,5,3,47,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
19,0.651456989121201,1,5,3,52,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
20,0.5,2,-3,3,49,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
21,1.21073617685698,2,-4,3,45,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
22,0.792121671817467,2,-6,3,39,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
23,0.8834781574097,2,16,3,55,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
24,0.847219857955065,2,4,3,59,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
25,0.859466954359046,2,23,3,82,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
1,0.670335675993451,2,-6,4,-6,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
2,0.581401757304507,2,10,4,4,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
3,0.798767044364249,2,11,4,15,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
4,0.800980616909944,2,22,4,37,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
5,1.01985406017161,2,-1,4,36,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
6,0.767008912049307,2,9,4,45,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
7,0.637487347704132,2,-25,4,20,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
8,0.771838312380668,2,6,4,26,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
9,1.0547123832897,2,-11,4,15,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
10,1.03892510978449,2,11,4,26,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
11,0.663852016148299,2,0,4,26,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
12,0.591346982770859,2,2,4,28,"1;2","gWNEjqeZ",100,5,2,0,0.4,3
