"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.838552094803118,1,8,1,8,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
2,0.552591321149334,1,5,1,13,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
3,0.541840276522511,2,2,1,15,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
4,0.628440737944799,1,4,1,19,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
5,0.683516686398507,2,3,1,22,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
6,1.02499189116439,1,3,1,25,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
7,1.23459380895352,2,2,1,27,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
8,0.557018333149057,2,5,1,32,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
9,0.864788075429911,2,4,1,36,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
10,0.570895961654511,2,5,1,41,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
11,1.25161480745089,2,2,1,43,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
12,1.18416447162457,2,4,1,47,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
13,0.550330639625707,2,2,1,49,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
14,0.715173619108694,1,2,1,51,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
15,0.72442828548507,1,4,1,55,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
16,0.8908976993141,1,3,1,58,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
17,0.747812237629369,1,5,1,63,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
18,0.5,1,-1,1,62,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
19,1.1086064717014,1,0,1,62,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
20,1.22771792633184,2,3,1,65,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
1,0.5,1,0,2,0,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
2,0.510514089812112,2,-8,2,-8,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
3,1.11225074967301,1,4,2,-4,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
4,0.776986083322272,1,-2,2,-6,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
5,1.05913188508865,1,0,2,-6,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
6,0.537631063421629,2,2,2,-4,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
7,1.07536299079903,1,4,2,0,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
8,0.838893338174316,2,-14,2,-14,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
9,0.622324662798313,1,4,2,-10,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
10,1.16465065918531,1,0,2,-10,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
11,1.15121000715081,1,3,2,-7,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
12,0.5,2,11,2,4,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
13,0.58838731934947,1,-1,2,3,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
14,0.579298736408982,1,6,2,9,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
15,0.5,2,3,2,12,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
16,0.5,2,-4,2,8,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
17,0.985215594108013,2,34,2,42,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
18,0.963185938865627,2,8,2,50,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
19,1.25843177800256,2,4,2,54,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
20,0.80827678598046,1,2,2,56,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
21,0.914585161027521,2,-3,2,53,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
22,0.713066455454577,2,-7,2,46,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
23,0.767924604901425,2,25,2,71,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
24,0.623548185989229,2,-9,2,62,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
25,0.906245088196296,1,4,2,66,"1;2","gcFIg1WW",0,3,NA,0,0.76,1
1,0.652067988724574,1,3,3,3,"2;1","gcFIg1WW",0,3,NA,0,0.76,1
2,1.16909356262324,1,-6,3,-3,"2;1","gcFIg1WW",0,3,NA,0,0.76,1
3,0.681938859465293,1,-5,3,-8,"2;1","gcFIg1WW",0,3,NA,0,0.76,1
4,0.759090539410076,1,3,3,-5,"2;1","gcFIg1WW",0,3,NA,0,0.76,1
5,0.882406230744917,1,14,3,9,"2;1","gcFIg1WW",0,3,NA,0,0.76,1
6,0.645298792156301,2,2,3,11,"2;1","gcFIg1WW",0,3,NA,0,0.76,1
7,0.769041353515295,2,4,3,15,"2;1","gcFIg1WW",0,3,NA,0,0.76,1
8,1.05442890834645,1,-12,3,3,"2;1","gcFIg1WW",0,3,NA,0,0.76,1
9,1.1720912255826,2,5,3,8,"2;1","gcFIg1WW",0,3,NA,0,0.76,1
10,1.00976219826234,1,6,3,14,"2;1","gcFIg1WW",0,3,NA,0,0.76,1
11,1.03522501287344,1,5,3,19,"2;1","gcFIg1WW",0,3,NA,0,0.76,1
12,0.689113229941736,2,3,3,22,"2;1","gcFIg1WW",0,3,NA,0,0.76,1
13,1.31348710443588,2,2,3,24,"2;1","gcFIg1WW",0,3,NA,0,0.76,1
14,0.779054224127763,1,-5,3,19,"2;1","gcFIg1WW",0,3,NA,0,0.76,1
15,1.3679277372799,2,3,3,22,"2;1","gcFIg1WW",0,3,NA,0,0.76,1
16,0.5,2,2,3,24,"2;1","gcFIg1WW",0,3,NA,0,0.76,1
17,1.00716886758017,1,2,3,26,"2;1","gcFIg1WW",0,3,NA,0,0.76,1
18,1.15881783798638,2,3,3,29,"2;1","gcFIg1WW",0,3,NA,0,0.76,1
19,0.867412951852624,1,0,3,29,"2;1","gcFIg1WW",0,3,NA,0,0.76,1
20,1.12080006681291,1,-6,3,23,"2;1","gcFIg1WW",0,3,NA,0,0.76,1
21,0.845369773346638,1,7,3,30,"2;1","gcFIg1WW",0,3,NA,0,0.76,1
22,0.670611083403275,2,-1,3,29,"2;1","gcFIg1WW",0,3,NA,0,0.76,1
23,0.5,2,-1,3,28,"2;1","gcFIg1WW",0,3,NA,0,0.76,1
