"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.901502610047094,2,3,1,3,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
2,0.561322787901037,2,2,1,5,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
3,0.828509252796315,1,4,1,9,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
4,0.530027535165252,2,2,1,11,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
5,1.22964793963697,1,4,1,15,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
6,0.917489915071909,2,1,1,16,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
7,1.05860554667384,1,4,1,20,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
8,0.629433895525403,1,5,1,25,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
9,0.886896383667371,2,0,1,25,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
10,0.826983909633858,1,1,1,26,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
11,1.30279881724971,1,3,1,29,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
12,1.14673836966129,2,1,1,30,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
13,0.63247576696596,2,1,1,31,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
14,0.763590072616321,2,9,1,40,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
15,0.584712936670776,1,6,1,46,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
16,1.142401531639,1,0,1,46,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
17,0.790312627041713,1,3,1,49,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
18,0.82695870933364,2,3,1,52,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
19,1.50488390626878,1,-2,1,50,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
20,1.10889802231526,2,4,1,54,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
1,0.931294710965951,1,9,2,9,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
2,0.845455601458498,1,5,2,14,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
3,0.904613716236101,2,9,2,23,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
4,0.5,1,7,2,30,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
5,0.94693197801249,1,1,2,31,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
6,0.688937419340566,2,-9,2,22,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
7,1.13863375596383,2,-1,2,21,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
8,1.1476940122448,1,3,2,24,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
9,0.689500385232182,1,2,2,26,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
10,0.5,2,20,2,46,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
11,0.945017626466529,1,3,2,49,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
12,0.769885238878563,1,3,2,52,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
13,0.874684574735314,1,2,2,54,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
14,0.541782060315882,2,-18,2,36,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
15,0.98681345238939,1,2,2,38,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
16,0.580853049480226,2,-8,2,30,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
17,0.985219294195474,2,-24,2,6,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
18,0.855267361738449,1,2,2,8,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
19,0.733591128347092,1,6,2,14,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
20,1.33987957574681,2,-3,2,11,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
21,0.771509987974956,1,-1,2,10,"1;2","gr5YGEbn",0,2,NA,0,0.88,2
