"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.533068370422576,2,3,1,3,"2;1","gsbG67SH",100,6,2,0,0.4,1
2,1.00941660493417,1,3,1,6,"2;1","gsbG67SH",100,6,2,0,0.4,1
3,0.5,1,4,1,10,"2;1","gsbG67SH",100,6,2,0,0.4,1
4,0.5,2,3,1,13,"2;1","gsbG67SH",100,6,2,0,0.4,1
5,0.7522916169373,2,6,1,19,"2;1","gsbG67SH",100,6,2,0,0.4,1
6,0.86224026886183,1,3,1,22,"2;1","gsbG67SH",100,6,2,0,0.4,1
7,1.08923797187678,1,1,1,23,"2;1","gsbG67SH",100,6,2,0,0.4,1
8,0.5,1,1,1,24,"2;1","gsbG67SH",100,6,2,0,0.4,1
9,0.651792513788911,1,4,1,28,"2;1","gsbG67SH",100,6,2,0,0.4,1
10,0.908598089926782,1,3,1,31,"2;1","gsbG67SH",100,6,2,0,0.4,1
11,1.15806602632979,1,3,1,34,"2;1","gsbG67SH",100,6,2,0,0.4,1
12,1.0366535605671,1,2,1,36,"2;1","gsbG67SH",100,6,2,0,0.4,1
13,0.961856659406524,2,2,1,38,"2;1","gsbG67SH",100,6,2,0,0.4,1
14,0.518351304912988,2,3,1,41,"2;1","gsbG67SH",100,6,2,0,0.4,1
15,0.905157904981345,2,6,1,47,"2;1","gsbG67SH",100,6,2,0,0.4,1
16,0.771613616859263,2,4,1,51,"2;1","gsbG67SH",100,6,2,0,0.4,1
17,0.702502219508492,2,4,1,55,"2;1","gsbG67SH",100,6,2,0,0.4,1
18,1.02966209722629,2,3,1,58,"2;1","gsbG67SH",100,6,2,0,0.4,1
19,1.05908110846319,1,5,1,63,"2;1","gsbG67SH",100,6,2,0,0.4,1
20,0.991357331740984,1,5,1,68,"2;1","gsbG67SH",100,6,2,0,0.4,1
1,0.5,2,-5,2,-5,"1;2","gsbG67SH",100,6,2,0,0.4,1
2,0.554092589172965,1,2,2,-3,"1;2","gsbG67SH",100,6,2,0,0.4,1
3,0.701998419738818,2,8,2,5,"1;2","gsbG67SH",100,6,2,0,0.4,1
4,0.907432233988308,2,12,2,17,"1;2","gsbG67SH",100,6,2,0,0.4,1
5,0.920483647378407,1,2,2,19,"1;2","gsbG67SH",100,6,2,0,0.4,1
6,0.5,2,9,2,28,"1;2","gsbG67SH",100,6,2,0,0.4,1
7,0.975873701426554,1,-1,2,27,"1;2","gsbG67SH",100,6,2,0,0.4,1
8,0.770900038777206,1,3,2,30,"1;2","gsbG67SH",100,6,2,0,0.4,1
9,0.690189737558005,1,0,2,30,"1;2","gsbG67SH",100,6,2,0,0.4,1
10,1.30645714125446,1,0,2,30,"1;2","gsbG67SH",100,6,2,0,0.4,1
11,0.916914768271257,2,11,2,41,"1;2","gsbG67SH",100,6,2,0,0.4,1
12,1.15288221171705,1,4,2,45,"1;2","gsbG67SH",100,6,2,0,0.4,1
13,0.663466328208095,2,1,2,46,"1;2","gsbG67SH",100,6,2,0,0.4,1
14,0.866293304428873,2,16,2,62,"1;2","gsbG67SH",100,6,2,0,0.4,1
15,0.806898992384416,2,22,2,84,"1;2","gsbG67SH",100,6,2,0,0.4,1
16,0.834365371703204,1,1,2,85,"1;2","gsbG67SH",100,6,2,0,0.4,1
17,0.994090262671727,2,19,2,104,"1;2","gsbG67SH",100,6,2,0,0.4,1
18,0.876194206987211,1,-1,2,103,"1;2","gsbG67SH",100,6,2,0,0.4,1
19,1.22242138391796,1,0,2,103,"1;2","gsbG67SH",100,6,2,0,0.4,1
20,0.598796918616934,1,4,2,107,"1;2","gsbG67SH",100,6,2,0,0.4,1
21,0.5,1,5,2,112,"1;2","gsbG67SH",100,6,2,0,0.4,1
22,0.668843208893408,1,3,2,115,"1;2","gsbG67SH",100,6,2,0,0.4,1
23,0.5,2,-17,2,98,"1;2","gsbG67SH",100,6,2,0,0.4,1
24,0.653134377784892,1,1,2,99,"1;2","gsbG67SH",100,6,2,0,0.4,1
