"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.908679231407928,1,7,1,7,"1;2","hKNAUBKc",0,2,NA,1,0.88,1
2,0.5,1,2,1,9,"1;2","hKNAUBKc",0,2,NA,1,0.88,1
3,0.698347507111233,1,3,1,12,"1;2","hKNAUBKc",0,2,NA,1,0.88,1
4,1.08265266145699,2,2,1,14,"1;2","hKNAUBKc",0,2,NA,1,0.88,1
5,0.868296159184934,1,5,1,19,"1;2","hKNAUBKc",0,2,NA,1,0.88,1
6,0.707155019209134,1,5,1,24,"1;2","hKNAUBKc",0,2,NA,1,0.88,1
7,0.558672766114224,1,5,1,29,"1;2","hKNAUBKc",0,2,NA,1,0.88,1
8,0.808888043382709,1,1,1,30,"1;2","hKNAUBKc",0,2,NA,1,0.88,1
9,0.580423880583486,1,1,1,31,"1;2","hKNAUBKc",0,2,NA,1,0.88,1
10,0.848688784237263,1,8,1,39,"1;2","hKNAUBKc",0,2,NA,1,0.88,1
11,0.770615494183316,1,3,1,42,"1;2","hKNAUBKc",0,2,NA,1,0.88,1
12,0.899144418361755,1,1,1,43,"1;2","hKNAUBKc",0,2,NA,1,0.88,1
13,0.744149371716474,1,2,1,45,"1;2","hKNAUBKc",0,2,NA,1,0.88,1
14,1.06745869016366,1,3,1,48,"1;2","hKNAUBKc",0,2,NA,1,0.88,1
15,0.503944668106388,1,-1,1,47,"1;2","hKNAUBKc",0,2,NA,1,0.88,1
16,0.862587643222969,1,1,1,48,"1;2","hKNAUBKc",0,2,NA,1,0.88,1
17,1.08616584929421,1,5,1,53,"1;2","hKNAUBKc",0,2,NA,1,0.88,1
18,0.895907499334361,1,1,1,54,"1;2","hKNAUBKc",0,2,NA,1,0.88,1
19,0.888504003467946,2,8,1,62,"1;2","hKNAUBKc",0,2,NA,1,0.88,1
20,1.11214416440294,2,5,1,67,"1;2","hKNAUBKc",0,2,NA,1,0.88,1
1,0.653214672099215,1,-13,2,-13,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
2,0.5,2,2,2,-11,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
3,0.633045126149754,2,3,2,-8,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
4,0.925051412112561,2,5,2,-3,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
5,1.09843295265366,2,7,2,4,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
6,0.999444796285878,2,5,2,9,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
7,0.5,2,6,2,15,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
8,0.591133092542287,2,0,2,15,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
9,0.788484456034496,2,4,2,19,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
10,0.630539298135374,2,-1,2,18,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
11,0.888114227013049,2,2,2,20,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
12,0.625872676805809,2,6,2,26,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
13,0.938887788104366,2,3,2,29,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
14,0.857893138562259,2,6,2,35,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
15,1.16999505493039,1,-1,2,34,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
16,0.954921318684093,2,3,2,37,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
17,0.743645872022642,2,4,2,41,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
18,1.09105177914674,2,7,2,48,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
19,1.10446834950617,2,5,2,53,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
20,0.893231558694004,2,5,2,58,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
21,0.642279434021784,2,2,2,60,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
22,0.790492349605285,2,8,2,68,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
23,0.976801804519379,2,7,2,75,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
24,0.690282592169589,2,6,2,81,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
25,0.924454823093243,2,5,2,86,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
1,0.85524018680103,2,6,3,6,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
2,1.1439076243394,2,6,3,12,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
3,1.16874677791218,2,5,3,17,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
4,0.856640484418093,2,5,3,22,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
5,0.5,2,0,3,22,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
6,1.11928009349331,2,2,3,24,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
7,0.669127498189465,2,8,3,32,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
8,0.724122706131784,2,0,3,32,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
9,0.712094904329225,2,3,3,35,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
10,0.694581219300893,2,6,3,41,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
11,1.1762192656983,1,-9,3,32,"2;1","hKNAUBKc",0,2,NA,1,0.88,1
