"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.779615941183713,2,3,1,3,"1;2","hLCxoEGL",100,5,2,0,0.4,2
2,0.51891204150022,1,0,1,3,"1;2","hLCxoEGL",100,5,2,0,0.4,2
3,0.771333142261594,1,2,1,5,"1;2","hLCxoEGL",100,5,2,0,0.4,2
4,0.625753898762016,2,4,1,9,"1;2","hLCxoEGL",100,5,2,0,0.4,2
5,0.546205837229035,1,3,1,12,"1;2","hLCxoEGL",100,5,2,0,0.4,2
6,0.732015322011644,1,4,1,16,"1;2","hLCxoEGL",100,5,2,0,0.4,2
7,0.554298613329608,2,2,1,18,"1;2","hLCxoEGL",100,5,2,0,0.4,2
8,1.01710092827558,1,4,1,22,"1;2","hLCxoEGL",100,5,2,0,0.4,2
9,0.681538770913818,2,0,1,22,"1;2","hLCxoEGL",100,5,2,0,0.4,2
10,0.850766862251703,1,0,1,22,"1;2","hLCxoEGL",100,5,2,0,0.4,2
11,0.701614206929123,2,4,1,26,"1;2","hLCxoEGL",100,5,2,0,0.4,2
12,1.0382885707144,2,6,1,32,"1;2","hLCxoEGL",100,5,2,0,0.4,2
13,0.726428604994997,1,1,1,33,"1;2","hLCxoEGL",100,5,2,0,0.4,2
14,1.20211224207241,2,-1,1,32,"1;2","hLCxoEGL",100,5,2,0,0.4,2
15,0.586996979584673,1,3,1,35,"1;2","hLCxoEGL",100,5,2,0,0.4,2
16,0.5,2,2,1,37,"1;2","hLCxoEGL",100,5,2,0,0.4,2
17,0.805125184772793,1,4,1,41,"1;2","hLCxoEGL",100,5,2,0,0.4,2
18,0.799326445974444,1,1,1,42,"1;2","hLCxoEGL",100,5,2,0,0.4,2
19,0.91829733166459,1,0,1,42,"1;2","hLCxoEGL",100,5,2,0,0.4,2
20,1.14419547413033,2,4,1,46,"1;2","hLCxoEGL",100,5,2,0,0.4,2
1,0.65600348819057,2,12,2,12,"1;2","hLCxoEGL",100,5,2,0,0.4,2
2,0.5,1,3,2,15,"1;2","hLCxoEGL",100,5,2,0,0.4,2
3,0.641390599701158,2,-2,2,13,"1;2","hLCxoEGL",100,5,2,0,0.4,2
4,0.82433178137809,2,-14,2,-1,"1;2","hLCxoEGL",100,5,2,0,0.4,2
5,0.636819794837102,1,5,2,4,"1;2","hLCxoEGL",100,5,2,0,0.4,2
6,0.936493089420293,1,11,2,15,"1;2","hLCxoEGL",100,5,2,0,0.4,2
