"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,1,3,1,3,"2;1","hS6iCEXO",100,5,2,0,0.4,3
2,1.06581517612782,2,3,1,6,"2;1","hS6iCEXO",100,5,2,0,0.4,3
3,0.648191561608689,2,4,1,10,"2;1","hS6iCEXO",100,5,2,0,0.4,3
4,0.724287105487728,2,0,1,10,"2;1","hS6iCEXO",100,5,2,0,0.4,3
5,0.642284178537857,1,2,1,12,"2;1","hS6iCEXO",100,5,2,0,0.4,3
6,0.5,1,2,1,14,"2;1","hS6iCEXO",100,5,2,0,0.4,3
7,1.01107181386144,2,1,1,15,"2;1","hS6iCEXO",100,5,2,0,0.4,3
8,0.596519723336561,2,1,1,16,"2;1","hS6iCEXO",100,5,2,0,0.4,3
9,0.5,1,8,1,24,"2;1","hS6iCEXO",100,5,2,0,0.4,3
10,0.790519409864826,2,4,1,28,"2;1","hS6iCEXO",100,5,2,0,0.4,3
11,1.05634997388811,2,3,1,31,"2;1","hS6iCEXO",100,5,2,0,0.4,3
12,1.18268268703979,2,1,1,32,"2;1","hS6iCEXO",100,5,2,0,0.4,3
13,0.5,1,6,1,38,"2;1","hS6iCEXO",100,5,2,0,0.4,3
14,0.922512314259196,2,4,1,42,"2;1","hS6iCEXO",100,5,2,0,0.4,3
15,0.563514144036424,2,6,1,48,"2;1","hS6iCEXO",100,5,2,0,0.4,3
16,0.726623371757839,2,1,1,49,"2;1","hS6iCEXO",100,5,2,0,0.4,3
17,1.11529369056464,1,1,1,50,"2;1","hS6iCEXO",100,5,2,0,0.4,3
18,0.787831654433657,2,6,1,56,"2;1","hS6iCEXO",100,5,2,0,0.4,3
19,1.0241288080152,1,2,1,58,"2;1","hS6iCEXO",100,5,2,0,0.4,3
20,1.01397364859106,1,2,1,60,"2;1","hS6iCEXO",100,5,2,0,0.4,3
1,0.988446574159913,2,2,2,2,"2;1","hS6iCEXO",100,5,2,0,0.4,3
2,0.5,2,5,2,7,"2;1","hS6iCEXO",100,5,2,0,0.4,3
3,0.70419693785223,1,21,2,28,"2;1","hS6iCEXO",100,5,2,0,0.4,3
4,0.929878104393496,1,4,2,32,"2;1","hS6iCEXO",100,5,2,0,0.4,3
5,0.830878872677305,2,4,2,36,"2;1","hS6iCEXO",100,5,2,0,0.4,3
6,0.585892967954658,1,19,2,55,"2;1","hS6iCEXO",100,5,2,0,0.4,3
7,0.712729628699192,2,3,2,58,"2;1","hS6iCEXO",100,5,2,0,0.4,3
8,0.532432210188239,1,11,2,69,"2;1","hS6iCEXO",100,5,2,0,0.4,3
9,0.568403400404097,2,9,2,78,"2;1","hS6iCEXO",100,5,2,0,0.4,3
10,0.871895668685177,2,2,2,80,"2;1","hS6iCEXO",100,5,2,0,0.4,3
11,0.763908435332435,1,2,2,82,"2;1","hS6iCEXO",100,5,2,0,0.4,3
12,0.722840943613425,1,16,2,98,"2;1","hS6iCEXO",100,5,2,0,0.4,3
13,0.74015880725201,1,1,2,99,"2;1","hS6iCEXO",100,5,2,0,0.4,3
14,0.55389559416487,1,0,2,99,"2;1","hS6iCEXO",100,5,2,0,0.4,3
15,0.824944722952154,1,7,2,106,"2;1","hS6iCEXO",100,5,2,0,0.4,3
16,0.808716787415741,2,6,2,112,"2;1","hS6iCEXO",100,5,2,0,0.4,3
17,0.640895074030353,1,2,2,114,"2;1","hS6iCEXO",100,5,2,0,0.4,3
18,0.80999175969045,1,19,2,133,"2;1","hS6iCEXO",100,5,2,0,0.4,3
19,0.564410400807302,2,3,2,136,"2;1","hS6iCEXO",100,5,2,0,0.4,3
20,1.15928694506236,1,11,2,147,"2;1","hS6iCEXO",100,5,2,0,0.4,3
21,0.778299686297343,1,9,2,156,"2;1","hS6iCEXO",100,5,2,0,0.4,3
22,0.868799286130937,1,16,2,172,"2;1","hS6iCEXO",100,5,2,0,0.4,3
23,0.5,2,3,2,175,"2;1","hS6iCEXO",100,5,2,0,0.4,3
24,1.20387559491283,1,-12,2,163,"2;1","hS6iCEXO",100,5,2,0,0.4,3
25,0.780639500009546,1,15,2,178,"2;1","hS6iCEXO",100,5,2,0,0.4,3
1,0.824980208055101,1,10,3,10,"2;1","hS6iCEXO",100,5,2,0,0.4,3
2,0.939101363914212,1,-20,3,-10,"2;1","hS6iCEXO",100,5,2,0,0.4,3
3,1.09177631615492,2,2,3,-8,"2;1","hS6iCEXO",100,5,2,0,0.4,3
4,0.834468453517481,2,4,3,-4,"2;1","hS6iCEXO",100,5,2,0,0.4,3
5,0.889629833362178,1,-1,3,-5,"2;1","hS6iCEXO",100,5,2,0,0.4,3
6,0.940100989080348,2,6,3,1,"2;1","hS6iCEXO",100,5,2,0,0.4,3
7,0.957774209960225,1,-14,3,-13,"2;1","hS6iCEXO",100,5,2,0,0.4,3
8,0.651909178068961,2,4,3,-9,"2;1","hS6iCEXO",100,5,2,0,0.4,3
9,0.5,2,1,3,-8,"2;1","hS6iCEXO",100,5,2,0,0.4,3
10,0.76760291937551,2,5,3,-3,"2;1","hS6iCEXO",100,5,2,0,0.4,3
