"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.737919358093618,1,5,1,5,"1;2","hbNazkCn",0,2,NA,1,1.08,3
2,0.694227203610185,1,2,1,7,"1;2","hbNazkCn",0,2,NA,1,1.08,3
3,0.570793458115167,1,3,1,10,"1;2","hbNazkCn",0,2,NA,1,1.08,3
4,0.778618834588247,1,2,1,12,"1;2","hbNazkCn",0,2,NA,1,1.08,3
5,0.64438718402288,2,1,1,13,"1;2","hbNazkCn",0,2,NA,1,1.08,3
6,0.700007580327632,2,2,1,15,"1;2","hbNazkCn",0,2,NA,1,1.08,3
7,0.713235246543255,2,2,1,17,"1;2","hbNazkCn",0,2,NA,1,1.08,3
8,0.865509643655631,1,6,1,23,"1;2","hbNazkCn",0,2,NA,1,1.08,3
9,1.05525554965535,1,2,1,25,"1;2","hbNazkCn",0,2,NA,1,1.08,3
10,0.5,1,2,1,27,"1;2","hbNazkCn",0,2,NA,1,1.08,3
11,0.575983252334781,1,4,1,31,"1;2","hbNazkCn",0,2,NA,1,1.08,3
12,0.750945326875214,2,4,1,35,"1;2","hbNazkCn",0,2,NA,1,1.08,3
13,0.971520116613744,1,0,1,35,"1;2","hbNazkCn",0,2,NA,1,1.08,3
14,0.657693283952382,1,4,1,39,"1;2","hbNazkCn",0,2,NA,1,1.08,3
15,1.05659548639647,1,6,1,45,"1;2","hbNazkCn",0,2,NA,1,1.08,3
16,1.02769581851781,1,4,1,49,"1;2","hbNazkCn",0,2,NA,1,1.08,3
17,1.05421010451733,1,4,1,53,"1;2","hbNazkCn",0,2,NA,1,1.08,3
18,0.584418929766636,1,3,1,56,"1;2","hbNazkCn",0,2,NA,1,1.08,3
19,0.8269918776637,1,4,1,60,"1;2","hbNazkCn",0,2,NA,1,1.08,3
20,0.771738442371592,1,3,1,63,"1;2","hbNazkCn",0,2,NA,1,1.08,3
1,0.816539013710807,1,4,2,4,"1;2","hbNazkCn",0,2,NA,1,1.08,3
2,0.955662984398929,1,1,2,5,"1;2","hbNazkCn",0,2,NA,1,1.08,3
3,1.06950057154431,1,3,2,8,"1;2","hbNazkCn",0,2,NA,1,1.08,3
4,0.58104942723117,1,3,2,11,"1;2","hbNazkCn",0,2,NA,1,1.08,3
5,0.789146818104692,1,2,2,13,"1;2","hbNazkCn",0,2,NA,1,1.08,3
6,0.75424679213914,1,4,2,17,"1;2","hbNazkCn",0,2,NA,1,1.08,3
7,1.23437611382151,1,8,2,25,"1;2","hbNazkCn",0,2,NA,1,1.08,3
8,0.539607040370003,1,3,2,28,"1;2","hbNazkCn",0,2,NA,1,1.08,3
9,0.5,2,-3,2,25,"1;2","hbNazkCn",0,2,NA,1,1.08,3
10,1.11513060228359,1,2,2,27,"1;2","hbNazkCn",0,2,NA,1,1.08,3
11,0.841550774001906,1,4,2,31,"1;2","hbNazkCn",0,2,NA,1,1.08,3
12,0.566869614630902,1,1,2,32,"1;2","hbNazkCn",0,2,NA,1,1.08,3
13,0.941119734692513,2,-2,2,30,"1;2","hbNazkCn",0,2,NA,1,1.08,3
14,0.645332448714036,1,4,2,34,"1;2","hbNazkCn",0,2,NA,1,1.08,3
15,0.650869412015564,1,2,2,36,"1;2","hbNazkCn",0,2,NA,1,1.08,3
16,1.00593483506675,1,4,2,40,"1;2","hbNazkCn",0,2,NA,1,1.08,3
17,0.932939999279544,2,-4,2,36,"1;2","hbNazkCn",0,2,NA,1,1.08,3
18,0.577288929670781,1,8,2,44,"1;2","hbNazkCn",0,2,NA,1,1.08,3
19,1.0646646686185,1,2,2,46,"1;2","hbNazkCn",0,2,NA,1,1.08,3
20,0.56271864515507,1,5,2,51,"1;2","hbNazkCn",0,2,NA,1,1.08,3
21,0.730293302702787,1,2,2,53,"1;2","hbNazkCn",0,2,NA,1,1.08,3
22,0.5,1,4,2,57,"1;2","hbNazkCn",0,2,NA,1,1.08,3
23,1.08101010831519,2,-7,2,50,"1;2","hbNazkCn",0,2,NA,1,1.08,3
24,0.933257489243817,1,10,2,60,"1;2","hbNazkCn",0,2,NA,1,1.08,3
25,0.5,1,2,2,62,"1;2","hbNazkCn",0,2,NA,1,1.08,3
1,0.565713737232515,2,14,3,14,"1;2","hbNazkCn",0,2,NA,1,1.08,3
2,1.25326112838004,2,4,3,18,"1;2","hbNazkCn",0,2,NA,1,1.08,3
3,1.09975825701786,2,-2,3,16,"1;2","hbNazkCn",0,2,NA,1,1.08,3
4,0.964341050056592,1,3,3,19,"1;2","hbNazkCn",0,2,NA,1,1.08,3
5,1.19161091121874,2,25,3,44,"1;2","hbNazkCn",0,2,NA,1,1.08,3
6,0.81708792506909,2,-3,3,41,"1;2","hbNazkCn",0,2,NA,1,1.08,3
7,0.5,2,0,3,41,"1;2","hbNazkCn",0,2,NA,1,1.08,3
8,0.725341669629254,2,-8,3,33,"1;2","hbNazkCn",0,2,NA,1,1.08,3
9,1.02303238524901,2,19,3,52,"1;2","hbNazkCn",0,2,NA,1,1.08,3
10,0.828366088382142,2,-4,3,48,"1;2","hbNazkCn",0,2,NA,1,1.08,3
11,0.61204920478254,2,19,3,67,"1;2","hbNazkCn",0,2,NA,1,1.08,3
12,0.891330027605898,1,5,3,72,"1;2","hbNazkCn",0,2,NA,1,1.08,3
13,0.89870635186016,1,6,3,78,"1;2","hbNazkCn",0,2,NA,1,1.08,3
14,1.21338774202813,2,-5,3,73,"1;2","hbNazkCn",0,2,NA,1,1.08,3
15,0.796525076259522,2,-6,3,67,"1;2","hbNazkCn",0,2,NA,1,1.08,3
16,1.15073435152268,2,0,3,67,"1;2","hbNazkCn",0,2,NA,1,1.08,3
17,1.13552581531175,1,4,3,71,"1;2","hbNazkCn",0,2,NA,1,1.08,3
18,0.649284341313863,1,3,3,74,"1;2","hbNazkCn",0,2,NA,1,1.08,3
19,1.08180401064939,1,1,3,75,"1;2","hbNazkCn",0,2,NA,1,1.08,3
20,0.874711698309919,1,1,3,76,"1;2","hbNazkCn",0,2,NA,1,1.08,3
21,0.619366450287221,1,3,3,79,"1;2","hbNazkCn",0,2,NA,1,1.08,3
22,1.04370420705842,1,5,3,84,"1;2","hbNazkCn",0,2,NA,1,1.08,3
23,0.84401714377108,1,3,3,87,"1;2","hbNazkCn",0,2,NA,1,1.08,3
24,0.801594225459504,2,17,3,104,"1;2","hbNazkCn",0,2,NA,1,1.08,3
25,0.585017233913584,2,3,3,107,"1;2","hbNazkCn",0,2,NA,1,1.08,3
1,0.5,1,12,4,12,"2;1","hbNazkCn",0,2,NA,1,1.08,3
2,0.649051787586348,2,2,4,14,"2;1","hbNazkCn",0,2,NA,1,1.08,3
3,1.15636576918771,1,6,4,20,"2;1","hbNazkCn",0,2,NA,1,1.08,3
4,1.22897151389093,1,7,4,27,"2;1","hbNazkCn",0,2,NA,1,1.08,3
5,0.897420111476322,1,3,4,30,"2;1","hbNazkCn",0,2,NA,1,1.08,3
6,0.952239919070056,2,5,4,35,"2;1","hbNazkCn",0,2,NA,1,1.08,3
7,0.85996979841807,1,7,4,42,"2;1","hbNazkCn",0,2,NA,1,1.08,3
8,1.07739568490978,2,0,4,42,"2;1","hbNazkCn",0,2,NA,1,1.08,3
9,1.07429184544512,1,-17,4,25,"2;1","hbNazkCn",0,2,NA,1,1.08,3
10,0.730772057881884,2,1,4,26,"2;1","hbNazkCn",0,2,NA,1,1.08,3
11,1.1213986818278,1,-1,4,25,"2;1","hbNazkCn",0,2,NA,1,1.08,3
12,0.663742542398365,2,6,4,31,"2;1","hbNazkCn",0,2,NA,1,1.08,3
13,0.508500255366373,1,15,4,46,"2;1","hbNazkCn",0,2,NA,1,1.08,3
14,0.788739839285635,1,12,4,58,"2;1","hbNazkCn",0,2,NA,1,1.08,3
15,0.5,1,5,4,63,"2;1","hbNazkCn",0,2,NA,1,1.08,3
16,0.827294595128417,2,5,4,68,"2;1","hbNazkCn",0,2,NA,1,1.08,3
17,0.872802973868534,2,1,4,69,"2;1","hbNazkCn",0,2,NA,1,1.08,3
18,0.5,1,14,4,83,"2;1","hbNazkCn",0,2,NA,1,1.08,3
19,0.601818683372975,1,7,4,90,"2;1","hbNazkCn",0,2,NA,1,1.08,3
20,0.757914474673699,2,6,4,96,"2;1","hbNazkCn",0,2,NA,1,1.08,3
21,1.10786012635779,1,-7,4,89,"2;1","hbNazkCn",0,2,NA,1,1.08,3
22,0.613211554278025,1,13,4,102,"2;1","hbNazkCn",0,2,NA,1,1.08,3
23,0.90499412140432,2,-2,4,100,"2;1","hbNazkCn",0,2,NA,1,1.08,3
24,0.941426913874188,1,10,4,110,"2;1","hbNazkCn",0,2,NA,1,1.08,3
