"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.07199758637446,2,1,1,1,"1;2","hsPWwObA",100,4,7,0,1.4,1
2,0.945074996870729,2,6,1,7,"1;2","hsPWwObA",100,4,7,0,1.4,1
3,1.26315315650433,2,5,1,12,"1;2","hsPWwObA",100,4,7,0,1.4,1
4,0.760055535528918,2,5,1,17,"1;2","hsPWwObA",100,4,7,0,1.4,1
5,1.13431202766991,2,4,1,21,"1;2","hsPWwObA",100,4,7,0,1.4,1
6,0.80826897435258,2,4,1,25,"1;2","hsPWwObA",100,4,7,0,1.4,1
7,0.739333027984185,2,0,1,25,"1;2","hsPWwObA",100,4,7,0,1.4,1
8,1.0851130188307,2,4,1,29,"1;2","hsPWwObA",100,4,7,0,1.4,1
9,0.509958393630321,2,2,1,31,"1;2","hsPWwObA",100,4,7,0,1.4,1
10,1.18074122005118,2,3,1,34,"1;2","hsPWwObA",100,4,7,0,1.4,1
11,0.541469941189813,2,2,1,36,"1;2","hsPWwObA",100,4,7,0,1.4,1
12,0.872408142097944,1,6,1,42,"1;2","hsPWwObA",100,4,7,0,1.4,1
13,0.916729562532598,2,8,1,50,"1;2","hsPWwObA",100,4,7,0,1.4,1
14,1.09599641582816,1,5,1,55,"1;2","hsPWwObA",100,4,7,0,1.4,1
15,0.538520102914022,2,3,1,58,"1;2","hsPWwObA",100,4,7,0,1.4,1
16,0.832873272257941,2,2,1,60,"1;2","hsPWwObA",100,4,7,0,1.4,1
17,0.849678094672676,1,1,1,61,"1;2","hsPWwObA",100,4,7,0,1.4,1
18,0.538723964373893,2,4,1,65,"1;2","hsPWwObA",100,4,7,0,1.4,1
19,0.742470311650831,1,1,1,66,"1;2","hsPWwObA",100,4,7,0,1.4,1
20,0.599922276897785,1,3,1,69,"1;2","hsPWwObA",100,4,7,0,1.4,1
1,0.88547250731364,2,1,2,1,"2;1","hsPWwObA",100,4,7,0,1.4,1
2,1.03403236453408,2,10,2,11,"2;1","hsPWwObA",100,4,7,0,1.4,1
3,0.742763096002771,2,7,2,18,"2;1","hsPWwObA",100,4,7,0,1.4,1
4,0.947917331660341,1,-7,2,11,"2;1","hsPWwObA",100,4,7,0,1.4,1
5,0.633443059027622,2,6,2,17,"2;1","hsPWwObA",100,4,7,0,1.4,1
6,0.80230353360775,2,4,2,21,"2;1","hsPWwObA",100,4,7,0,1.4,1
7,1.21552612636459,2,3,2,24,"2;1","hsPWwObA",100,4,7,0,1.4,1
8,0.75398772980888,2,1,2,25,"2;1","hsPWwObA",100,4,7,0,1.4,1
9,0.97151975187949,2,4,2,29,"2;1","hsPWwObA",100,4,7,0,1.4,1
10,0.88967405679595,2,4,2,33,"2;1","hsPWwObA",100,4,7,0,1.4,1
11,0.700124891801125,1,30,2,63,"2;1","hsPWwObA",100,4,7,0,1.4,1
12,0.952460861846296,1,12,2,75,"2;1","hsPWwObA",100,4,7,0,1.4,1
13,0.756099020036802,1,-16,2,59,"2;1","hsPWwObA",100,4,7,0,1.4,1
14,0.872811621360828,1,-8,2,51,"2;1","hsPWwObA",100,4,7,0,1.4,1
15,0.5,1,-11,2,40,"2;1","hsPWwObA",100,4,7,0,1.4,1
16,0.5,1,-21,2,19,"2;1","hsPWwObA",100,4,7,0,1.4,1
17,0.563114199661809,1,2,2,21,"2;1","hsPWwObA",100,4,7,0,1.4,1
18,1.07027993952605,1,18,2,39,"2;1","hsPWwObA",100,4,7,0,1.4,1
19,0.718237846697798,1,-1,2,38,"2;1","hsPWwObA",100,4,7,0,1.4,1
20,0.920108241494107,1,-2,2,36,"2;1","hsPWwObA",100,4,7,0,1.4,1
21,0.975851065305361,1,12,2,48,"2;1","hsPWwObA",100,4,7,0,1.4,1
22,0.669144715300491,1,21,2,69,"2;1","hsPWwObA",100,4,7,0,1.4,1
23,1.14934687187952,2,-1,2,68,"2;1","hsPWwObA",100,4,7,0,1.4,1
24,0.668917064831855,1,4,2,72,"2;1","hsPWwObA",100,4,7,0,1.4,1
25,1.0630702214264,1,23,2,95,"2;1","hsPWwObA",100,4,7,0,1.4,1
1,0.678517473439486,1,16,3,16,"2;1","hsPWwObA",100,4,7,0,1.4,1
2,1.05799794006634,1,7,3,23,"2;1","hsPWwObA",100,4,7,0,1.4,1
3,1.03994581303965,1,22,3,45,"2;1","hsPWwObA",100,4,7,0,1.4,1
