"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.18962921854372,2,4,1,4,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
2,0.906202634683226,1,2,1,6,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
3,0.859352114117636,2,3,1,9,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
4,0.660437019592506,2,3,1,12,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
5,0.903716335322885,2,2,1,14,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
6,0.882278781676786,2,2,1,16,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
7,0.770020559975428,2,5,1,21,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
8,0.771458327946435,2,5,1,26,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
9,0.759428603009525,1,0,1,26,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
10,0.696253199087187,2,4,1,30,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
11,1.28513446139008,1,5,1,35,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
12,0.813658934645061,1,1,1,36,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
13,0.900016860025207,2,3,1,39,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
14,0.582645389801188,2,2,1,41,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
15,0.5,2,5,1,46,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
16,0.713974860893587,2,6,1,52,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
17,0.741498878772684,1,4,1,56,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
18,0.875989783806877,1,1,1,57,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
19,0.881426089222786,2,3,1,60,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
20,0.772622257033824,2,5,1,65,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
1,0.5,1,10,2,10,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
2,0.5,1,-3,2,7,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
3,0.705639222847228,1,12,2,19,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
4,1.02194703148938,1,8,2,27,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
5,0.871934250237774,1,-2,2,25,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
6,0.565794145790447,1,25,2,50,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
7,0.784857167039737,1,4,2,54,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
8,0.870369632440995,1,17,2,71,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
9,0.5,1,-4,2,67,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
10,0.5,1,0,2,67,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
11,1.0888772464741,1,-1,2,66,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
12,0.5,1,15,2,81,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
13,1.00948338701424,1,13,2,94,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
14,1.00655826548628,2,4,2,98,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
15,0.78190294438952,1,19,2,117,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
16,0.823119693974324,1,-6,2,111,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
17,0.778492060546457,2,3,2,114,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
18,0.837631947537151,1,-18,2,96,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
19,0.580981849420114,2,2,2,98,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
20,1.15753276458323,1,12,2,110,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
21,0.690744160124461,1,8,2,118,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
22,1.17572931989566,2,1,2,119,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
23,0.683892889804164,1,15,2,134,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
24,0.817978137606526,1,10,2,144,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
25,0.857562659049257,1,15,2,159,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
1,0.94018391426431,2,18,3,18,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
2,0.540453963342667,2,26,3,44,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
3,0.785308784039705,2,16,3,60,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
4,0.899766274005119,2,8,3,68,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
5,0.5,2,-7,3,61,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
6,0.685843206656218,1,4,3,65,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
7,0.557767535120139,2,18,3,83,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
8,0.797373945804311,2,18,3,101,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
9,1.01574501270799,1,5,3,106,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
10,0.623844125928132,2,2,3,108,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
11,0.648743675645411,2,14,3,122,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
12,0.884243849985593,2,9,3,131,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
13,0.826769756629865,2,2,3,133,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
14,0.823782073768977,2,1,3,134,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
15,1.02312626004175,2,14,3,148,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
16,1.3199489065298,2,-5,3,143,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
17,1.29466123285674,2,2,3,145,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
18,0.727332369774495,2,-24,3,121,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
19,0.5,1,4,3,125,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
20,0.616280197333581,1,5,3,130,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
21,0.822810005167589,1,11,3,141,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
22,0.73613405329384,1,8,3,149,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
23,0.865978953703059,1,4,3,153,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
24,0.869805047452828,2,7,3,160,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
25,0.525813896285346,2,18,3,178,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
1,1.12111170638527,2,-14,4,-14,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
2,0.745874848128828,1,7,4,-7,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
3,0.821584781284991,1,6,4,-1,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
4,0.759468144822587,1,-1,4,-2,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
5,0.5,2,-3,4,-5,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
6,0.916188476605793,1,2,4,-3,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
7,0.967122070251074,2,6,4,3,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
8,0.536449385103967,1,5,4,8,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
9,0.878843413331426,1,6,4,14,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
10,1.25906352269069,2,14,4,28,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
11,0.5,2,6,4,34,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
12,0.844746917592902,2,-17,4,17,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
13,0.542177540514036,2,-7,4,10,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
14,0.744979628621595,2,1,4,11,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
15,0.5,1,5,4,16,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
16,1.1265508692418,2,2,4,18,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
17,0.5,1,8,4,26,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
18,0.732807829401175,2,8,4,34,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
19,0.918456298407952,2,-4,4,30,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
20,1.19335396610037,1,6,4,36,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
21,0.617463944099454,2,-2,4,34,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
22,0.5,1,3,4,37,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
23,0.932734808754551,1,5,4,42,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
24,0.51297212367653,1,5,4,47,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
25,0.985868447118611,1,-1,4,46,"1;2","hxO7Eljx",0,1,NA,1,1.08,1
1,0.676755638032896,2,4,5,4,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
2,0.547733586323086,1,-11,5,-7,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
3,0.704111232950477,2,5,5,-2,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
4,0.519293404707218,2,5,5,3,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
5,0.614101074190839,1,0,5,3,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
6,0.5,2,3,5,6,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
7,0.87500940022263,2,3,5,9,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
8,1.01649943708915,2,5,5,14,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
9,0.5,2,-1,5,13,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
10,0.5,2,3,5,16,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
11,0.696520557589847,2,3,5,19,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
12,0.949732784760491,2,8,5,27,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
13,0.51711477644477,2,2,5,29,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
14,0.804981313590578,1,11,5,40,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
15,0.924894125368736,2,6,5,46,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
16,0.651882673401774,2,0,5,46,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
17,1.40914530057361,2,-1,5,45,"2;1","hxO7Eljx",0,1,NA,1,1.08,1
