"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.02546892797094,1,1,1,1,"2;1","i4MJvV78",100,4,5,0,1,2
2,1.02611020243407,1,2,1,3,"2;1","i4MJvV78",100,4,5,0,1,2
3,0.583658848337078,1,3,1,6,"2;1","i4MJvV78",100,4,5,0,1,2
4,0.847571384451222,2,6,1,12,"2;1","i4MJvV78",100,4,5,0,1,2
5,0.880011105014474,2,3,1,15,"2;1","i4MJvV78",100,4,5,0,1,2
6,0.903063220112851,2,5,1,20,"2;1","i4MJvV78",100,4,5,0,1,2
7,0.600735496261524,2,4,1,24,"2;1","i4MJvV78",100,4,5,0,1,2
8,0.80723045453709,2,8,1,32,"2;1","i4MJvV78",100,4,5,0,1,2
9,0.587350085424184,2,3,1,35,"2;1","i4MJvV78",100,4,5,0,1,2
10,0.5,2,2,1,37,"2;1","i4MJvV78",100,4,5,0,1,2
11,1.26428986383213,2,5,1,42,"2;1","i4MJvV78",100,4,5,0,1,2
12,0.5,2,4,1,46,"2;1","i4MJvV78",100,4,5,0,1,2
13,0.805268379312065,2,5,1,51,"2;1","i4MJvV78",100,4,5,0,1,2
14,1.00002513241884,2,6,1,57,"2;1","i4MJvV78",100,4,5,0,1,2
15,0.977475958134592,1,2,1,59,"2;1","i4MJvV78",100,4,5,0,1,2
16,1.04601158641233,2,2,1,61,"2;1","i4MJvV78",100,4,5,0,1,2
17,0.5,2,3,1,64,"2;1","i4MJvV78",100,4,5,0,1,2
18,0.93621222179345,2,4,1,68,"2;1","i4MJvV78",100,4,5,0,1,2
19,0.853415885857768,1,2,1,70,"2;1","i4MJvV78",100,4,5,0,1,2
20,0.663258165981194,2,3,1,73,"2;1","i4MJvV78",100,4,5,0,1,2
1,0.5,1,9,2,9,"2;1","i4MJvV78",100,4,5,0,1,2
2,1.07008682949862,2,5,2,14,"2;1","i4MJvV78",100,4,5,0,1,2
3,0.6146799563492,2,3,2,17,"2;1","i4MJvV78",100,4,5,0,1,2
4,0.65225972479842,1,9,2,26,"2;1","i4MJvV78",100,4,5,0,1,2
5,0.98004990944859,1,-4,2,22,"2;1","i4MJvV78",100,4,5,0,1,2
6,0.793044126091812,1,-8,2,14,"2;1","i4MJvV78",100,4,5,0,1,2
7,0.815683605954452,2,6,2,20,"2;1","i4MJvV78",100,4,5,0,1,2
8,1.03545656454405,2,0,2,20,"2;1","i4MJvV78",100,4,5,0,1,2
9,0.854225593171875,2,4,2,24,"2;1","i4MJvV78",100,4,5,0,1,2
