"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,2,5,1,5,"2;1","iRNsoKgX",100,4,4,0,0.8,3
2,0.864292379471184,2,3,1,8,"2;1","iRNsoKgX",100,4,4,0,0.8,3
3,1.20298873700596,1,3,1,11,"2;1","iRNsoKgX",100,4,4,0,0.8,3
4,0.729484960048331,1,1,1,12,"2;1","iRNsoKgX",100,4,4,0,0.8,3
5,1.07132533654996,2,3,1,15,"2;1","iRNsoKgX",100,4,4,0,0.8,3
6,0.778233653238472,2,3,1,18,"2;1","iRNsoKgX",100,4,4,0,0.8,3
7,0.85322185146709,1,6,1,24,"2;1","iRNsoKgX",100,4,4,0,0.8,3
8,0.639908708188477,2,4,1,28,"2;1","iRNsoKgX",100,4,4,0,0.8,3
9,1.00483796743706,1,1,1,29,"2;1","iRNsoKgX",100,4,4,0,0.8,3
10,0.5,2,-2,1,27,"2;1","iRNsoKgX",100,4,4,0,0.8,3
11,1.09034084872453,2,5,1,32,"2;1","iRNsoKgX",100,4,4,0,0.8,3
12,0.8946558778783,1,3,1,35,"2;1","iRNsoKgX",100,4,4,0,0.8,3
13,0.698637325115103,2,5,1,40,"2;1","iRNsoKgX",100,4,4,0,0.8,3
14,0.82252753098937,2,5,1,45,"2;1","iRNsoKgX",100,4,4,0,0.8,3
15,0.699741425763789,2,4,1,49,"2;1","iRNsoKgX",100,4,4,0,0.8,3
16,0.663628414434854,2,3,1,52,"2;1","iRNsoKgX",100,4,4,0,0.8,3
17,0.5,1,1,1,53,"2;1","iRNsoKgX",100,4,4,0,0.8,3
18,1.11020178781997,1,5,1,58,"2;1","iRNsoKgX",100,4,4,0,0.8,3
19,1.14178595286076,1,4,1,62,"2;1","iRNsoKgX",100,4,4,0,0.8,3
20,0.951857776547202,2,4,1,66,"2;1","iRNsoKgX",100,4,4,0,0.8,3
1,1.19428047612263,1,6,2,6,"1;2","iRNsoKgX",100,4,4,0,0.8,3
2,1.12589764687083,2,1,2,7,"1;2","iRNsoKgX",100,4,4,0,0.8,3
3,0.558198966011036,2,3,2,10,"1;2","iRNsoKgX",100,4,4,0,0.8,3
4,0.939244961830847,1,3,2,13,"1;2","iRNsoKgX",100,4,4,0,0.8,3
5,0.960042928032774,1,3,2,16,"1;2","iRNsoKgX",100,4,4,0,0.8,3
6,0.534675303328755,1,0,2,16,"1;2","iRNsoKgX",100,4,4,0,0.8,3
7,0.86359757631674,1,5,2,21,"1;2","iRNsoKgX",100,4,4,0,0.8,3
8,0.841942063055011,2,7,2,28,"1;2","iRNsoKgX",100,4,4,0,0.8,3
9,0.913956194364222,2,16,2,44,"1;2","iRNsoKgX",100,4,4,0,0.8,3
