"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.667099857108656,1,5,1,5,"2;1","iacWXXSM",0,3,NA,0,0.85,1
2,0.857285537871159,1,1,1,6,"2;1","iacWXXSM",0,3,NA,0,0.85,1
3,0.974466416946766,1,3,1,9,"2;1","iacWXXSM",0,3,NA,0,0.85,1
4,0.5,1,0,1,9,"2;1","iacWXXSM",0,3,NA,0,0.85,1
5,0.760883008859423,1,0,1,9,"2;1","iacWXXSM",0,3,NA,0,0.85,1
6,0.831877203475605,2,1,1,10,"2;1","iacWXXSM",0,3,NA,0,0.85,1
7,1.01905299381109,1,2,1,12,"2;1","iacWXXSM",0,3,NA,0,0.85,1
8,0.943180415503021,1,3,1,15,"2;1","iacWXXSM",0,3,NA,0,0.85,1
9,1.20881186797644,2,2,1,17,"2;1","iacWXXSM",0,3,NA,0,0.85,1
10,0.904583077856703,1,1,1,18,"2;1","iacWXXSM",0,3,NA,0,0.85,1
11,0.941118828309192,1,1,1,19,"2;1","iacWXXSM",0,3,NA,0,0.85,1
12,0.792341170214864,2,4,1,23,"2;1","iacWXXSM",0,3,NA,0,0.85,1
13,0.99381888199832,2,3,1,26,"2;1","iacWXXSM",0,3,NA,0,0.85,1
14,0.697007166347307,1,5,1,31,"2;1","iacWXXSM",0,3,NA,0,0.85,1
15,0.671197661714546,1,3,1,34,"2;1","iacWXXSM",0,3,NA,0,0.85,1
16,0.954291402232179,2,4,1,38,"2;1","iacWXXSM",0,3,NA,0,0.85,1
17,1.10183169366763,1,6,1,44,"2;1","iacWXXSM",0,3,NA,0,0.85,1
18,0.558177938564707,2,1,1,45,"2;1","iacWXXSM",0,3,NA,0,0.85,1
19,0.5,1,6,1,51,"2;1","iacWXXSM",0,3,NA,0,0.85,1
20,0.81048849421389,1,2,1,53,"2;1","iacWXXSM",0,3,NA,0,0.85,1
1,0.657510338113164,2,2,2,2,"2;1","iacWXXSM",0,3,NA,0,0.85,1
2,1.21484679834468,2,4,2,6,"2;1","iacWXXSM",0,3,NA,0,0.85,1
3,0.780790094788399,2,3,2,9,"2;1","iacWXXSM",0,3,NA,0,0.85,1
4,0.731686461989492,2,2,2,11,"2;1","iacWXXSM",0,3,NA,0,0.85,1
5,0.788862336033581,2,8,2,19,"2;1","iacWXXSM",0,3,NA,0,0.85,1
6,0.935955228709691,1,20,2,39,"2;1","iacWXXSM",0,3,NA,0,0.85,1
7,0.782718171729806,1,-1,2,38,"2;1","iacWXXSM",0,3,NA,0,0.85,1
8,0.892210487605347,1,-12,2,26,"2;1","iacWXXSM",0,3,NA,0,0.85,1
9,0.690559793231396,1,3,2,29,"2;1","iacWXXSM",0,3,NA,0,0.85,1
10,0.986796923575035,1,10,2,39,"2;1","iacWXXSM",0,3,NA,0,0.85,1
11,0.571572135578488,1,12,2,51,"2;1","iacWXXSM",0,3,NA,0,0.85,1
12,0.5,1,4,2,55,"2;1","iacWXXSM",0,3,NA,0,0.85,1
13,0.957503136328268,1,-1,2,54,"2;1","iacWXXSM",0,3,NA,0,0.85,1
14,0.881798022412177,2,-2,2,52,"2;1","iacWXXSM",0,3,NA,0,0.85,1
15,0.5,1,30,2,82,"2;1","iacWXXSM",0,3,NA,0,0.85,1
16,0.778684892934052,2,3,2,85,"2;1","iacWXXSM",0,3,NA,0,0.85,1
17,0.680672738962089,1,-1,2,84,"2;1","iacWXXSM",0,3,NA,0,0.85,1
18,0.538552112374842,1,16,2,100,"2;1","iacWXXSM",0,3,NA,0,0.85,1
19,0.825072780835902,1,8,2,108,"2;1","iacWXXSM",0,3,NA,0,0.85,1
20,0.781991421443829,2,1,2,109,"2;1","iacWXXSM",0,3,NA,0,0.85,1
21,0.789988199962278,1,-21,2,88,"2;1","iacWXXSM",0,3,NA,0,0.85,1
22,0.516320666027176,2,4,2,92,"2;1","iacWXXSM",0,3,NA,0,0.85,1
23,1.43972942247855,2,5,2,97,"2;1","iacWXXSM",0,3,NA,0,0.85,1
24,0.830253485630244,2,5,2,102,"2;1","iacWXXSM",0,3,NA,0,0.85,1
25,0.5,2,2,2,104,"2;1","iacWXXSM",0,3,NA,0,0.85,1
1,1.32910047041048,1,11,3,11,"2;1","iacWXXSM",0,3,NA,0,0.85,1
2,0.574773419392012,1,3,3,14,"2;1","iacWXXSM",0,3,NA,0,0.85,1
3,0.773948417451627,1,18,3,32,"2;1","iacWXXSM",0,3,NA,0,0.85,1
4,0.61921634144771,2,1,3,33,"2;1","iacWXXSM",0,3,NA,0,0.85,1
5,0.503888973905317,1,-5,3,28,"2;1","iacWXXSM",0,3,NA,0,0.85,1
6,0.999772562472149,1,-3,3,25,"2;1","iacWXXSM",0,3,NA,0,0.85,1
7,0.508919968002095,1,13,3,38,"2;1","iacWXXSM",0,3,NA,0,0.85,1
8,0.918263146828068,1,-2,3,36,"2;1","iacWXXSM",0,3,NA,0,0.85,1
9,1.12959521596153,1,-6,3,30,"2;1","iacWXXSM",0,3,NA,0,0.85,1
10,0.5,1,-3,3,27,"2;1","iacWXXSM",0,3,NA,0,0.85,1
11,0.553264023498325,2,1,3,28,"2;1","iacWXXSM",0,3,NA,0,0.85,1
12,0.917147601014536,1,7,3,35,"2;1","iacWXXSM",0,3,NA,0,0.85,1
13,0.532316127993119,1,24,3,59,"2;1","iacWXXSM",0,3,NA,0,0.85,1
14,0.848565494628968,1,12,3,71,"2;1","iacWXXSM",0,3,NA,0,0.85,1
15,0.937926536714448,1,11,3,82,"2;1","iacWXXSM",0,3,NA,0,0.85,1
16,0.76595977195797,2,2,3,84,"2;1","iacWXXSM",0,3,NA,0,0.85,1
17,0.606792433598041,1,2,3,86,"2;1","iacWXXSM",0,3,NA,0,0.85,1
18,0.794084563691347,1,3,3,89,"2;1","iacWXXSM",0,3,NA,0,0.85,1
19,1.14851102168309,1,6,3,95,"2;1","iacWXXSM",0,3,NA,0,0.85,1
20,0.596999373741825,1,25,3,120,"2;1","iacWXXSM",0,3,NA,0,0.85,1
21,0.559170487668375,2,3,3,123,"2;1","iacWXXSM",0,3,NA,0,0.85,1
22,0.999421238641716,1,-1,3,122,"2;1","iacWXXSM",0,3,NA,0,0.85,1
23,1.06359388204478,1,23,3,145,"2;1","iacWXXSM",0,3,NA,0,0.85,1
24,0.822637500938381,1,-20,3,125,"2;1","iacWXXSM",0,3,NA,0,0.85,1
25,0.526482352531599,2,-2,3,123,"2;1","iacWXXSM",0,3,NA,0,0.85,1
1,0.765476494899725,1,2,4,2,"2;1","iacWXXSM",0,3,NA,0,0.85,1
2,0.5,1,16,4,18,"2;1","iacWXXSM",0,3,NA,0,0.85,1
3,0.649003128251456,2,-1,4,17,"2;1","iacWXXSM",0,3,NA,0,0.85,1
4,1.03434854133835,2,2,4,19,"2;1","iacWXXSM",0,3,NA,0,0.85,1
5,1.14179135900112,1,25,4,44,"2;1","iacWXXSM",0,3,NA,0,0.85,1
6,1.04933258278672,1,-4,4,40,"2;1","iacWXXSM",0,3,NA,0,0.85,1
7,0.801521880331505,1,-13,4,27,"2;1","iacWXXSM",0,3,NA,0,0.85,1
8,0.776757076271893,1,-3,4,24,"2;1","iacWXXSM",0,3,NA,0,0.85,1
9,1.18054525895084,2,-1,4,23,"2;1","iacWXXSM",0,3,NA,0,0.85,1
10,0.743211653014343,2,1,4,24,"2;1","iacWXXSM",0,3,NA,0,0.85,1
11,0.78063270170219,2,2,4,26,"2;1","iacWXXSM",0,3,NA,0,0.85,1
12,1.06884619592568,2,5,4,31,"2;1","iacWXXSM",0,3,NA,0,0.85,1
13,1.00385157171962,2,1,4,32,"2;1","iacWXXSM",0,3,NA,0,0.85,1
14,0.758666791427916,1,2,4,34,"2;1","iacWXXSM",0,3,NA,0,0.85,1
15,0.874873163952609,2,3,4,37,"2;1","iacWXXSM",0,3,NA,0,0.85,1
16,0.732462026626169,1,-6,4,31,"2;1","iacWXXSM",0,3,NA,0,0.85,1
17,1.05376648357722,2,4,4,35,"2;1","iacWXXSM",0,3,NA,0,0.85,1
18,0.5,2,1,4,36,"2;1","iacWXXSM",0,3,NA,0,0.85,1
19,0.949925039604105,2,3,4,39,"2;1","iacWXXSM",0,3,NA,0,0.85,1
20,1.05127463865001,2,4,4,43,"2;1","iacWXXSM",0,3,NA,0,0.85,1
21,1.01038815130953,2,0,4,43,"2;1","iacWXXSM",0,3,NA,0,0.85,1
22,0.656020417685522,1,13,4,56,"2;1","iacWXXSM",0,3,NA,0,0.85,1
23,0.803105985487145,1,15,4,71,"2;1","iacWXXSM",0,3,NA,0,0.85,1
24,0.5,2,2,4,73,"2;1","iacWXXSM",0,3,NA,0,0.85,1
25,0.5,1,-9,4,64,"2;1","iacWXXSM",0,3,NA,0,0.85,1
1,0.921707656910865,1,5,5,5,"2;1","iacWXXSM",0,3,NA,0,0.85,1
2,0.690703542447561,1,14,5,19,"2;1","iacWXXSM",0,3,NA,0,0.85,1
3,0.848593061392898,1,10,5,29,"2;1","iacWXXSM",0,3,NA,0,0.85,1
4,0.5,2,1,5,30,"2;1","iacWXXSM",0,3,NA,0,0.85,1
5,0.5,1,-7,5,23,"2;1","iacWXXSM",0,3,NA,0,0.85,1
6,1.10863006758088,1,10,5,33,"2;1","iacWXXSM",0,3,NA,0,0.85,1
7,0.5,1,19,5,52,"2;1","iacWXXSM",0,3,NA,0,0.85,1
8,1.25755198100702,2,6,5,58,"2;1","iacWXXSM",0,3,NA,0,0.85,1
9,0.616844326458591,1,6,5,64,"2;1","iacWXXSM",0,3,NA,0,0.85,1
10,0.622982719817264,2,2,5,66,"2;1","iacWXXSM",0,3,NA,0,0.85,1
11,1.28730628879188,2,4,5,70,"2;1","iacWXXSM",0,3,NA,0,0.85,1
12,0.610564597692645,1,8,5,78,"2;1","iacWXXSM",0,3,NA,0,0.85,1
13,0.647325410712968,1,1,5,79,"2;1","iacWXXSM",0,3,NA,0,0.85,1
14,1.08576316286945,1,8,5,87,"2;1","iacWXXSM",0,3,NA,0,0.85,1
15,0.522810818369891,2,-1,5,86,"2;1","iacWXXSM",0,3,NA,0,0.85,1
16,0.591490890513631,1,14,5,100,"2;1","iacWXXSM",0,3,NA,0,0.85,1
17,0.582612913704772,1,17,5,117,"2;1","iacWXXSM",0,3,NA,0,0.85,1
18,0.5,1,0,5,117,"2;1","iacWXXSM",0,3,NA,0,0.85,1
19,1.02193566421062,2,1,5,118,"2;1","iacWXXSM",0,3,NA,0,0.85,1
20,0.565319168471923,2,6,5,124,"2;1","iacWXXSM",0,3,NA,0,0.85,1
21,0.5,2,0,5,124,"2;1","iacWXXSM",0,3,NA,0,0.85,1
22,0.582336770322808,1,10,5,134,"2;1","iacWXXSM",0,3,NA,0,0.85,1
23,0.948484619285705,1,7,5,141,"2;1","iacWXXSM",0,3,NA,0,0.85,1
24,0.692981091426921,1,1,5,142,"2;1","iacWXXSM",0,3,NA,0,0.85,1
25,0.685726156115302,1,-3,5,139,"2;1","iacWXXSM",0,3,NA,0,0.85,1
1,0.862981425896633,1,6,6,6,"2;1","iacWXXSM",0,3,NA,0,0.85,1
2,0.929417241897971,2,2,6,8,"2;1","iacWXXSM",0,3,NA,0,0.85,1
