"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.949758549466139,2,6,1,6,"1;2","iylag3o5",0,2,NA,0,0.75,3
2,1.12001117490747,1,3,1,9,"1;2","iylag3o5",0,2,NA,0,0.75,3
3,1.06105863694636,1,4,1,13,"1;2","iylag3o5",0,2,NA,0,0.75,3
4,0.847670275829264,1,1,1,14,"1;2","iylag3o5",0,2,NA,0,0.75,3
5,0.75670985932597,1,4,1,18,"1;2","iylag3o5",0,2,NA,0,0.75,3
6,0.926651285116296,1,7,1,25,"1;2","iylag3o5",0,2,NA,0,0.75,3
7,1.09772298390275,1,1,1,26,"1;2","iylag3o5",0,2,NA,0,0.75,3
8,0.646498981965071,1,4,1,30,"1;2","iylag3o5",0,2,NA,0,0.75,3
9,0.5,1,6,1,36,"1;2","iylag3o5",0,2,NA,0,0.75,3
10,0.955108018132302,1,5,1,41,"1;2","iylag3o5",0,2,NA,0,0.75,3
11,0.792854393043801,2,1,1,42,"1;2","iylag3o5",0,2,NA,0,0.75,3
12,1.04244954709081,1,3,1,45,"1;2","iylag3o5",0,2,NA,0,0.75,3
13,0.99186765086287,1,1,1,46,"1;2","iylag3o5",0,2,NA,0,0.75,3
14,0.5,1,5,1,51,"1;2","iylag3o5",0,2,NA,0,0.75,3
15,0.5,2,2,1,53,"1;2","iylag3o5",0,2,NA,0,0.75,3
16,0.894846496545046,1,1,1,54,"1;2","iylag3o5",0,2,NA,0,0.75,3
17,0.78845540701889,2,4,1,58,"1;2","iylag3o5",0,2,NA,0,0.75,3
18,0.838044029746515,2,0,1,58,"1;2","iylag3o5",0,2,NA,0,0.75,3
19,0.668638696933549,2,3,1,61,"1;2","iylag3o5",0,2,NA,0,0.75,3
20,0.894909493042814,2,7,1,68,"1;2","iylag3o5",0,2,NA,0,0.75,3
1,0.5,1,3,2,3,"1;2","iylag3o5",0,2,NA,0,0.75,3
2,0.550222936354122,2,-2,2,1,"1;2","iylag3o5",0,2,NA,0,0.75,3
3,1.21721448653305,2,16,2,17,"1;2","iylag3o5",0,2,NA,0,0.75,3
4,1.10373938840232,2,-6,2,11,"1;2","iylag3o5",0,2,NA,0,0.75,3
5,0.765553465344158,2,23,2,34,"1;2","iylag3o5",0,2,NA,0,0.75,3
6,0.733557468919412,1,-2,2,32,"1;2","iylag3o5",0,2,NA,0,0.75,3
7,0.77859152765876,2,0,2,32,"1;2","iylag3o5",0,2,NA,0,0.75,3
8,0.682421726399672,2,-21,2,11,"1;2","iylag3o5",0,2,NA,0,0.75,3
9,0.865339477100458,1,8,2,19,"1;2","iylag3o5",0,2,NA,0,0.75,3
10,0.997702975009306,1,1,2,20,"1;2","iylag3o5",0,2,NA,0,0.75,3
11,0.737824915541145,1,8,2,28,"1;2","iylag3o5",0,2,NA,0,0.75,3
12,0.902669381264533,1,1,2,29,"1;2","iylag3o5",0,2,NA,0,0.75,3
13,1.09121525169475,2,5,2,34,"1;2","iylag3o5",0,2,NA,0,0.75,3
