"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.78407167821404,1,4,1,4,"1;2","jKpLPSCC",0,3,NA,0,0.76,1
2,1.35455227409985,1,3,1,7,"1;2","jKpLPSCC",0,3,NA,0,0.76,1
3,0.751714862587796,2,0,1,7,"1;2","jKpLPSCC",0,3,NA,0,0.76,1
4,0.974191126711301,2,-2,1,5,"1;2","jKpLPSCC",0,3,NA,0,0.76,1
5,0.949634813183996,1,3,1,8,"1;2","jKpLPSCC",0,3,NA,0,0.76,1
6,1.08470642331791,1,3,1,11,"1;2","jKpLPSCC",0,3,NA,0,0.76,1
7,0.651204857436917,1,4,1,15,"1;2","jKpLPSCC",0,3,NA,0,0.76,1
8,0.867779216080257,1,5,1,20,"1;2","jKpLPSCC",0,3,NA,0,0.76,1
9,0.930673820100528,1,0,1,20,"1;2","jKpLPSCC",0,3,NA,0,0.76,1
10,0.823465817123202,2,3,1,23,"1;2","jKpLPSCC",0,3,NA,0,0.76,1
11,1.24627085671722,1,2,1,25,"1;2","jKpLPSCC",0,3,NA,0,0.76,1
12,0.735656241367765,2,6,1,31,"1;2","jKpLPSCC",0,3,NA,0,0.76,1
13,1.04334183361645,1,-2,1,29,"1;2","jKpLPSCC",0,3,NA,0,0.76,1
14,0.743043791255094,2,2,1,31,"1;2","jKpLPSCC",0,3,NA,0,0.76,1
15,0.5,2,3,1,34,"1;2","jKpLPSCC",0,3,NA,0,0.76,1
16,0.568800787595119,1,5,1,39,"1;2","jKpLPSCC",0,3,NA,0,0.76,1
17,0.899392712758136,2,3,1,42,"1;2","jKpLPSCC",0,3,NA,0,0.76,1
18,0.5,1,2,1,44,"1;2","jKpLPSCC",0,3,NA,0,0.76,1
19,0.877675162473061,2,4,1,48,"1;2","jKpLPSCC",0,3,NA,0,0.76,1
20,0.875106227996051,2,4,1,52,"1;2","jKpLPSCC",0,3,NA,0,0.76,1
1,0.5,2,5,2,5,"2;1","jKpLPSCC",0,3,NA,0,0.76,1
2,0.925221281073039,1,1,2,6,"2;1","jKpLPSCC",0,3,NA,0,0.76,1
3,0.5,2,5,2,11,"2;1","jKpLPSCC",0,3,NA,0,0.76,1
4,1.32610882799102,1,15,2,26,"2;1","jKpLPSCC",0,3,NA,0,0.76,1
5,0.778773841871833,2,3,2,29,"2;1","jKpLPSCC",0,3,NA,0,0.76,1
6,0.853415999268492,2,2,2,31,"2;1","jKpLPSCC",0,3,NA,0,0.76,1
7,0.874564780346109,1,22,2,53,"2;1","jKpLPSCC",0,3,NA,0,0.76,1
8,0.953257438033435,1,15,2,68,"2;1","jKpLPSCC",0,3,NA,0,0.76,1
9,0.52807696227092,2,1,2,69,"2;1","jKpLPSCC",0,3,NA,0,0.76,1
10,0.70852732592949,1,-1,2,68,"2;1","jKpLPSCC",0,3,NA,0,0.76,1
11,0.981977788712875,1,-3,2,65,"2;1","jKpLPSCC",0,3,NA,0,0.76,1
12,0.812285780441065,1,-9,2,56,"2;1","jKpLPSCC",0,3,NA,0,0.76,1
13,0.527551120579155,1,-9,2,47,"2;1","jKpLPSCC",0,3,NA,0,0.76,1
14,0.5,2,4,2,51,"2;1","jKpLPSCC",0,3,NA,0,0.76,1
15,1.14525799314323,1,9,2,60,"2;1","jKpLPSCC",0,3,NA,0,0.76,1
16,0.804214168666953,2,6,2,66,"2;1","jKpLPSCC",0,3,NA,0,0.76,1
17,0.671592745822798,1,-31,2,35,"2;1","jKpLPSCC",0,3,NA,0,0.76,1
18,1.10629110615021,1,3,2,38,"2;1","jKpLPSCC",0,3,NA,0,0.76,1
19,0.690536393471929,2,3,2,41,"2;1","jKpLPSCC",0,3,NA,0,0.76,1
20,0.519816117611565,1,-3,2,38,"2;1","jKpLPSCC",0,3,NA,0,0.76,1
21,0.800276788450947,2,5,2,43,"2;1","jKpLPSCC",0,3,NA,0,0.76,1
22,0.970631090468661,2,1,2,44,"2;1","jKpLPSCC",0,3,NA,0,0.76,1
23,0.799527151416449,2,2,2,46,"2;1","jKpLPSCC",0,3,NA,0,0.76,1
24,0.981706452621589,2,1,2,47,"2;1","jKpLPSCC",0,3,NA,0,0.76,1
25,0.549255447328998,1,16,2,63,"2;1","jKpLPSCC",0,3,NA,0,0.76,1
1,0.83897686408629,2,-1,3,-1,"1;2","jKpLPSCC",0,3,NA,0,0.76,1
2,0.964328439401223,2,-2,3,-3,"1;2","jKpLPSCC",0,3,NA,0,0.76,1
3,0.986771710844126,1,0,3,-3,"1;2","jKpLPSCC",0,3,NA,0,0.76,1
4,0.967530569131324,1,5,3,2,"1;2","jKpLPSCC",0,3,NA,0,0.76,1
5,0.76805009484688,1,5,3,7,"1;2","jKpLPSCC",0,3,NA,0,0.76,1
6,1.03438432407344,1,2,3,9,"1;2","jKpLPSCC",0,3,NA,0,0.76,1
7,0.793085650899852,2,9,3,18,"1;2","jKpLPSCC",0,3,NA,0,0.76,1
8,0.891687398005427,2,-1,3,17,"1;2","jKpLPSCC",0,3,NA,0,0.76,1
9,0.867333242911714,1,3,3,20,"1;2","jKpLPSCC",0,3,NA,0,0.76,1
10,1.19492465290565,1,2,3,22,"1;2","jKpLPSCC",0,3,NA,0,0.76,1
11,1.04295414098212,1,2,3,24,"1;2","jKpLPSCC",0,3,NA,0,0.76,1
