"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.34064350606209,1,-2,1,-2,"1;2","jMDb4Ie8",0,1,NA,0,0.95,3
2,0.966082476662127,1,0,1,-2,"1;2","jMDb4Ie8",0,1,NA,0,0.95,3
3,1.20054710081447,2,6,1,4,"1;2","jMDb4Ie8",0,1,NA,0,0.95,3
4,0.807618860124001,2,4,1,8,"1;2","jMDb4Ie8",0,1,NA,0,0.95,3
5,1.06992181997034,2,4,1,12,"1;2","jMDb4Ie8",0,1,NA,0,0.95,3
6,0.615690463538444,2,3,1,15,"1;2","jMDb4Ie8",0,1,NA,0,0.95,3
7,1.12386769359527,2,8,1,23,"1;2","jMDb4Ie8",0,1,NA,0,0.95,3
8,0.5,2,5,1,28,"1;2","jMDb4Ie8",0,1,NA,0,0.95,3
9,0.958160540607875,2,2,1,30,"1;2","jMDb4Ie8",0,1,NA,0,0.95,3
10,0.985887520632827,2,2,1,32,"1;2","jMDb4Ie8",0,1,NA,0,0.95,3
11,0.648358786536531,2,5,1,37,"1;2","jMDb4Ie8",0,1,NA,0,0.95,3
12,0.667567285647481,2,2,1,39,"1;2","jMDb4Ie8",0,1,NA,0,0.95,3
13,0.615503763811285,2,5,1,44,"1;2","jMDb4Ie8",0,1,NA,0,0.95,3
14,0.736621679391961,2,0,1,44,"1;2","jMDb4Ie8",0,1,NA,0,0.95,3
15,0.719834770034773,1,5,1,49,"1;2","jMDb4Ie8",0,1,NA,0,0.95,3
16,1.05221059881653,2,6,1,55,"1;2","jMDb4Ie8",0,1,NA,0,0.95,3
17,0.767535643835818,2,-1,1,54,"1;2","jMDb4Ie8",0,1,NA,0,0.95,3
18,0.629174819631991,2,-1,1,53,"1;2","jMDb4Ie8",0,1,NA,0,0.95,3
19,0.656080362163055,1,4,1,57,"1;2","jMDb4Ie8",0,1,NA,0,0.95,3
20,0.942767165305216,1,-1,1,56,"1;2","jMDb4Ie8",0,1,NA,0,0.95,3
1,0.571045011294012,1,5,2,5,"1;2","jMDb4Ie8",0,1,NA,0,0.95,3
2,0.526809213215141,1,5,2,10,"1;2","jMDb4Ie8",0,1,NA,0,0.95,3
3,0.792013144628311,1,7,2,17,"1;2","jMDb4Ie8",0,1,NA,0,0.95,3
4,1.17908222445132,1,0,2,17,"1;2","jMDb4Ie8",0,1,NA,0,0.95,3
5,0.5,1,3,2,20,"1;2","jMDb4Ie8",0,1,NA,0,0.95,3
