"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.819455222698454,2,-1,1,-1,"2;1","jNXEXVlW",0,1,NA,0,1.03,3
2,0.879484569873828,1,2,1,1,"2;1","jNXEXVlW",0,1,NA,0,1.03,3
3,0.5,1,4,1,5,"2;1","jNXEXVlW",0,1,NA,0,1.03,3
4,0.95016349770634,1,1,1,6,"2;1","jNXEXVlW",0,1,NA,0,1.03,3
5,0.698371215032326,1,1,1,7,"2;1","jNXEXVlW",0,1,NA,0,1.03,3
6,1.38243347976084,1,1,1,8,"2;1","jNXEXVlW",0,1,NA,0,1.03,3
7,0.791139691768005,1,1,1,9,"2;1","jNXEXVlW",0,1,NA,0,1.03,3
8,1.0074182930646,1,2,1,11,"2;1","jNXEXVlW",0,1,NA,0,1.03,3
9,0.750554404364657,2,2,1,13,"2;1","jNXEXVlW",0,1,NA,0,1.03,3
10,1.04140879810288,1,3,1,16,"2;1","jNXEXVlW",0,1,NA,0,1.03,3
11,0.940981661889982,1,-1,1,15,"2;1","jNXEXVlW",0,1,NA,0,1.03,3
12,0.865670776117267,2,6,1,21,"2;1","jNXEXVlW",0,1,NA,0,1.03,3
13,0.523520927251315,1,1,1,22,"2;1","jNXEXVlW",0,1,NA,0,1.03,3
14,0.896050168633128,2,4,1,26,"2;1","jNXEXVlW",0,1,NA,0,1.03,3
15,0.505000392227725,2,6,1,32,"2;1","jNXEXVlW",0,1,NA,0,1.03,3
16,0.78460811397541,1,3,1,35,"2;1","jNXEXVlW",0,1,NA,0,1.03,3
17,1.01048810992179,1,-1,1,34,"2;1","jNXEXVlW",0,1,NA,0,1.03,3
18,0.94023634261948,2,2,1,36,"2;1","jNXEXVlW",0,1,NA,0,1.03,3
19,0.731822285576022,2,3,1,39,"2;1","jNXEXVlW",0,1,NA,0,1.03,3
20,0.705077626202631,2,4,1,43,"2;1","jNXEXVlW",0,1,NA,0,1.03,3
1,0.984656077810559,1,5,2,5,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
2,0.861640395239527,1,3,2,8,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
3,0.8266900413074,2,19,2,27,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
4,1.13850501081154,2,11,2,38,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
5,1.0245798935588,2,5,2,43,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
6,0.695252057387311,2,4,2,47,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
7,0.728070695297394,2,-11,2,36,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
8,0.926352713244918,2,12,2,48,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
9,0.590524325241041,2,3,2,51,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
10,0.615058046917602,2,16,2,67,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
11,0.5,2,20,2,87,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
12,0.5,2,1,2,88,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
13,0.72244558855039,2,-3,2,85,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
14,0.871426874471973,2,11,2,96,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
15,0.692486329087183,2,-1,2,95,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
16,0.92678027007275,2,-7,2,88,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
17,1.07823092529324,1,4,2,92,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
18,1.18872240524462,1,0,2,92,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
19,1.01423819062616,1,7,2,99,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
20,0.706880860860235,2,5,2,104,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
21,0.570095735562725,1,5,2,109,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
22,0.52261909433736,1,1,2,110,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
23,0.586835495080376,1,3,2,113,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
24,0.991987532865619,2,6,2,119,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
25,1.15814193136288,1,5,2,124,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
1,1.01745847374732,2,7,3,7,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
2,0.694845196786531,1,8,3,15,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
3,0.975200432040389,1,5,3,20,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
4,0.775534210283491,1,8,3,28,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
5,0.872409169994008,2,3,3,31,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
6,0.563234755499084,2,2,3,33,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
7,0.953779311589754,1,6,3,39,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
8,0.5761823971147,1,4,3,43,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
9,0.5,1,3,3,46,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
10,0.846555366309429,1,2,3,48,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
11,0.653251721961434,1,5,3,53,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
12,0.5,1,3,3,56,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
13,1.02994825307544,1,1,3,57,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
14,0.838817445838045,1,1,3,58,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
15,1.01509465704841,2,-3,3,55,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
16,0.976765703560866,1,5,3,60,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
17,0.875749010218266,1,7,3,67,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
18,0.5,1,-1,3,66,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
19,0.694639621863871,2,4,3,70,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
20,0.994029643793133,1,3,3,73,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
21,1.00861443988248,2,2,3,75,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
22,1.1315466733446,1,1,3,76,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
23,0.554690876033265,1,6,3,82,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
24,0.643272019069213,1,-2,3,80,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
25,0.956764397991513,2,5,3,85,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
1,0.804125261826148,2,-2,4,-2,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
2,0.969555606076202,2,11,4,9,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
3,1.0429687465928,2,2,4,11,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
4,0.793650082612119,1,2,4,13,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
5,1.02364891721522,1,4,4,17,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
6,0.5,2,12,4,29,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
7,1.15236931256392,2,-13,4,16,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
8,0.5,2,2,4,18,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
9,0.99190477143398,1,7,4,25,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
10,0.853286476413491,1,6,4,31,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
11,0.507219829690457,1,1,4,32,"1;2","jNXEXVlW",0,1,NA,0,1.03,3
