"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.02940804330986,1,0,1,0,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
2,0.78297647831288,2,4,1,4,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
3,1.0135396318043,2,3,1,7,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
4,0.626608066223236,2,4,1,11,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
5,0.876285300677225,2,3,1,14,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
6,0.898844765962531,1,2,1,16,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
7,1.13352077514355,2,-1,1,15,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
8,0.606471245711317,2,6,1,21,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
9,1.01539866359773,2,2,1,23,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
10,1.01344533352406,2,3,1,26,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
11,0.636140003057533,2,2,1,28,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
12,0.566148098730571,2,5,1,33,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
13,0.840982259088432,2,4,1,37,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
14,1.09661643019071,2,1,1,38,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
15,0.784819930938229,2,1,1,39,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
16,0.5,2,4,1,43,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
17,0.757353505810338,2,4,1,47,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
18,0.825592371406871,2,5,1,52,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
19,0.637274808702494,2,1,1,53,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
20,1.13220998158154,2,1,1,54,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
1,0.683280780592196,1,22,2,22,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
2,0.681620595121905,1,7,2,29,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
3,1.18899826865005,2,7,2,36,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
4,0.838678487239693,2,6,2,42,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
5,0.75625417014637,1,13,2,55,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
6,0.709355727224939,1,17,2,72,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
7,0.5,1,-6,2,66,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
8,0.655424656099481,1,18,2,84,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
9,1.13658499054039,1,25,2,109,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
10,0.819236222501451,1,21,2,130,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
11,0.607080164444738,1,3,2,133,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
12,0.542760735955554,2,2,2,135,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
13,0.895368249069617,1,10,2,145,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
14,0.589876630547913,1,0,2,145,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
15,0.837516939868881,1,5,2,150,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
16,0.5,1,-7,2,143,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
17,0.5,1,0,2,143,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
18,1.1625721402084,2,4,2,147,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
19,0.595436828685039,2,2,2,149,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
20,1.20228129097624,2,5,2,154,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
21,0.996192319394325,2,2,2,156,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
22,0.556065684375169,2,1,2,157,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
23,0.60572175274373,1,10,2,167,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
24,0.846298108543713,1,7,2,174,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
25,0.906027693495604,1,14,2,188,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
1,0.5,2,16,3,16,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
2,0.5,2,-5,3,11,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
3,1.00077058340908,2,-3,3,8,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
4,0.612118790445285,2,-13,3,-5,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
5,0.995815110163731,1,-2,3,-7,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
6,0.88591557320746,1,2,3,-5,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
7,0.5,1,5,3,0,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
8,0.91014459085105,1,4,3,4,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
9,1.16295177682617,1,1,3,5,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
10,0.898861007906244,1,-3,3,2,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
11,0.716987011693804,1,6,3,8,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
12,0.543226989337575,1,2,3,10,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
13,1.16492683525147,1,3,3,13,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
14,0.5,1,4,3,17,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
15,0.645412494571039,1,3,3,20,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
16,0.70612197602581,1,2,3,22,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
17,0.880319687312813,1,2,3,24,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
18,0.571945457313924,1,-2,3,22,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
19,0.507796176879149,1,1,3,23,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
20,0.640530677025218,1,6,3,29,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
21,0.596988448088317,1,4,3,33,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
22,1.01624842088927,1,7,3,40,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
23,0.57607011258673,1,4,3,44,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
24,0.777448427009748,1,0,3,44,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
25,0.877186277540776,1,3,3,47,"1;2","jfBMxpC5",0,3,NA,0,0.64,2
1,0.765332263813814,1,-12,4,-12,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
2,0.803095378751105,2,-1,4,-13,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
3,0.589644892876901,2,6,4,-7,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
4,0.544163437456424,2,4,4,-3,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
5,0.909701818569563,2,-1,4,-4,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
6,0.932501417763126,2,5,4,1,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
7,0.742670590950819,2,0,4,1,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
8,0.631845777796384,2,5,4,6,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
9,0.721628327379656,2,4,4,10,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
10,1.60705962859187,2,3,4,13,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
11,0.88412385669195,2,3,4,16,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
12,0.881270669185057,2,3,4,19,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
13,1.05173959814147,2,0,4,19,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
14,0.5,1,-8,4,11,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
15,0.731429025824349,2,5,4,16,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
16,0.709575111583244,2,1,4,17,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
17,1.11812323779976,2,1,4,18,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
18,0.840177084018388,2,6,4,24,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
19,0.5,2,4,4,28,"2;1","jfBMxpC5",0,3,NA,0,0.64,2
