"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.789429440424591,1,3,1,3,"2;1","kGSKjvek",100,5,5,0,1,2
2,0.650673584056823,2,6,1,9,"2;1","kGSKjvek",100,5,5,0,1,2
3,0.70159159212681,1,5,1,14,"2;1","kGSKjvek",100,5,5,0,1,2
4,1.02412617990878,2,0,1,14,"2;1","kGSKjvek",100,5,5,0,1,2
5,0.5,2,3,1,17,"2;1","kGSKjvek",100,5,5,0,1,2
6,1.07933972617133,2,1,1,18,"2;1","kGSKjvek",100,5,5,0,1,2
7,0.92903199650843,2,4,1,22,"2;1","kGSKjvek",100,5,5,0,1,2
8,0.556314203402871,1,3,1,25,"2;1","kGSKjvek",100,5,5,0,1,2
9,0.523741339477147,2,4,1,29,"2;1","kGSKjvek",100,5,5,0,1,2
10,0.656653848664808,2,4,1,33,"2;1","kGSKjvek",100,5,5,0,1,2
11,0.71340758135408,2,4,1,37,"2;1","kGSKjvek",100,5,5,0,1,2
12,0.774691829252794,1,-2,1,35,"2;1","kGSKjvek",100,5,5,0,1,2
13,0.863007182712114,2,5,1,40,"2;1","kGSKjvek",100,5,5,0,1,2
14,1.27639673051598,1,9,1,49,"2;1","kGSKjvek",100,5,5,0,1,2
15,0.907631216471861,1,2,1,51,"2;1","kGSKjvek",100,5,5,0,1,2
16,0.932380089654209,2,4,1,55,"2;1","kGSKjvek",100,5,5,0,1,2
17,0.5,1,5,1,60,"2;1","kGSKjvek",100,5,5,0,1,2
18,0.930357906067367,1,0,1,60,"2;1","kGSKjvek",100,5,5,0,1,2
19,1.13559618552206,2,1,1,61,"2;1","kGSKjvek",100,5,5,0,1,2
20,0.681221566295714,1,3,1,64,"2;1","kGSKjvek",100,5,5,0,1,2
1,0.649388075718909,1,1,2,1,"1;2","kGSKjvek",100,5,5,0,1,2
2,0.78984860711024,1,3,2,4,"1;2","kGSKjvek",100,5,5,0,1,2
3,0.995579731267933,1,7,2,11,"1;2","kGSKjvek",100,5,5,0,1,2
4,0.978638642870983,1,3,2,14,"1;2","kGSKjvek",100,5,5,0,1,2
5,0.5,1,1,2,15,"1;2","kGSKjvek",100,5,5,0,1,2
6,1.00761771913983,1,7,2,22,"1;2","kGSKjvek",100,5,5,0,1,2
7,0.575510161326729,1,3,2,25,"1;2","kGSKjvek",100,5,5,0,1,2
8,1.31497104005829,1,1,2,26,"1;2","kGSKjvek",100,5,5,0,1,2
9,0.888489284641213,2,7,2,33,"1;2","kGSKjvek",100,5,5,0,1,2
10,1.00999320903983,1,0,2,33,"1;2","kGSKjvek",100,5,5,0,1,2
11,0.900944670389057,1,3,2,36,"1;2","kGSKjvek",100,5,5,0,1,2
12,0.959811308628788,1,4,2,40,"1;2","kGSKjvek",100,5,5,0,1,2
13,1.031828601978,1,1,2,41,"1;2","kGSKjvek",100,5,5,0,1,2
14,0.770070070702592,2,0,2,41,"1;2","kGSKjvek",100,5,5,0,1,2
15,0.949039068057379,2,2,2,43,"1;2","kGSKjvek",100,5,5,0,1,2
16,0.699431351546658,2,22,2,65,"1;2","kGSKjvek",100,5,5,0,1,2
17,0.964108848273153,1,5,2,70,"1;2","kGSKjvek",100,5,5,0,1,2
18,0.888664202783854,2,28,2,98,"1;2","kGSKjvek",100,5,5,0,1,2
19,0.574692006884409,1,2,2,100,"1;2","kGSKjvek",100,5,5,0,1,2
20,0.5,1,7,2,107,"1;2","kGSKjvek",100,5,5,0,1,2
21,0.823291287828699,1,5,2,112,"1;2","kGSKjvek",100,5,5,0,1,2
22,0.839141140428498,1,0,2,112,"1;2","kGSKjvek",100,5,5,0,1,2
23,1.09379861110486,1,1,2,113,"1;2","kGSKjvek",100,5,5,0,1,2
24,0.521356006847768,2,4,2,117,"1;2","kGSKjvek",100,5,5,0,1,2
25,0.712627824231156,2,5,2,122,"1;2","kGSKjvek",100,5,5,0,1,2
1,1.13585833813182,1,6,3,6,"1;2","kGSKjvek",100,5,5,0,1,2
2,0.575025393644795,2,-5,3,1,"1;2","kGSKjvek",100,5,5,0,1,2
3,1.04046481390738,2,-8,3,-7,"1;2","kGSKjvek",100,5,5,0,1,2
4,0.905399391784276,2,-6,3,-13,"1;2","kGSKjvek",100,5,5,0,1,2
5,0.812641014570809,2,-4,3,-17,"1;2","kGSKjvek",100,5,5,0,1,2
6,0.751838309756794,2,-4,3,-21,"1;2","kGSKjvek",100,5,5,0,1,2
7,0.873199233006365,1,4,3,-17,"1;2","kGSKjvek",100,5,5,0,1,2
8,0.623466443514392,1,3,3,-14,"1;2","kGSKjvek",100,5,5,0,1,2
9,0.90811789043214,2,13,3,-1,"1;2","kGSKjvek",100,5,5,0,1,2
10,0.923563870520767,2,19,3,18,"1;2","kGSKjvek",100,5,5,0,1,2
11,1.01495767010133,2,-1,3,17,"1;2","kGSKjvek",100,5,5,0,1,2
12,0.801713753281267,1,5,3,22,"1;2","kGSKjvek",100,5,5,0,1,2
13,1.04346435235456,1,6,3,28,"1;2","kGSKjvek",100,5,5,0,1,2
14,1.06006783972844,2,26,3,54,"1;2","kGSKjvek",100,5,5,0,1,2
15,0.865397123551669,2,9,3,63,"1;2","kGSKjvek",100,5,5,0,1,2
16,0.96497148549209,2,11,3,74,"1;2","kGSKjvek",100,5,5,0,1,2
17,0.5,2,9,3,83,"1;2","kGSKjvek",100,5,5,0,1,2
18,1.16407438727255,1,6,3,89,"1;2","kGSKjvek",100,5,5,0,1,2
19,1.08120474271993,1,3,3,92,"1;2","kGSKjvek",100,5,5,0,1,2
20,0.978450609762511,1,5,3,97,"1;2","kGSKjvek",100,5,5,0,1,2
21,0.890717704773903,2,20,3,117,"1;2","kGSKjvek",100,5,5,0,1,2
22,0.68672072486898,1,1,3,118,"1;2","kGSKjvek",100,5,5,0,1,2
23,0.754800905675338,1,4,3,122,"1;2","kGSKjvek",100,5,5,0,1,2
24,0.814140164175683,1,3,3,125,"1;2","kGSKjvek",100,5,5,0,1,2
25,0.775121636430073,1,2,3,127,"1;2","kGSKjvek",100,5,5,0,1,2
1,0.816253392161717,1,1,4,1,"2;1","kGSKjvek",100,5,5,0,1,2
2,0.756702570800725,1,17,4,18,"2;1","kGSKjvek",100,5,5,0,1,2
3,0.840826927704685,1,2,4,20,"2;1","kGSKjvek",100,5,5,0,1,2
4,0.820602476373238,1,9,4,29,"2;1","kGSKjvek",100,5,5,0,1,2
5,0.5,2,4,4,33,"2;1","kGSKjvek",100,5,5,0,1,2
6,0.903830969191839,1,7,4,40,"2;1","kGSKjvek",100,5,5,0,1,2
7,1.22440815360619,1,3,4,43,"2;1","kGSKjvek",100,5,5,0,1,2
8,0.744493821710217,2,4,4,47,"2;1","kGSKjvek",100,5,5,0,1,2
9,0.530998087344279,1,4,4,51,"2;1","kGSKjvek",100,5,5,0,1,2
10,0.5,1,-2,4,49,"2;1","kGSKjvek",100,5,5,0,1,2
11,0.786742876583153,1,-15,4,34,"2;1","kGSKjvek",100,5,5,0,1,2
12,0.5,1,14,4,48,"2;1","kGSKjvek",100,5,5,0,1,2
13,0.983448421563887,1,14,4,62,"2;1","kGSKjvek",100,5,5,0,1,2
14,0.760650397355588,1,2,4,64,"2;1","kGSKjvek",100,5,5,0,1,2
15,0.935531834613513,1,15,4,79,"2;1","kGSKjvek",100,5,5,0,1,2
16,0.61996759292411,1,0,4,79,"2;1","kGSKjvek",100,5,5,0,1,2
17,0.983148650403263,1,3,4,82,"2;1","kGSKjvek",100,5,5,0,1,2
18,0.937917938619404,1,4,4,86,"2;1","kGSKjvek",100,5,5,0,1,2
19,1.19902894871163,1,2,4,88,"2;1","kGSKjvek",100,5,5,0,1,2
20,1.16667852174199,1,20,4,108,"2;1","kGSKjvek",100,5,5,0,1,2
21,0.68036460749517,2,7,4,115,"2;1","kGSKjvek",100,5,5,0,1,2
22,1.11596259950348,2,5,4,120,"2;1","kGSKjvek",100,5,5,0,1,2
23,0.804783832269917,2,2,4,122,"2;1","kGSKjvek",100,5,5,0,1,2
24,0.5,2,3,4,125,"2;1","kGSKjvek",100,5,5,0,1,2
25,0.677357731711429,2,5,4,130,"2;1","kGSKjvek",100,5,5,0,1,2
1,1.22458226837721,1,16,5,16,"2;1","kGSKjvek",100,5,5,0,1,2
2,0.580214690799595,2,2,5,18,"2;1","kGSKjvek",100,5,5,0,1,2
3,0.608770591846722,1,-10,5,8,"2;1","kGSKjvek",100,5,5,0,1,2
4,0.624939533224139,1,-25,5,-17,"2;1","kGSKjvek",100,5,5,0,1,2
5,0.918974746416847,2,-3,5,-20,"2;1","kGSKjvek",100,5,5,0,1,2
6,1.12324653532974,1,-2,5,-22,"2;1","kGSKjvek",100,5,5,0,1,2
7,0.5,2,3,5,-19,"2;1","kGSKjvek",100,5,5,0,1,2
8,0.738863163076224,1,12,5,-7,"2;1","kGSKjvek",100,5,5,0,1,2
9,0.897541668770506,1,21,5,14,"2;1","kGSKjvek",100,5,5,0,1,2
10,0.525819935968331,1,-11,5,3,"2;1","kGSKjvek",100,5,5,0,1,2
11,0.722714970253879,2,2,5,5,"2;1","kGSKjvek",100,5,5,0,1,2
12,1.17463607372356,1,-16,5,-11,"2;1","kGSKjvek",100,5,5,0,1,2
13,0.938682622210789,1,14,5,3,"2;1","kGSKjvek",100,5,5,0,1,2
14,0.587397203125389,1,18,5,21,"2;1","kGSKjvek",100,5,5,0,1,2
15,0.897758327891656,1,-17,5,4,"2;1","kGSKjvek",100,5,5,0,1,2
16,1.20360984139976,2,3,5,7,"2;1","kGSKjvek",100,5,5,0,1,2
17,0.98365317417455,1,-1,5,6,"2;1","kGSKjvek",100,5,5,0,1,2
18,0.878644954295554,2,6,5,12,"2;1","kGSKjvek",100,5,5,0,1,2
19,0.621125754122642,1,15,5,27,"2;1","kGSKjvek",100,5,5,0,1,2
20,0.632345684564425,2,0,5,27,"2;1","kGSKjvek",100,5,5,0,1,2
21,1.0144220922329,1,10,5,37,"2;1","kGSKjvek",100,5,5,0,1,2
22,0.5,1,9,5,46,"2;1","kGSKjvek",100,5,5,0,1,2
23,0.713270229280087,2,5,5,51,"2;1","kGSKjvek",100,5,5,0,1,2
24,0.644475030266399,1,3,5,54,"2;1","kGSKjvek",100,5,5,0,1,2
25,0.816111289599043,2,6,5,60,"2;1","kGSKjvek",100,5,5,0,1,2
1,1.19602793514454,2,5,6,5,"2;1","kGSKjvek",100,5,5,0,1,2
2,0.585584483907349,1,19,6,24,"2;1","kGSKjvek",100,5,5,0,1,2
3,0.64871636228386,2,4,6,28,"2;1","kGSKjvek",100,5,5,0,1,2
