"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.568126544234462,2,5,1,5,"1;2","kUnXkj1s",0,1,NA,0,1.05,3
2,0.661967006303542,2,5,1,10,"1;2","kUnXkj1s",0,1,NA,0,1.05,3
3,0.660279736530946,1,6,1,16,"1;2","kUnXkj1s",0,1,NA,0,1.05,3
4,0.729104330506096,2,2,1,18,"1;2","kUnXkj1s",0,1,NA,0,1.05,3
5,0.752316367466408,2,8,1,26,"1;2","kUnXkj1s",0,1,NA,0,1.05,3
6,0.756559634168608,2,2,1,28,"1;2","kUnXkj1s",0,1,NA,0,1.05,3
7,0.813432525768149,2,1,1,29,"1;2","kUnXkj1s",0,1,NA,0,1.05,3
8,1.0250852459256,1,5,1,34,"1;2","kUnXkj1s",0,1,NA,0,1.05,3
9,0.924669732846669,1,8,1,42,"1;2","kUnXkj1s",0,1,NA,0,1.05,3
10,1.03031989660688,1,3,1,45,"1;2","kUnXkj1s",0,1,NA,0,1.05,3
11,0.879695296651667,1,7,1,52,"1;2","kUnXkj1s",0,1,NA,0,1.05,3
12,0.650714302343065,2,5,1,57,"1;2","kUnXkj1s",0,1,NA,0,1.05,3
13,0.863604028838125,1,2,1,59,"1;2","kUnXkj1s",0,1,NA,0,1.05,3
14,0.613601745678283,1,2,1,61,"1;2","kUnXkj1s",0,1,NA,0,1.05,3
15,0.887502992572851,1,1,1,62,"1;2","kUnXkj1s",0,1,NA,0,1.05,3
16,1.0075173640055,1,0,1,62,"1;2","kUnXkj1s",0,1,NA,0,1.05,3
17,0.967322916499661,2,1,1,63,"1;2","kUnXkj1s",0,1,NA,0,1.05,3
18,0.896000796695238,2,3,1,66,"1;2","kUnXkj1s",0,1,NA,0,1.05,3
19,0.5,2,4,1,70,"1;2","kUnXkj1s",0,1,NA,0,1.05,3
20,0.608236772121757,2,4,1,74,"1;2","kUnXkj1s",0,1,NA,0,1.05,3
1,1.31272343948918,1,13,2,13,"2;1","kUnXkj1s",0,1,NA,0,1.05,3
2,0.781477358212418,1,-1,2,12,"2;1","kUnXkj1s",0,1,NA,0,1.05,3
3,0.765148846883617,2,1,2,13,"2;1","kUnXkj1s",0,1,NA,0,1.05,3
4,1.01920306569687,1,-3,2,10,"2;1","kUnXkj1s",0,1,NA,0,1.05,3
5,0.5,2,-1,2,9,"2;1","kUnXkj1s",0,1,NA,0,1.05,3
6,0.834640973232134,2,12,2,21,"2;1","kUnXkj1s",0,1,NA,0,1.05,3
7,0.501308118936856,2,2,2,23,"2;1","kUnXkj1s",0,1,NA,0,1.05,3
8,1.03021196632451,2,6,2,29,"2;1","kUnXkj1s",0,1,NA,0,1.05,3
9,0.624738189384523,2,2,2,31,"2;1","kUnXkj1s",0,1,NA,0,1.05,3
10,0.5,1,-3,2,28,"2;1","kUnXkj1s",0,1,NA,0,1.05,3
11,0.737776065976195,2,3,2,31,"2;1","kUnXkj1s",0,1,NA,0,1.05,3
12,0.851796355724016,2,1,2,32,"2;1","kUnXkj1s",0,1,NA,0,1.05,3
13,0.5,2,-1,2,31,"2;1","kUnXkj1s",0,1,NA,0,1.05,3
14,0.671980601633955,2,5,2,36,"2;1","kUnXkj1s",0,1,NA,0,1.05,3
15,0.596169065130828,1,1,2,37,"2;1","kUnXkj1s",0,1,NA,0,1.05,3
16,0.854637140927787,2,3,2,40,"2;1","kUnXkj1s",0,1,NA,0,1.05,3
17,0.5,2,5,2,45,"2;1","kUnXkj1s",0,1,NA,0,1.05,3
18,0.998363843223242,2,4,2,49,"2;1","kUnXkj1s",0,1,NA,0,1.05,3
19,0.617337111343635,1,-3,2,46,"2;1","kUnXkj1s",0,1,NA,0,1.05,3
