"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.597752224950084,1,3,1,3,"1;2","kWM8cMEH",100,5,4,0,0.8,2
2,0.826524617864674,1,1,1,4,"1;2","kWM8cMEH",100,5,4,0,0.8,2
3,0.845848484687982,1,2,1,6,"1;2","kWM8cMEH",100,5,4,0,0.8,2
4,0.5,1,4,1,10,"1;2","kWM8cMEH",100,5,4,0,0.8,2
5,0.8778326925152,1,1,1,11,"1;2","kWM8cMEH",100,5,4,0,0.8,2
6,0.946240301727567,2,-1,1,10,"1;2","kWM8cMEH",100,5,4,0,0.8,2
7,0.841675261834055,2,3,1,13,"1;2","kWM8cMEH",100,5,4,0,0.8,2
8,0.545374225975593,1,5,1,18,"1;2","kWM8cMEH",100,5,4,0,0.8,2
9,1.1303604860669,2,0,1,18,"1;2","kWM8cMEH",100,5,4,0,0.8,2
10,0.839236689060163,1,4,1,22,"1;2","kWM8cMEH",100,5,4,0,0.8,2
11,1.06454269405322,2,5,1,27,"1;2","kWM8cMEH",100,5,4,0,0.8,2
12,0.5,2,4,1,31,"1;2","kWM8cMEH",100,5,4,0,0.8,2
13,0.772647086592922,1,0,1,31,"1;2","kWM8cMEH",100,5,4,0,0.8,2
14,0.768088309856927,1,0,1,31,"1;2","kWM8cMEH",100,5,4,0,0.8,2
15,0.934974694448887,1,6,1,37,"1;2","kWM8cMEH",100,5,4,0,0.8,2
16,0.639533879453096,2,3,1,40,"1;2","kWM8cMEH",100,5,4,0,0.8,2
17,0.5,1,3,1,43,"1;2","kWM8cMEH",100,5,4,0,0.8,2
18,0.5,2,3,1,46,"1;2","kWM8cMEH",100,5,4,0,0.8,2
19,0.946938321204778,1,1,1,47,"1;2","kWM8cMEH",100,5,4,0,0.8,2
20,0.805393803587603,2,2,1,49,"1;2","kWM8cMEH",100,5,4,0,0.8,2
1,0.5,2,1,2,1,"2;1","kWM8cMEH",100,5,4,0,0.8,2
2,0.658651919253531,2,2,2,3,"2;1","kWM8cMEH",100,5,4,0,0.8,2
3,1.06626562621923,2,4,2,7,"2;1","kWM8cMEH",100,5,4,0,0.8,2
4,0.879935247176972,2,3,2,10,"2;1","kWM8cMEH",100,5,4,0,0.8,2
5,0.932282284603951,1,-9,2,1,"2;1","kWM8cMEH",100,5,4,0,0.8,2
6,0.5,2,6,2,7,"2;1","kWM8cMEH",100,5,4,0,0.8,2
7,1.14561875385434,1,-9,2,-2,"2;1","kWM8cMEH",100,5,4,0,0.8,2
8,1.42073703244906,1,-16,2,-18,"2;1","kWM8cMEH",100,5,4,0,0.8,2
9,0.759919311401477,1,4,2,-14,"2;1","kWM8cMEH",100,5,4,0,0.8,2
10,0.5,1,2,2,-12,"2;1","kWM8cMEH",100,5,4,0,0.8,2
11,0.91787798730587,2,4,2,-8,"2;1","kWM8cMEH",100,5,4,0,0.8,2
12,1.23947442866777,2,6,2,-2,"2;1","kWM8cMEH",100,5,4,0,0.8,2
13,0.641637339681227,2,1,2,-1,"2;1","kWM8cMEH",100,5,4,0,0.8,2
14,1.09042866904601,2,7,2,6,"2;1","kWM8cMEH",100,5,4,0,0.8,2
15,0.739541795139431,2,4,2,10,"2;1","kWM8cMEH",100,5,4,0,0.8,2
16,0.520956323881299,1,8,2,18,"2;1","kWM8cMEH",100,5,4,0,0.8,2
17,1.38746012998811,2,4,2,22,"2;1","kWM8cMEH",100,5,4,0,0.8,2
18,1.10666462444398,2,9,2,31,"2;1","kWM8cMEH",100,5,4,0,0.8,2
19,0.873553925515128,1,-12,2,19,"2;1","kWM8cMEH",100,5,4,0,0.8,2
20,0.523527023585373,2,0,2,19,"2;1","kWM8cMEH",100,5,4,0,0.8,2
21,0.752198231019043,1,2,2,21,"2;1","kWM8cMEH",100,5,4,0,0.8,2
22,0.5,1,-1,2,20,"2;1","kWM8cMEH",100,5,4,0,0.8,2
23,1.17178221790893,1,17,2,37,"2;1","kWM8cMEH",100,5,4,0,0.8,2
24,0.804508258965451,2,3,2,40,"2;1","kWM8cMEH",100,5,4,0,0.8,2
25,0.5,2,4,2,44,"2;1","kWM8cMEH",100,5,4,0,0.8,2
1,1.27171576858125,2,3,3,3,"2;1","kWM8cMEH",100,5,4,0,0.8,2
2,0.915247711505945,1,-2,3,1,"2;1","kWM8cMEH",100,5,4,0,0.8,2
3,1.05094074311432,1,-1,3,0,"2;1","kWM8cMEH",100,5,4,0,0.8,2
4,0.867449073466131,1,4,3,4,"2;1","kWM8cMEH",100,5,4,0,0.8,2
