"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.945726851025079,1,4,1,4,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
2,0.940623608580761,1,-1,1,3,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
3,0.710743559201548,2,1,1,4,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
4,0.5,1,1,1,5,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
5,0.552433430018422,1,3,1,8,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
6,0.975420455206754,1,2,1,10,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
7,0.910105845011206,2,0,1,10,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
8,0.699328505370093,1,-1,1,9,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
9,0.652387638105667,2,6,1,15,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
10,0.563117661527447,1,-2,1,13,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
11,0.729494440448675,2,5,1,18,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
12,0.962450496301015,2,5,1,23,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
13,1.09806368588532,2,3,1,26,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
14,1.4411429241416,1,4,1,30,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
15,1.1517236653988,2,4,1,34,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
16,1.1105723043132,2,1,1,35,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
17,0.581384053721707,2,4,1,39,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
18,0.751513732122281,2,1,1,40,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
19,0.508268855604625,2,-1,1,39,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
20,0.517880795695592,2,6,1,45,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
1,0.608694200463362,2,2,2,2,"2;1","kYfUWF5y",0,1,NA,0,0.85,3
2,0.634440562465775,2,1,2,3,"2;1","kYfUWF5y",0,1,NA,0,0.85,3
3,1.14656250798893,2,4,2,7,"2;1","kYfUWF5y",0,1,NA,0,0.85,3
4,0.787213755802834,2,4,2,11,"2;1","kYfUWF5y",0,1,NA,0,0.85,3
5,0.764124263826025,2,6,2,17,"2;1","kYfUWF5y",0,1,NA,0,0.85,3
6,0.669273974313636,2,2,2,19,"2;1","kYfUWF5y",0,1,NA,0,0.85,3
7,0.730765289118032,1,21,2,40,"2;1","kYfUWF5y",0,1,NA,0,0.85,3
8,0.922977498846645,1,-1,2,39,"2;1","kYfUWF5y",0,1,NA,0,0.85,3
9,0.823276815623805,1,-11,2,28,"2;1","kYfUWF5y",0,1,NA,0,0.85,3
10,0.597480233136042,2,1,2,29,"2;1","kYfUWF5y",0,1,NA,0,0.85,3
11,0.97753883660544,2,3,2,32,"2;1","kYfUWF5y",0,1,NA,0,0.85,3
12,1.01196551667928,2,7,2,39,"2;1","kYfUWF5y",0,1,NA,0,0.85,3
13,0.501031179545499,2,11,2,50,"2;1","kYfUWF5y",0,1,NA,0,0.85,3
14,0.713465080667125,2,4,2,54,"2;1","kYfUWF5y",0,1,NA,0,0.85,3
15,0.5,2,2,2,56,"2;1","kYfUWF5y",0,1,NA,0,0.85,3
16,0.619820015872168,2,0,2,56,"2;1","kYfUWF5y",0,1,NA,0,0.85,3
17,0.99264639424183,2,2,2,58,"2;1","kYfUWF5y",0,1,NA,0,0.85,3
18,0.939029456247733,1,23,2,81,"2;1","kYfUWF5y",0,1,NA,0,0.85,3
19,0.546388176578796,1,-15,2,66,"2;1","kYfUWF5y",0,1,NA,0,0.85,3
20,0.953042254525156,1,7,2,73,"2;1","kYfUWF5y",0,1,NA,0,0.85,3
21,0.842365711157627,2,2,2,75,"2;1","kYfUWF5y",0,1,NA,0,0.85,3
22,0.801359910473303,2,1,2,76,"2;1","kYfUWF5y",0,1,NA,0,0.85,3
23,1.26915832848484,2,4,2,80,"2;1","kYfUWF5y",0,1,NA,0,0.85,3
24,0.689291654844778,2,6,2,86,"2;1","kYfUWF5y",0,1,NA,0,0.85,3
25,0.735473789173283,2,2,2,88,"2;1","kYfUWF5y",0,1,NA,0,0.85,3
1,0.5,1,5,3,5,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
2,1.57816411642079,2,20,3,25,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
3,0.649055533469972,2,9,3,34,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
4,1.14877634391224,1,6,3,40,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
5,0.951875123529812,2,-5,3,35,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
6,0.5,2,16,3,51,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
7,0.634302690177148,1,0,3,51,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
8,0.596618345426003,2,5,3,56,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
9,1.11434725543142,1,4,3,60,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
10,0.650272170783463,2,-2,3,58,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
11,0.547421331799517,2,7,3,65,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
12,0.848775117319443,2,12,3,77,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
13,1.0393778404756,1,4,3,81,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
14,1.03221849055772,2,0,3,81,"1;2","kYfUWF5y",0,1,NA,0,0.85,3
