"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.525177693214792,2,2,1,2,"2;1","l386pJ6j",100,5,3,0,0.6,2
2,1.30151591673114,1,6,1,8,"2;1","l386pJ6j",100,5,3,0,0.6,2
3,0.562613888432394,1,4,1,12,"2;1","l386pJ6j",100,5,3,0,0.6,2
4,0.878399300066317,1,2,1,14,"2;1","l386pJ6j",100,5,3,0,0.6,2
5,0.881922446220993,1,2,1,16,"2;1","l386pJ6j",100,5,3,0,0.6,2
6,0.708211402777608,1,4,1,20,"2;1","l386pJ6j",100,5,3,0,0.6,2
7,0.806511007171635,1,1,1,21,"2;1","l386pJ6j",100,5,3,0,0.6,2
8,0.69962780732116,1,5,1,26,"2;1","l386pJ6j",100,5,3,0,0.6,2
9,0.92345601729663,1,7,1,33,"2;1","l386pJ6j",100,5,3,0,0.6,2
10,0.750403808211893,1,3,1,36,"2;1","l386pJ6j",100,5,3,0,0.6,2
11,1.19791718336369,2,8,1,44,"2;1","l386pJ6j",100,5,3,0,0.6,2
12,1.48138334968023,2,2,1,46,"2;1","l386pJ6j",100,5,3,0,0.6,2
13,0.576592591593119,2,2,1,48,"2;1","l386pJ6j",100,5,3,0,0.6,2
14,1.19666005611507,2,5,1,53,"2;1","l386pJ6j",100,5,3,0,0.6,2
15,0.661680703398763,1,4,1,57,"2;1","l386pJ6j",100,5,3,0,0.6,2
16,0.800538541732219,2,6,1,63,"2;1","l386pJ6j",100,5,3,0,0.6,2
17,0.863942393436474,2,1,1,64,"2;1","l386pJ6j",100,5,3,0,0.6,2
18,1.03736369863653,2,1,1,65,"2;1","l386pJ6j",100,5,3,0,0.6,2
19,0.948167898428216,2,2,1,67,"2;1","l386pJ6j",100,5,3,0,0.6,2
20,1.01499393949024,2,4,1,71,"2;1","l386pJ6j",100,5,3,0,0.6,2
1,0.969080094906499,1,5,2,5,"1;2","l386pJ6j",100,5,3,0,0.6,2
2,0.65726844523938,1,6,2,11,"1;2","l386pJ6j",100,5,3,0,0.6,2
3,0.722221911197444,1,5,2,16,"1;2","l386pJ6j",100,5,3,0,0.6,2
4,0.67805196043993,2,-7,2,9,"1;2","l386pJ6j",100,5,3,0,0.6,2
5,0.695596385300035,1,-3,2,6,"1;2","l386pJ6j",100,5,3,0,0.6,2
6,0.646954601660623,1,2,2,8,"1;2","l386pJ6j",100,5,3,0,0.6,2
7,0.553597205036701,2,15,2,23,"1;2","l386pJ6j",100,5,3,0,0.6,2
8,0.5,2,-15,2,8,"1;2","l386pJ6j",100,5,3,0,0.6,2
9,0.941897761227317,2,0,2,8,"1;2","l386pJ6j",100,5,3,0,0.6,2
10,0.895898742935078,2,0,2,8,"1;2","l386pJ6j",100,5,3,0,0.6,2
11,0.955605861150806,2,3,2,11,"1;2","l386pJ6j",100,5,3,0,0.6,2
12,0.5,2,10,2,21,"1;2","l386pJ6j",100,5,3,0,0.6,2
13,0.777411745706438,2,6,2,27,"1;2","l386pJ6j",100,5,3,0,0.6,2
14,0.654840950699947,1,4,2,31,"1;2","l386pJ6j",100,5,3,0,0.6,2
15,0.777958886585426,1,1,2,32,"1;2","l386pJ6j",100,5,3,0,0.6,2
16,0.820626900166315,2,-1,2,31,"1;2","l386pJ6j",100,5,3,0,0.6,2
17,0.601973292661819,2,-3,2,28,"1;2","l386pJ6j",100,5,3,0,0.6,2
18,1.22046312438382,2,13,2,41,"1;2","l386pJ6j",100,5,3,0,0.6,2
19,1.0732773930691,2,2,2,43,"1;2","l386pJ6j",100,5,3,0,0.6,2
20,0.992172243643757,1,2,2,45,"1;2","l386pJ6j",100,5,3,0,0.6,2
21,0.723885560318594,2,-1,2,44,"1;2","l386pJ6j",100,5,3,0,0.6,2
22,0.883427258957416,1,9,2,53,"1;2","l386pJ6j",100,5,3,0,0.6,2
23,0.750380316874611,2,8,2,61,"1;2","l386pJ6j",100,5,3,0,0.6,2
24,0.531581850561899,2,1,2,62,"1;2","l386pJ6j",100,5,3,0,0.6,2
25,0.830617806366672,2,24,2,86,"1;2","l386pJ6j",100,5,3,0,0.6,2
1,0.982764277279336,2,-17,3,-17,"1;2","l386pJ6j",100,5,3,0,0.6,2
2,0.660357246649551,2,-4,3,-21,"1;2","l386pJ6j",100,5,3,0,0.6,2
3,0.839010660365532,2,11,3,-10,"1;2","l386pJ6j",100,5,3,0,0.6,2
4,1.00689519593104,2,4,3,-6,"1;2","l386pJ6j",100,5,3,0,0.6,2
5,1.01757176956511,2,2,3,-4,"1;2","l386pJ6j",100,5,3,0,0.6,2
6,1.15817613363642,2,2,3,-2,"1;2","l386pJ6j",100,5,3,0,0.6,2
7,0.666162932059357,2,14,3,12,"1;2","l386pJ6j",100,5,3,0,0.6,2
8,0.520691195002267,2,25,3,37,"1;2","l386pJ6j",100,5,3,0,0.6,2
9,1.13236375688596,1,6,3,43,"1;2","l386pJ6j",100,5,3,0,0.6,2
10,0.534306343158642,2,13,3,56,"1;2","l386pJ6j",100,5,3,0,0.6,2
11,0.700754406624836,2,13,3,69,"1;2","l386pJ6j",100,5,3,0,0.6,2
12,0.820066757293262,2,-6,3,63,"1;2","l386pJ6j",100,5,3,0,0.6,2
13,0.5,2,11,3,74,"1;2","l386pJ6j",100,5,3,0,0.6,2
14,0.826445111185474,2,5,3,79,"1;2","l386pJ6j",100,5,3,0,0.6,2
15,1.14439535985573,2,-6,3,73,"1;2","l386pJ6j",100,5,3,0,0.6,2
16,0.607567935944295,2,11,3,84,"1;2","l386pJ6j",100,5,3,0,0.6,2
17,1.08313190677884,1,7,3,91,"1;2","l386pJ6j",100,5,3,0,0.6,2
18,0.588379275186571,1,0,3,91,"1;2","l386pJ6j",100,5,3,0,0.6,2
19,0.872232816152984,2,-17,3,74,"1;2","l386pJ6j",100,5,3,0,0.6,2
20,0.551416036993379,2,3,3,77,"1;2","l386pJ6j",100,5,3,0,0.6,2
21,0.799756456388548,2,12,3,89,"1;2","l386pJ6j",100,5,3,0,0.6,2
22,1.16595821317897,2,-12,3,77,"1;2","l386pJ6j",100,5,3,0,0.6,2
23,0.823897389955453,2,-18,3,59,"1;2","l386pJ6j",100,5,3,0,0.6,2
24,0.5,2,-4,3,55,"1;2","l386pJ6j",100,5,3,0,0.6,2
25,0.773701468211424,2,-7,3,48,"1;2","l386pJ6j",100,5,3,0,0.6,2
1,0.5,2,6,4,6,"2;1","l386pJ6j",100,5,3,0,0.6,2
2,0.625699497935051,2,3,4,9,"2;1","l386pJ6j",100,5,3,0,0.6,2
3,0.781933355435161,2,4,4,13,"2;1","l386pJ6j",100,5,3,0,0.6,2
4,0.836087745328917,2,4,4,17,"2;1","l386pJ6j",100,5,3,0,0.6,2
5,0.864520628192625,2,3,4,20,"2;1","l386pJ6j",100,5,3,0,0.6,2
6,1.02173955738345,2,0,4,20,"2;1","l386pJ6j",100,5,3,0,0.6,2
7,0.941090343409348,2,2,4,22,"2;1","l386pJ6j",100,5,3,0,0.6,2
8,0.597226807443257,2,1,4,23,"2;1","l386pJ6j",100,5,3,0,0.6,2
9,0.858808285113766,2,3,4,26,"2;1","l386pJ6j",100,5,3,0,0.6,2
10,0.72328963701668,2,8,4,34,"2;1","l386pJ6j",100,5,3,0,0.6,2
11,0.827935193829423,2,0,4,34,"2;1","l386pJ6j",100,5,3,0,0.6,2
12,1.00558249394187,2,2,4,36,"2;1","l386pJ6j",100,5,3,0,0.6,2
13,0.703143206774164,2,3,4,39,"2;1","l386pJ6j",100,5,3,0,0.6,2
14,0.806381669225849,2,2,4,41,"2;1","l386pJ6j",100,5,3,0,0.6,2
15,1.12942269795029,1,2,4,43,"2;1","l386pJ6j",100,5,3,0,0.6,2
16,0.954252415141162,2,2,4,45,"2;1","l386pJ6j",100,5,3,0,0.6,2
17,0.858885683668146,2,6,4,51,"2;1","l386pJ6j",100,5,3,0,0.6,2
18,0.549425566725831,2,1,4,52,"2;1","l386pJ6j",100,5,3,0,0.6,2
19,0.953282076153628,2,6,4,58,"2;1","l386pJ6j",100,5,3,0,0.6,2
20,0.5,2,4,4,62,"2;1","l386pJ6j",100,5,3,0,0.6,2
21,0.556559772605064,2,7,4,69,"2;1","l386pJ6j",100,5,3,0,0.6,2
22,0.827547489525557,2,8,4,77,"2;1","l386pJ6j",100,5,3,0,0.6,2
23,1.14005937806544,2,2,4,79,"2;1","l386pJ6j",100,5,3,0,0.6,2
24,1.01585993741646,2,6,4,85,"2;1","l386pJ6j",100,5,3,0,0.6,2
25,0.5,1,7,4,92,"2;1","l386pJ6j",100,5,3,0,0.6,2
1,0.600221700068805,2,2,5,2,"2;1","l386pJ6j",100,5,3,0,0.6,2
2,0.593994815331472,2,3,5,5,"2;1","l386pJ6j",100,5,3,0,0.6,2
3,0.5,2,4,5,9,"2;1","l386pJ6j",100,5,3,0,0.6,2
4,1.16115345683162,2,7,5,16,"2;1","l386pJ6j",100,5,3,0,0.6,2
5,0.653789184000134,2,7,5,23,"2;1","l386pJ6j",100,5,3,0,0.6,2
6,0.564698356934203,2,5,5,28,"2;1","l386pJ6j",100,5,3,0,0.6,2
7,0.933223988052266,2,4,5,32,"2;1","l386pJ6j",100,5,3,0,0.6,2
8,0.622708183109158,2,4,5,36,"2;1","l386pJ6j",100,5,3,0,0.6,2
9,1.20020135422466,2,3,5,39,"2;1","l386pJ6j",100,5,3,0,0.6,2
10,1.11326807552511,2,5,5,44,"2;1","l386pJ6j",100,5,3,0,0.6,2
11,0.677105184186652,2,4,5,48,"2;1","l386pJ6j",100,5,3,0,0.6,2
12,1.19443381204801,2,4,5,52,"2;1","l386pJ6j",100,5,3,0,0.6,2
13,0.56920124216945,2,4,5,56,"2;1","l386pJ6j",100,5,3,0,0.6,2
14,1.31239345960349,1,6,5,62,"2;1","l386pJ6j",100,5,3,0,0.6,2
15,0.5,1,3,5,65,"2;1","l386pJ6j",100,5,3,0,0.6,2
16,0.716957007799294,1,-6,5,59,"2;1","l386pJ6j",100,5,3,0,0.6,2
17,0.557479458259695,2,1,5,60,"2;1","l386pJ6j",100,5,3,0,0.6,2
18,0.72711731915333,2,3,5,63,"2;1","l386pJ6j",100,5,3,0,0.6,2
19,0.919025604837565,1,-7,5,56,"2;1","l386pJ6j",100,5,3,0,0.6,2
20,0.85010069999812,1,20,5,76,"2;1","l386pJ6j",100,5,3,0,0.6,2
21,1.2655193269599,2,4,5,80,"2;1","l386pJ6j",100,5,3,0,0.6,2
22,0.745480210596944,1,-1,5,79,"2;1","l386pJ6j",100,5,3,0,0.6,2
23,0.98120017113371,1,9,5,88,"2;1","l386pJ6j",100,5,3,0,0.6,2
24,1.22345613875492,2,3,5,91,"2;1","l386pJ6j",100,5,3,0,0.6,2
25,1.20442165753202,1,-3,5,88,"2;1","l386pJ6j",100,5,3,0,0.6,2
1,0.704553323426357,2,-10,6,-10,"1;2","l386pJ6j",100,5,3,0,0.6,2
2,0.600304603797516,1,2,6,-8,"1;2","l386pJ6j",100,5,3,0,0.6,2
3,0.791200105671486,1,5,6,-3,"1;2","l386pJ6j",100,5,3,0,0.6,2
4,0.958106947958187,1,7,6,4,"1;2","l386pJ6j",100,5,3,0,0.6,2
5,0.952719785894025,1,3,6,7,"1;2","l386pJ6j",100,5,3,0,0.6,2
6,0.955978513479019,1,1,6,8,"1;2","l386pJ6j",100,5,3,0,0.6,2
7,0.5,1,8,6,16,"1;2","l386pJ6j",100,5,3,0,0.6,2
8,0.628228135212454,2,-1,6,15,"1;2","l386pJ6j",100,5,3,0,0.6,2
9,1.16659940238367,1,1,6,16,"1;2","l386pJ6j",100,5,3,0,0.6,2
10,0.706215191960942,2,17,6,33,"1;2","l386pJ6j",100,5,3,0,0.6,2
11,0.966797393136584,1,7,6,40,"1;2","l386pJ6j",100,5,3,0,0.6,2
12,0.694027602312602,2,0,6,40,"1;2","l386pJ6j",100,5,3,0,0.6,2
13,0.657716794869205,2,1,6,41,"1;2","l386pJ6j",100,5,3,0,0.6,2
14,0.795003454036019,2,-14,6,27,"1;2","l386pJ6j",100,5,3,0,0.6,2
15,1.37868614761976,1,7,6,34,"1;2","l386pJ6j",100,5,3,0,0.6,2
16,0.806709238170222,1,4,6,38,"1;2","l386pJ6j",100,5,3,0,0.6,2
17,1.12883098753677,1,3,6,41,"1;2","l386pJ6j",100,5,3,0,0.6,2
18,0.725760022675614,2,-11,6,30,"1;2","l386pJ6j",100,5,3,0,0.6,2
19,0.916798664839136,2,3,6,33,"1;2","l386pJ6j",100,5,3,0,0.6,2
20,0.554550596269167,1,5,6,38,"1;2","l386pJ6j",100,5,3,0,0.6,2
21,1.18669118930241,2,0,6,38,"1;2","l386pJ6j",100,5,3,0,0.6,2
22,0.785077824071264,2,3,6,41,"1;2","l386pJ6j",100,5,3,0,0.6,2
23,0.604384543049303,2,19,6,60,"1;2","l386pJ6j",100,5,3,0,0.6,2
24,0.5,2,3,6,63,"1;2","l386pJ6j",100,5,3,0,0.6,2
25,1.05794412533842,1,3,6,66,"1;2","l386pJ6j",100,5,3,0,0.6,2
1,1.04523539621328,2,5,7,5,"2;1","l386pJ6j",100,5,3,0,0.6,2
2,1.0449493833211,1,-17,7,-12,"2;1","l386pJ6j",100,5,3,0,0.6,2
3,1.23922938036241,2,2,7,-10,"2;1","l386pJ6j",100,5,3,0,0.6,2
4,1.09196326758522,2,5,7,-5,"2;1","l386pJ6j",100,5,3,0,0.6,2
5,0.544136339017496,2,6,7,1,"2;1","l386pJ6j",100,5,3,0,0.6,2
6,0.5,1,-9,7,-8,"2;1","l386pJ6j",100,5,3,0,0.6,2
7,0.989477722385388,1,10,7,2,"2;1","l386pJ6j",100,5,3,0,0.6,2
8,0.5,1,-2,7,0,"2;1","l386pJ6j",100,5,3,0,0.6,2
9,0.615492219014505,1,1,7,1,"2;1","l386pJ6j",100,5,3,0,0.6,2
10,0.5,1,12,7,13,"2;1","l386pJ6j",100,5,3,0,0.6,2
11,0.980569509283893,1,-8,7,5,"2;1","l386pJ6j",100,5,3,0,0.6,2
12,0.5,1,-25,7,-20,"2;1","l386pJ6j",100,5,3,0,0.6,2
13,0.730247577804699,1,1,7,-19,"2;1","l386pJ6j",100,5,3,0,0.6,2
14,0.836738591007916,2,3,7,-16,"2;1","l386pJ6j",100,5,3,0,0.6,2
15,0.803128762218916,1,1,7,-15,"2;1","l386pJ6j",100,5,3,0,0.6,2
16,0.868826587677465,2,0,7,-15,"2;1","l386pJ6j",100,5,3,0,0.6,2
17,1.18770361709001,2,3,7,-12,"2;1","l386pJ6j",100,5,3,0,0.6,2
18,0.902659259561251,1,-16,7,-28,"2;1","l386pJ6j",100,5,3,0,0.6,2
19,1.0562030269764,1,-14,7,-42,"2;1","l386pJ6j",100,5,3,0,0.6,2
