"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,2,2,1,2,"1;2","lfLrDi9n",0,1,NA,0,0.91,3
2,1.11936425167631,2,2,1,4,"1;2","lfLrDi9n",0,1,NA,0,0.91,3
3,0.753180783664696,1,0,1,4,"1;2","lfLrDi9n",0,1,NA,0,0.91,3
4,0.850493708052925,2,2,1,6,"1;2","lfLrDi9n",0,1,NA,0,0.91,3
5,0.5,2,2,1,8,"1;2","lfLrDi9n",0,1,NA,0,0.91,3
6,0.831479077437402,2,1,1,9,"1;2","lfLrDi9n",0,1,NA,0,0.91,3
7,0.816467878318833,2,3,1,12,"1;2","lfLrDi9n",0,1,NA,0,0.91,3
8,1.42898744422584,2,5,1,17,"1;2","lfLrDi9n",0,1,NA,0,0.91,3
9,0.508523950823057,2,4,1,21,"1;2","lfLrDi9n",0,1,NA,0,0.91,3
10,1.13161201164797,2,0,1,21,"1;2","lfLrDi9n",0,1,NA,0,0.91,3
11,0.808964893880631,2,4,1,25,"1;2","lfLrDi9n",0,1,NA,0,0.91,3
12,0.548207243405318,1,2,1,27,"1;2","lfLrDi9n",0,1,NA,0,0.91,3
13,0.802231295225743,2,3,1,30,"1;2","lfLrDi9n",0,1,NA,0,0.91,3
14,0.5,2,7,1,37,"1;2","lfLrDi9n",0,1,NA,0,0.91,3
15,0.5,2,3,1,40,"1;2","lfLrDi9n",0,1,NA,0,0.91,3
16,0.940576351669227,2,4,1,44,"1;2","lfLrDi9n",0,1,NA,0,0.91,3
17,0.5,2,5,1,49,"1;2","lfLrDi9n",0,1,NA,0,0.91,3
18,0.618282802505281,2,1,1,50,"1;2","lfLrDi9n",0,1,NA,0,0.91,3
19,0.89605312237326,2,3,1,53,"1;2","lfLrDi9n",0,1,NA,0,0.91,3
20,0.708239033276203,2,3,1,56,"1;2","lfLrDi9n",0,1,NA,0,0.91,3
1,0.690789390352389,2,5,2,5,"2;1","lfLrDi9n",0,1,NA,0,0.91,3
2,0.5,2,3,2,8,"2;1","lfLrDi9n",0,1,NA,0,0.91,3
3,0.792616454143392,2,-4,2,4,"2;1","lfLrDi9n",0,1,NA,0,0.91,3
4,0.736335090077239,2,8,2,12,"2;1","lfLrDi9n",0,1,NA,0,0.91,3
5,1.12562719296445,2,5,2,17,"2;1","lfLrDi9n",0,1,NA,0,0.91,3
6,0.514132374749607,2,5,2,22,"2;1","lfLrDi9n",0,1,NA,0,0.91,3
7,0.757178623311698,2,4,2,26,"2;1","lfLrDi9n",0,1,NA,0,0.91,3
8,1.19871920470767,2,4,2,30,"2;1","lfLrDi9n",0,1,NA,0,0.91,3
9,0.698090323251757,2,4,2,34,"2;1","lfLrDi9n",0,1,NA,0,0.91,3
10,0.942612316927945,2,3,2,37,"2;1","lfLrDi9n",0,1,NA,0,0.91,3
11,0.754821585046012,2,2,2,39,"2;1","lfLrDi9n",0,1,NA,0,0.91,3
12,0.5,2,5,2,44,"2;1","lfLrDi9n",0,1,NA,0,0.91,3
13,0.730070565681933,1,-11,2,33,"2;1","lfLrDi9n",0,1,NA,0,0.91,3
14,1.3304350319696,1,-2,2,31,"2;1","lfLrDi9n",0,1,NA,0,0.91,3
15,0.660877794839442,2,6,2,37,"2;1","lfLrDi9n",0,1,NA,0,0.91,3
16,0.868952659382629,2,8,2,45,"2;1","lfLrDi9n",0,1,NA,0,0.91,3
17,0.834743006142355,2,2,2,47,"2;1","lfLrDi9n",0,1,NA,0,0.91,3
18,1.13491783539014,1,-2,2,45,"2;1","lfLrDi9n",0,1,NA,0,0.91,3
19,1.32293750317696,2,10,2,55,"2;1","lfLrDi9n",0,1,NA,0,0.91,3
20,0.835898999589055,2,3,2,58,"2;1","lfLrDi9n",0,1,NA,0,0.91,3
21,0.647670236337379,1,30,2,88,"2;1","lfLrDi9n",0,1,NA,0,0.91,3
22,0.940562782927616,1,16,2,104,"2;1","lfLrDi9n",0,1,NA,0,0.91,3
23,1.07830952050466,1,-11,2,93,"2;1","lfLrDi9n",0,1,NA,0,0.91,3
24,0.930429479757999,2,5,2,98,"2;1","lfLrDi9n",0,1,NA,0,0.91,3
25,0.942479610192332,2,6,2,104,"2;1","lfLrDi9n",0,1,NA,0,0.91,3
1,0.902169132070945,2,7,3,7,"1;2","lfLrDi9n",0,1,NA,0,0.91,3
2,1.24771148057078,2,0,3,7,"1;2","lfLrDi9n",0,1,NA,0,0.91,3
3,1.05066587167837,2,14,3,21,"1;2","lfLrDi9n",0,1,NA,0,0.91,3
4,0.770548534596233,1,3,3,24,"1;2","lfLrDi9n",0,1,NA,0,0.91,3
5,0.5,2,-12,3,12,"1;2","lfLrDi9n",0,1,NA,0,0.91,3
6,0.709977768343262,2,13,3,25,"1;2","lfLrDi9n",0,1,NA,0,0.91,3
7,0.91570554889835,2,-7,3,18,"1;2","lfLrDi9n",0,1,NA,0,0.91,3
8,0.859647479909848,2,2,3,20,"1;2","lfLrDi9n",0,1,NA,0,0.91,3
9,0.850211937618012,1,5,3,25,"1;2","lfLrDi9n",0,1,NA,0,0.91,3
