"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.860487640848346,2,7,1,7,"2;1","lfrKlyca",0,1,NA,3,1.03,1
2,1.31830826737696,2,2,1,9,"2;1","lfrKlyca",0,1,NA,3,1.03,1
3,0.84666262752334,2,3,1,12,"2;1","lfrKlyca",0,1,NA,3,1.03,1
4,0.765761727037256,2,3,1,15,"2;1","lfrKlyca",0,1,NA,3,1.03,1
5,1.14299532373612,2,2,1,17,"2;1","lfrKlyca",0,1,NA,3,1.03,1
6,0.977260705822098,2,4,1,21,"2;1","lfrKlyca",0,1,NA,3,1.03,1
7,0.687306475066966,1,7,1,28,"2;1","lfrKlyca",0,1,NA,3,1.03,1
8,0.597968105593417,2,4,1,32,"2;1","lfrKlyca",0,1,NA,3,1.03,1
9,0.591815912480314,1,1,1,33,"2;1","lfrKlyca",0,1,NA,3,1.03,1
10,0.996220324440046,2,3,1,36,"2;1","lfrKlyca",0,1,NA,3,1.03,1
11,0.716049962124938,2,5,1,41,"2;1","lfrKlyca",0,1,NA,3,1.03,1
12,0.596006826579665,1,7,1,48,"2;1","lfrKlyca",0,1,NA,3,1.03,1
13,0.908664829993712,2,3,1,51,"2;1","lfrKlyca",0,1,NA,3,1.03,1
14,0.721352764576782,2,4,1,55,"2;1","lfrKlyca",0,1,NA,3,1.03,1
15,0.67126210587943,1,2,1,57,"2;1","lfrKlyca",0,1,NA,3,1.03,1
16,0.781387186721032,1,3,1,60,"2;1","lfrKlyca",0,1,NA,3,1.03,1
17,0.512159696781454,1,3,1,63,"2;1","lfrKlyca",0,1,NA,3,1.03,1
18,0.737561051773999,1,3,1,66,"2;1","lfrKlyca",0,1,NA,3,1.03,1
19,0.776156795715218,2,-1,1,65,"2;1","lfrKlyca",0,1,NA,3,1.03,1
20,0.649961855300606,2,6,1,71,"2;1","lfrKlyca",0,1,NA,3,1.03,1
1,0.883722587762945,1,1,2,1,"1;2","lfrKlyca",0,1,NA,3,1.03,1
2,0.873059307297436,1,8,2,9,"1;2","lfrKlyca",0,1,NA,3,1.03,1
3,0.5,2,19,2,28,"1;2","lfrKlyca",0,1,NA,3,1.03,1
4,0.861096337147332,1,6,2,34,"1;2","lfrKlyca",0,1,NA,3,1.03,1
5,0.571350465549833,2,14,2,48,"1;2","lfrKlyca",0,1,NA,3,1.03,1
6,1.34445551072438,2,-10,2,38,"1;2","lfrKlyca",0,1,NA,3,1.03,1
7,1.06254736614386,1,3,2,41,"1;2","lfrKlyca",0,1,NA,3,1.03,1
8,0.618024147400027,1,3,2,44,"1;2","lfrKlyca",0,1,NA,3,1.03,1
9,0.5,2,13,2,57,"1;2","lfrKlyca",0,1,NA,3,1.03,1
10,0.680299805086433,1,5,2,62,"1;2","lfrKlyca",0,1,NA,3,1.03,1
11,0.763497506962748,1,6,2,68,"1;2","lfrKlyca",0,1,NA,3,1.03,1
12,0.976676541491308,1,4,2,72,"1;2","lfrKlyca",0,1,NA,3,1.03,1
13,1.28966378057641,1,-1,2,71,"1;2","lfrKlyca",0,1,NA,3,1.03,1
14,1.06328628383392,1,1,2,72,"1;2","lfrKlyca",0,1,NA,3,1.03,1
15,0.5,1,5,2,77,"1;2","lfrKlyca",0,1,NA,3,1.03,1
16,0.5,2,-8,2,69,"1;2","lfrKlyca",0,1,NA,3,1.03,1
17,0.763301541471219,2,-1,2,68,"1;2","lfrKlyca",0,1,NA,3,1.03,1
18,0.588682906236551,2,13,2,81,"1;2","lfrKlyca",0,1,NA,3,1.03,1
19,1.01424198346391,1,1,2,82,"1;2","lfrKlyca",0,1,NA,3,1.03,1
20,0.5,1,5,2,87,"1;2","lfrKlyca",0,1,NA,3,1.03,1
21,0.966234541331106,1,-1,2,86,"1;2","lfrKlyca",0,1,NA,3,1.03,1
22,0.604948912857751,1,1,2,87,"1;2","lfrKlyca",0,1,NA,3,1.03,1
23,0.939412124194907,1,2,2,89,"1;2","lfrKlyca",0,1,NA,3,1.03,1
24,0.932521613224644,2,7,2,96,"1;2","lfrKlyca",0,1,NA,3,1.03,1
25,0.721502424551399,2,-8,2,88,"1;2","lfrKlyca",0,1,NA,3,1.03,1
1,0.86008680583595,1,6,3,6,"2;1","lfrKlyca",0,1,NA,3,1.03,1
2,1.05733471455128,2,3,3,9,"2;1","lfrKlyca",0,1,NA,3,1.03,1
3,1.10494879638823,1,11,3,20,"2;1","lfrKlyca",0,1,NA,3,1.03,1
4,1.0734303162809,2,5,3,25,"2;1","lfrKlyca",0,1,NA,3,1.03,1
5,0.687385945293509,1,2,3,27,"2;1","lfrKlyca",0,1,NA,3,1.03,1
6,0.83493048619783,2,6,3,33,"2;1","lfrKlyca",0,1,NA,3,1.03,1
7,0.717162509265497,1,-13,3,20,"2;1","lfrKlyca",0,1,NA,3,1.03,1
8,0.791557540992608,2,3,3,23,"2;1","lfrKlyca",0,1,NA,3,1.03,1
9,1.10582883879197,2,6,3,29,"2;1","lfrKlyca",0,1,NA,3,1.03,1
10,1.29602542429251,2,5,3,34,"2;1","lfrKlyca",0,1,NA,3,1.03,1
11,0.879787653513634,2,7,3,41,"2;1","lfrKlyca",0,1,NA,3,1.03,1
12,0.877356294701928,2,7,3,48,"2;1","lfrKlyca",0,1,NA,3,1.03,1
13,1.08453956028988,2,6,3,54,"2;1","lfrKlyca",0,1,NA,3,1.03,1
14,0.849886714538946,2,7,3,61,"2;1","lfrKlyca",0,1,NA,3,1.03,1
15,0.5,1,-22,3,39,"2;1","lfrKlyca",0,1,NA,3,1.03,1
16,0.579198801368583,2,7,3,46,"2;1","lfrKlyca",0,1,NA,3,1.03,1
17,0.764425225153726,2,3,3,49,"2;1","lfrKlyca",0,1,NA,3,1.03,1
18,0.552565682835366,2,5,3,54,"2;1","lfrKlyca",0,1,NA,3,1.03,1
19,0.648839250001882,2,-2,3,52,"2;1","lfrKlyca",0,1,NA,3,1.03,1
20,0.889609977858685,2,4,3,56,"2;1","lfrKlyca",0,1,NA,3,1.03,1
21,0.721322978812516,1,6,3,62,"2;1","lfrKlyca",0,1,NA,3,1.03,1
22,0.726017165135025,2,3,3,65,"2;1","lfrKlyca",0,1,NA,3,1.03,1
23,0.827880482518082,1,0,3,65,"2;1","lfrKlyca",0,1,NA,3,1.03,1
24,1.09672566527969,1,-8,3,57,"2;1","lfrKlyca",0,1,NA,3,1.03,1
25,0.5,2,10,3,67,"2;1","lfrKlyca",0,1,NA,3,1.03,1
1,0.572134695761448,2,-4,4,-4,"1;2","lfrKlyca",0,1,NA,3,1.03,1
2,0.5,2,22,4,18,"1;2","lfrKlyca",0,1,NA,3,1.03,1
3,0.799678357314208,1,8,4,26,"1;2","lfrKlyca",0,1,NA,3,1.03,1
4,0.683812345567583,1,0,4,26,"1;2","lfrKlyca",0,1,NA,3,1.03,1
5,0.971604647980396,2,2,4,28,"1;2","lfrKlyca",0,1,NA,3,1.03,1
6,0.602131484813654,1,4,4,32,"1;2","lfrKlyca",0,1,NA,3,1.03,1
7,0.720440854795858,1,4,4,36,"1;2","lfrKlyca",0,1,NA,3,1.03,1
8,0.796600529083765,1,6,4,42,"1;2","lfrKlyca",0,1,NA,3,1.03,1
9,0.760556293493598,1,2,4,44,"1;2","lfrKlyca",0,1,NA,3,1.03,1
10,0.525590401684742,1,-1,4,43,"1;2","lfrKlyca",0,1,NA,3,1.03,1
11,0.749249769063519,2,23,4,66,"1;2","lfrKlyca",0,1,NA,3,1.03,1
12,0.645292383836069,1,-1,4,65,"1;2","lfrKlyca",0,1,NA,3,1.03,1
13,0.5,1,3,4,68,"1;2","lfrKlyca",0,1,NA,3,1.03,1
14,1.20144913782387,2,0,4,68,"1;2","lfrKlyca",0,1,NA,3,1.03,1
15,1.02756274680434,1,3,4,71,"1;2","lfrKlyca",0,1,NA,3,1.03,1
16,0.5,1,3,4,74,"1;2","lfrKlyca",0,1,NA,3,1.03,1
17,0.830089788898641,1,4,4,78,"1;2","lfrKlyca",0,1,NA,3,1.03,1
18,1.19406966376858,1,6,4,84,"1;2","lfrKlyca",0,1,NA,3,1.03,1
19,0.624500410311914,1,5,4,89,"1;2","lfrKlyca",0,1,NA,3,1.03,1
20,0.985148304363967,2,4,4,93,"1;2","lfrKlyca",0,1,NA,3,1.03,1
21,0.996263315540436,1,5,4,98,"1;2","lfrKlyca",0,1,NA,3,1.03,1
22,0.855128449883999,1,4,4,102,"1;2","lfrKlyca",0,1,NA,3,1.03,1
23,0.769186046866344,2,10,4,112,"1;2","lfrKlyca",0,1,NA,3,1.03,1
24,0.644425000172234,2,16,4,128,"1;2","lfrKlyca",0,1,NA,3,1.03,1
25,0.5,1,5,4,133,"1;2","lfrKlyca",0,1,NA,3,1.03,1
