"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.832374363090892,1,5,1,5,"2;1","mGeubYMf",100,4,2,0,0.4,3
2,0.5,2,4,1,9,"2;1","mGeubYMf",100,4,2,0,0.4,3
3,1.11722525129348,2,2,1,11,"2;1","mGeubYMf",100,4,2,0,0.4,3
4,1.32130132342213,1,-3,1,8,"2;1","mGeubYMf",100,4,2,0,0.4,3
5,0.5,1,7,1,15,"2;1","mGeubYMf",100,4,2,0,0.4,3
6,0.714408930488585,1,4,1,19,"2;1","mGeubYMf",100,4,2,0,0.4,3
7,0.744926754877379,1,2,1,21,"2;1","mGeubYMf",100,4,2,0,0.4,3
8,0.793936276389423,1,3,1,24,"2;1","mGeubYMf",100,4,2,0,0.4,3
9,0.784085861492482,1,5,1,29,"2;1","mGeubYMf",100,4,2,0,0.4,3
10,0.810137530574674,1,6,1,35,"2;1","mGeubYMf",100,4,2,0,0.4,3
11,0.971024300246985,1,3,1,38,"2;1","mGeubYMf",100,4,2,0,0.4,3
12,0.5,1,6,1,44,"2;1","mGeubYMf",100,4,2,0,0.4,3
13,0.870907877460184,1,1,1,45,"2;1","mGeubYMf",100,4,2,0,0.4,3
14,1.42501656696237,1,-1,1,44,"2;1","mGeubYMf",100,4,2,0,0.4,3
15,0.878105723961745,1,4,1,48,"2;1","mGeubYMf",100,4,2,0,0.4,3
16,0.58522745553965,1,0,1,48,"2;1","mGeubYMf",100,4,2,0,0.4,3
17,0.672781038793033,1,3,1,51,"2;1","mGeubYMf",100,4,2,0,0.4,3
18,1.07168208115082,2,2,1,53,"2;1","mGeubYMf",100,4,2,0,0.4,3
19,1.53516499782321,2,2,1,55,"2;1","mGeubYMf",100,4,2,0,0.4,3
20,0.575791196253263,1,3,1,58,"2;1","mGeubYMf",100,4,2,0,0.4,3
1,0.630962748337254,1,4,2,4,"1;2","mGeubYMf",100,4,2,0,0.4,3
2,0.711684496074241,1,1,2,5,"1;2","mGeubYMf",100,4,2,0,0.4,3
3,0.693741067396971,1,3,2,8,"1;2","mGeubYMf",100,4,2,0,0.4,3
4,0.948098480621238,1,5,2,13,"1;2","mGeubYMf",100,4,2,0,0.4,3
5,0.863472189583322,1,5,2,18,"1;2","mGeubYMf",100,4,2,0,0.4,3
6,1.04491449786098,1,3,2,21,"1;2","mGeubYMf",100,4,2,0,0.4,3
7,0.5,1,2,2,23,"1;2","mGeubYMf",100,4,2,0,0.4,3
8,0.613420884022081,1,1,2,24,"1;2","mGeubYMf",100,4,2,0,0.4,3
9,0.5,1,3,2,27,"1;2","mGeubYMf",100,4,2,0,0.4,3
10,0.684513910541698,1,3,2,30,"1;2","mGeubYMf",100,4,2,0,0.4,3
11,1.04957455671057,1,-1,2,29,"1;2","mGeubYMf",100,4,2,0,0.4,3
12,0.5,1,4,2,33,"1;2","mGeubYMf",100,4,2,0,0.4,3
13,0.79121932183563,1,1,2,34,"1;2","mGeubYMf",100,4,2,0,0.4,3
14,0.658759698252956,1,3,2,37,"1;2","mGeubYMf",100,4,2,0,0.4,3
15,0.699513170284702,1,2,2,39,"1;2","mGeubYMf",100,4,2,0,0.4,3
16,0.659393203610014,2,0,2,39,"1;2","mGeubYMf",100,4,2,0,0.4,3
