"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.997460992659259,2,0,1,0,"1;2","mudZmGLi",0,3,NA,0,0.77,3
2,0.793287553201426,1,1,1,1,"1;2","mudZmGLi",0,3,NA,0,0.77,3
3,0.8129629867933,2,3,1,4,"1;2","mudZmGLi",0,3,NA,0,0.77,3
4,0.926158349259587,2,3,1,7,"1;2","mudZmGLi",0,3,NA,0,0.77,3
5,1.04672869366126,2,1,1,8,"1;2","mudZmGLi",0,3,NA,0,0.77,3
6,1.05336109269783,1,3,1,11,"1;2","mudZmGLi",0,3,NA,0,0.77,3
7,0.520067240908567,2,4,1,15,"1;2","mudZmGLi",0,3,NA,0,0.77,3
8,1.45614792020946,2,3,1,18,"1;2","mudZmGLi",0,3,NA,0,0.77,3
9,0.598647139666308,2,1,1,19,"1;2","mudZmGLi",0,3,NA,0,0.77,3
10,0.991422397993925,2,5,1,24,"1;2","mudZmGLi",0,3,NA,0,0.77,3
11,0.677060137577464,2,1,1,25,"1;2","mudZmGLi",0,3,NA,0,0.77,3
12,0.923992470066021,2,4,1,29,"1;2","mudZmGLi",0,3,NA,0,0.77,3
13,0.588726245553063,2,-3,1,26,"1;2","mudZmGLi",0,3,NA,0,0.77,3
14,1.11429862794003,1,7,1,33,"1;2","mudZmGLi",0,3,NA,0,0.77,3
15,0.823199607375068,1,6,1,39,"1;2","mudZmGLi",0,3,NA,0,0.77,3
16,0.676644160692452,1,6,1,45,"1;2","mudZmGLi",0,3,NA,0,0.77,3
17,0.74011117520446,1,4,1,49,"1;2","mudZmGLi",0,3,NA,0,0.77,3
18,0.5,2,3,1,52,"1;2","mudZmGLi",0,3,NA,0,0.77,3
19,0.5,2,3,1,55,"1;2","mudZmGLi",0,3,NA,0,0.77,3
20,0.575363774029181,1,2,1,57,"1;2","mudZmGLi",0,3,NA,0,0.77,3
1,0.524793123832338,1,7,2,7,"1;2","mudZmGLi",0,3,NA,0,0.77,3
2,0.582862266604507,2,14,2,21,"1;2","mudZmGLi",0,3,NA,0,0.77,3
3,0.902494947750383,1,7,2,28,"1;2","mudZmGLi",0,3,NA,0,0.77,3
4,0.940053669876934,2,5,2,33,"1;2","mudZmGLi",0,3,NA,0,0.77,3
5,0.837911686672305,1,-1,2,32,"1;2","mudZmGLi",0,3,NA,0,0.77,3
6,1.02555777125284,2,20,2,52,"1;2","mudZmGLi",0,3,NA,0,0.77,3
7,0.596294242485086,1,2,2,54,"1;2","mudZmGLi",0,3,NA,0,0.77,3
8,0.859329393723125,1,0,2,54,"1;2","mudZmGLi",0,3,NA,0,0.77,3
9,1.13583822666047,1,4,2,58,"1;2","mudZmGLi",0,3,NA,0,0.77,3
10,0.685842845306191,1,0,2,58,"1;2","mudZmGLi",0,3,NA,0,0.77,3
11,0.997229525693803,1,4,2,62,"1;2","mudZmGLi",0,3,NA,0,0.77,3
12,1.05933297691092,1,2,2,64,"1;2","mudZmGLi",0,3,NA,0,0.77,3
13,0.5,2,14,2,78,"1;2","mudZmGLi",0,3,NA,0,0.77,3
14,1.07896793205635,1,1,2,79,"1;2","mudZmGLi",0,3,NA,0,0.77,3
15,1.00769999007514,1,3,2,82,"1;2","mudZmGLi",0,3,NA,0,0.77,3
16,0.912105909298926,2,-7,2,75,"1;2","mudZmGLi",0,3,NA,0,0.77,3
17,1.47585828004807,1,6,2,81,"1;2","mudZmGLi",0,3,NA,0,0.77,3
18,0.66259551409228,1,3,2,84,"1;2","mudZmGLi",0,3,NA,0,0.77,3
19,1.02722837275152,2,5,2,89,"1;2","mudZmGLi",0,3,NA,0,0.77,3
20,0.5,1,0,2,89,"1;2","mudZmGLi",0,3,NA,0,0.77,3
21,1.51663574434718,1,-1,2,88,"1;2","mudZmGLi",0,3,NA,0,0.77,3
22,0.81376676491327,1,3,2,91,"1;2","mudZmGLi",0,3,NA,0,0.77,3
23,0.679121832054144,2,-3,2,88,"1;2","mudZmGLi",0,3,NA,0,0.77,3
24,1.04597528372869,1,5,2,93,"1;2","mudZmGLi",0,3,NA,0,0.77,3
25,1.17311472365911,2,13,2,106,"1;2","mudZmGLi",0,3,NA,0,0.77,3
1,1.02423843708107,2,4,3,4,"2;1","mudZmGLi",0,3,NA,0,0.77,3
2,0.864259713377395,2,1,3,5,"2;1","mudZmGLi",0,3,NA,0,0.77,3
3,0.527967820050531,2,4,3,9,"2;1","mudZmGLi",0,3,NA,0,0.77,3
4,0.711828535415274,2,3,3,12,"2;1","mudZmGLi",0,3,NA,0,0.77,3
5,0.5,1,1,3,13,"2;1","mudZmGLi",0,3,NA,0,0.77,3
6,1.03814453660621,2,6,3,19,"2;1","mudZmGLi",0,3,NA,0,0.77,3
7,0.59242384879247,2,7,3,26,"2;1","mudZmGLi",0,3,NA,0,0.77,3
8,1.03541774749395,1,11,3,37,"2;1","mudZmGLi",0,3,NA,0,0.77,3
9,0.851754189008965,2,5,3,42,"2;1","mudZmGLi",0,3,NA,0,0.77,3
10,0.947392708135338,2,5,3,47,"2;1","mudZmGLi",0,3,NA,0,0.77,3
11,0.78058981761576,2,4,3,51,"2;1","mudZmGLi",0,3,NA,0,0.77,3
12,0.762925457561923,1,18,3,69,"2;1","mudZmGLi",0,3,NA,0,0.77,3
13,0.723487532950511,2,1,3,70,"2;1","mudZmGLi",0,3,NA,0,0.77,3
14,0.517383696957598,1,7,3,77,"2;1","mudZmGLi",0,3,NA,0,0.77,3
15,0.929362334698476,2,1,3,78,"2;1","mudZmGLi",0,3,NA,0,0.77,3
16,0.712471862361478,2,3,3,81,"2;1","mudZmGLi",0,3,NA,0,0.77,3
17,0.593136074210991,2,1,3,82,"2;1","mudZmGLi",0,3,NA,0,0.77,3
18,0.790889973473703,2,4,3,86,"2;1","mudZmGLi",0,3,NA,0,0.77,3
19,0.885516321416073,1,-3,3,83,"2;1","mudZmGLi",0,3,NA,0,0.77,3
20,0.760912997238402,2,0,3,83,"2;1","mudZmGLi",0,3,NA,0,0.77,3
21,0.919302745948588,2,1,3,84,"2;1","mudZmGLi",0,3,NA,0,0.77,3
22,0.711619427344604,1,0,3,84,"2;1","mudZmGLi",0,3,NA,0,0.77,3
23,0.858193956120657,2,2,3,86,"2;1","mudZmGLi",0,3,NA,0,0.77,3
24,0.671145902320787,1,4,3,90,"2;1","mudZmGLi",0,3,NA,0,0.77,3
25,0.99228334295712,1,10,3,100,"2;1","mudZmGLi",0,3,NA,0,0.77,3
1,1.09050929353262,2,2,4,2,"2;1","mudZmGLi",0,3,NA,0,0.77,3
2,0.946521656469456,2,-3,4,-1,"2;1","mudZmGLi",0,3,NA,0,0.77,3
3,0.500930653048143,1,7,4,6,"2;1","mudZmGLi",0,3,NA,0,0.77,3
4,0.927590643686173,1,2,4,8,"2;1","mudZmGLi",0,3,NA,0,0.77,3
5,0.956021229143542,2,4,4,12,"2;1","mudZmGLi",0,3,NA,0,0.77,3
6,0.859506933316336,1,3,4,15,"2;1","mudZmGLi",0,3,NA,0,0.77,3
7,0.64712544043586,1,0,4,15,"2;1","mudZmGLi",0,3,NA,0,0.77,3
8,1.10988667496207,2,2,4,17,"2;1","mudZmGLi",0,3,NA,0,0.77,3
9,0.5,1,18,4,35,"2;1","mudZmGLi",0,3,NA,0,0.77,3
10,1.43089567783615,1,-13,4,22,"2;1","mudZmGLi",0,3,NA,0,0.77,3
11,0.565748130749458,2,8,4,30,"2;1","mudZmGLi",0,3,NA,0,0.77,3
12,0.913223689805101,2,6,4,36,"2;1","mudZmGLi",0,3,NA,0,0.77,3
13,0.559287599418932,1,-8,4,28,"2;1","mudZmGLi",0,3,NA,0,0.77,3
14,0.940544191582219,2,2,4,30,"2;1","mudZmGLi",0,3,NA,0,0.77,3
15,1.00034133590125,1,10,4,40,"2;1","mudZmGLi",0,3,NA,0,0.77,3
16,0.658686780206317,2,2,4,42,"2;1","mudZmGLi",0,3,NA,0,0.77,3
17,0.5,1,8,4,50,"2;1","mudZmGLi",0,3,NA,0,0.77,3
18,0.865205606540931,2,3,4,53,"2;1","mudZmGLi",0,3,NA,0,0.77,3
19,0.853680229003896,2,3,4,56,"2;1","mudZmGLi",0,3,NA,0,0.77,3
20,1.05709205645281,2,5,4,61,"2;1","mudZmGLi",0,3,NA,0,0.77,3
21,0.5,2,6,4,67,"2;1","mudZmGLi",0,3,NA,0,0.77,3
22,0.548612515131529,1,-6,4,61,"2;1","mudZmGLi",0,3,NA,0,0.77,3
23,0.5,1,0,4,61,"2;1","mudZmGLi",0,3,NA,0,0.77,3
24,0.970278166099653,2,6,4,67,"2;1","mudZmGLi",0,3,NA,0,0.77,3
25,0.991930158187973,1,5,4,72,"2;1","mudZmGLi",0,3,NA,0,0.77,3
1,0.764894147063977,1,2,5,2,"1;2","mudZmGLi",0,3,NA,0,0.77,3
2,1.03483722434634,1,6,5,8,"1;2","mudZmGLi",0,3,NA,0,0.77,3
3,0.648925278239659,1,-1,5,7,"1;2","mudZmGLi",0,3,NA,0,0.77,3
4,0.604458317365799,1,7,5,14,"1;2","mudZmGLi",0,3,NA,0,0.77,3
5,0.5,1,1,5,15,"1;2","mudZmGLi",0,3,NA,0,0.77,3
6,1.1044007673884,2,15,5,30,"1;2","mudZmGLi",0,3,NA,0,0.77,3
7,1.03363966889226,2,9,5,39,"1;2","mudZmGLi",0,3,NA,0,0.77,3
8,0.5,2,17,5,56,"1;2","mudZmGLi",0,3,NA,0,0.77,3
9,0.974117115058206,2,19,5,75,"1;2","mudZmGLi",0,3,NA,0,0.77,3
10,0.508867523737551,1,5,5,80,"1;2","mudZmGLi",0,3,NA,0,0.77,3
11,0.838070157676039,2,8,5,88,"1;2","mudZmGLi",0,3,NA,0,0.77,3
12,0.534313446766827,2,3,5,91,"1;2","mudZmGLi",0,3,NA,0,0.77,3
13,0.978539382601344,1,-4,5,87,"1;2","mudZmGLi",0,3,NA,0,0.77,3
14,0.934120187856624,2,-3,5,84,"1;2","mudZmGLi",0,3,NA,0,0.77,3
15,0.75113653441755,1,0,5,84,"1;2","mudZmGLi",0,3,NA,0,0.77,3
16,0.534982794706083,1,1,5,85,"1;2","mudZmGLi",0,3,NA,0,0.77,3
17,0.779332672440542,1,3,5,88,"1;2","mudZmGLi",0,3,NA,0,0.77,3
18,1.04310313174888,1,8,5,96,"1;2","mudZmGLi",0,3,NA,0,0.77,3
19,0.820238500807275,2,-6,5,90,"1;2","mudZmGLi",0,3,NA,0,0.77,3
20,0.718536517501102,1,3,5,93,"1;2","mudZmGLi",0,3,NA,0,0.77,3
21,0.544822187999558,2,2,5,95,"1;2","mudZmGLi",0,3,NA,0,0.77,3
22,0.653557369133146,1,0,5,95,"1;2","mudZmGLi",0,3,NA,0,0.77,3
23,0.964443589759783,1,4,5,99,"1;2","mudZmGLi",0,3,NA,0,0.77,3
24,1.04478539147959,1,4,5,103,"1;2","mudZmGLi",0,3,NA,0,0.77,3
25,0.542580043767608,2,11,5,114,"1;2","mudZmGLi",0,3,NA,0,0.77,3
1,0.883949452001058,2,-5,6,-5,"1;2","mudZmGLi",0,3,NA,0,0.77,3
2,1.02582720670338,1,2,6,-3,"1;2","mudZmGLi",0,3,NA,0,0.77,3
3,0.5,1,4,6,1,"1;2","mudZmGLi",0,3,NA,0,0.77,3
4,0.835442093432536,1,4,6,5,"1;2","mudZmGLi",0,3,NA,0,0.77,3
5,0.603262863195083,2,-18,6,-13,"1;2","mudZmGLi",0,3,NA,0,0.77,3
