"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.63164329551825,1,2,1,2,"2;1","nv14I6G7",0,3,NA,1,0.32,1
2,0.671931687946715,2,-1,1,1,"2;1","nv14I6G7",0,3,NA,1,0.32,1
3,0.880730202163579,2,1,1,2,"2;1","nv14I6G7",0,3,NA,1,0.32,1
4,1.03002156441401,2,2,1,4,"2;1","nv14I6G7",0,3,NA,1,0.32,1
5,0.865223285806155,1,4,1,8,"2;1","nv14I6G7",0,3,NA,1,0.32,1
6,0.622304150748263,1,3,1,11,"2;1","nv14I6G7",0,3,NA,1,0.32,1
7,1.14729414546562,2,0,1,11,"2;1","nv14I6G7",0,3,NA,1,0.32,1
8,0.5,1,2,1,13,"2;1","nv14I6G7",0,3,NA,1,0.32,1
9,1.09100226489475,2,1,1,14,"2;1","nv14I6G7",0,3,NA,1,0.32,1
10,0.849955330985883,1,3,1,17,"2;1","nv14I6G7",0,3,NA,1,0.32,1
11,0.527215500913498,1,1,1,18,"2;1","nv14I6G7",0,3,NA,1,0.32,1
12,0.876124526491252,2,5,1,23,"2;1","nv14I6G7",0,3,NA,1,0.32,1
13,0.527206946006316,1,1,1,24,"2;1","nv14I6G7",0,3,NA,1,0.32,1
14,0.774070902314275,1,3,1,27,"2;1","nv14I6G7",0,3,NA,1,0.32,1
15,0.917068011876705,1,4,1,31,"2;1","nv14I6G7",0,3,NA,1,0.32,1
16,0.5,1,3,1,34,"2;1","nv14I6G7",0,3,NA,1,0.32,1
17,0.933476007331998,1,5,1,39,"2;1","nv14I6G7",0,3,NA,1,0.32,1
18,0.615985668311297,2,1,1,40,"2;1","nv14I6G7",0,3,NA,1,0.32,1
19,0.667112949607402,2,7,1,47,"2;1","nv14I6G7",0,3,NA,1,0.32,1
20,0.9605329024018,1,3,1,50,"2;1","nv14I6G7",0,3,NA,1,0.32,1
1,0.6608887124189,2,11,2,11,"1;2","nv14I6G7",0,3,NA,1,0.32,1
2,0.677319671436191,2,-15,2,-4,"1;2","nv14I6G7",0,3,NA,1,0.32,1
3,0.5,2,18,2,14,"1;2","nv14I6G7",0,3,NA,1,0.32,1
4,0.84496000629553,1,3,2,17,"1;2","nv14I6G7",0,3,NA,1,0.32,1
5,0.533415510793611,1,3,2,20,"1;2","nv14I6G7",0,3,NA,1,0.32,1
6,0.662477249457174,1,0,2,20,"1;2","nv14I6G7",0,3,NA,1,0.32,1
7,0.5,2,5,2,25,"1;2","nv14I6G7",0,3,NA,1,0.32,1
8,0.907090558732075,2,19,2,44,"1;2","nv14I6G7",0,3,NA,1,0.32,1
9,0.860074767783607,1,4,2,48,"1;2","nv14I6G7",0,3,NA,1,0.32,1
10,0.738209295463093,1,4,2,52,"1;2","nv14I6G7",0,3,NA,1,0.32,1
11,0.777003234560342,1,-1,2,51,"1;2","nv14I6G7",0,3,NA,1,0.32,1
12,0.797766736708038,2,-17,2,34,"1;2","nv14I6G7",0,3,NA,1,0.32,1
13,0.916841862975353,2,9,2,43,"1;2","nv14I6G7",0,3,NA,1,0.32,1
14,1.51256953563529,1,4,2,47,"1;2","nv14I6G7",0,3,NA,1,0.32,1
15,0.683985689443915,2,10,2,57,"1;2","nv14I6G7",0,3,NA,1,0.32,1
16,0.875787150281364,2,-4,2,53,"1;2","nv14I6G7",0,3,NA,1,0.32,1
17,0.930521850458955,1,2,2,55,"1;2","nv14I6G7",0,3,NA,1,0.32,1
18,0.597752493985723,1,9,2,64,"1;2","nv14I6G7",0,3,NA,1,0.32,1
19,0.736706354399944,2,-8,2,56,"1;2","nv14I6G7",0,3,NA,1,0.32,1
20,0.89476677354702,2,9,2,65,"1;2","nv14I6G7",0,3,NA,1,0.32,1
21,0.793996441043751,1,3,2,68,"1;2","nv14I6G7",0,3,NA,1,0.32,1
22,0.531837876581385,1,4,2,72,"1;2","nv14I6G7",0,3,NA,1,0.32,1
23,0.729402922700445,2,-1,2,71,"1;2","nv14I6G7",0,3,NA,1,0.32,1
24,1.04056683017597,1,0,2,71,"1;2","nv14I6G7",0,3,NA,1,0.32,1
25,0.581770379787302,2,2,2,73,"1;2","nv14I6G7",0,3,NA,1,0.32,1
1,0.743634979734678,2,12,3,12,"1;2","nv14I6G7",0,3,NA,1,0.32,1
2,0.755466476615507,2,-11,3,1,"1;2","nv14I6G7",0,3,NA,1,0.32,1
3,0.954437461181956,1,0,3,1,"1;2","nv14I6G7",0,3,NA,1,0.32,1
4,0.562259305274139,2,-2,3,-1,"1;2","nv14I6G7",0,3,NA,1,0.32,1
5,1.44208264633522,2,3,3,2,"1;2","nv14I6G7",0,3,NA,1,0.32,1
6,0.518140203819385,2,5,3,7,"1;2","nv14I6G7",0,3,NA,1,0.32,1
7,0.5,2,4,3,11,"1;2","nv14I6G7",0,3,NA,1,0.32,1
8,0.845200418696289,1,4,3,15,"1;2","nv14I6G7",0,3,NA,1,0.32,1
9,0.810328843276658,1,4,3,19,"1;2","nv14I6G7",0,3,NA,1,0.32,1
10,0.908920119675968,2,17,3,36,"1;2","nv14I6G7",0,3,NA,1,0.32,1
11,0.675001856379325,1,7,3,43,"1;2","nv14I6G7",0,3,NA,1,0.32,1
12,0.980715725843895,1,2,3,45,"1;2","nv14I6G7",0,3,NA,1,0.32,1
13,0.617386176326654,2,10,3,55,"1;2","nv14I6G7",0,3,NA,1,0.32,1
14,0.621536039750718,2,12,3,67,"1;2","nv14I6G7",0,3,NA,1,0.32,1
15,1.14309877932383,1,1,3,68,"1;2","nv14I6G7",0,3,NA,1,0.32,1
16,0.836110383335545,2,5,3,73,"1;2","nv14I6G7",0,3,NA,1,0.32,1
17,1.24029393934857,1,-2,3,71,"1;2","nv14I6G7",0,3,NA,1,0.32,1
18,0.833732674982907,2,6,3,77,"1;2","nv14I6G7",0,3,NA,1,0.32,1
19,0.774478404680259,2,-7,3,70,"1;2","nv14I6G7",0,3,NA,1,0.32,1
20,0.685766059389531,1,-2,3,68,"1;2","nv14I6G7",0,3,NA,1,0.32,1
21,1.06333602057029,2,0,3,68,"1;2","nv14I6G7",0,3,NA,1,0.32,1
22,0.53406899046008,2,5,3,73,"1;2","nv14I6G7",0,3,NA,1,0.32,1
23,1.19894986301318,1,5,3,78,"1;2","nv14I6G7",0,3,NA,1,0.32,1
24,1.2470215954478,1,6,3,84,"1;2","nv14I6G7",0,3,NA,1,0.32,1
25,1.16176418085303,2,13,3,97,"1;2","nv14I6G7",0,3,NA,1,0.32,1
1,0.577295935794653,1,2,4,2,"1;2","nv14I6G7",0,3,NA,1,0.32,1
2,0.796507919853331,1,2,4,4,"1;2","nv14I6G7",0,3,NA,1,0.32,1
3,0.701729141428744,2,-13,4,-9,"1;2","nv14I6G7",0,3,NA,1,0.32,1
4,0.775198335478253,1,6,4,-3,"1;2","nv14I6G7",0,3,NA,1,0.32,1
5,1.04152632712655,1,1,4,-2,"1;2","nv14I6G7",0,3,NA,1,0.32,1
6,1.09350340656161,2,-1,4,-3,"1;2","nv14I6G7",0,3,NA,1,0.32,1
7,0.969559966988782,1,3,4,0,"1;2","nv14I6G7",0,3,NA,1,0.32,1
8,0.903291359270264,2,-11,4,-11,"1;2","nv14I6G7",0,3,NA,1,0.32,1
9,1.02423311253338,2,16,4,5,"1;2","nv14I6G7",0,3,NA,1,0.32,1
10,1.07594217249478,2,2,4,7,"1;2","nv14I6G7",0,3,NA,1,0.32,1
11,0.810858718389413,2,-8,4,-1,"1;2","nv14I6G7",0,3,NA,1,0.32,1
12,0.5,1,6,4,5,"1;2","nv14I6G7",0,3,NA,1,0.32,1
13,0.871592898923639,1,-2,4,3,"1;2","nv14I6G7",0,3,NA,1,0.32,1
14,0.936045032602986,1,3,4,6,"1;2","nv14I6G7",0,3,NA,1,0.32,1
15,0.685193705052187,1,3,4,9,"1;2","nv14I6G7",0,3,NA,1,0.32,1
16,1.02300112201054,1,2,4,11,"1;2","nv14I6G7",0,3,NA,1,0.32,1
17,1.13982058695269,1,3,4,14,"1;2","nv14I6G7",0,3,NA,1,0.32,1
18,0.67189335390166,2,0,4,14,"1;2","nv14I6G7",0,3,NA,1,0.32,1
19,0.6962073360093,1,0,4,14,"1;2","nv14I6G7",0,3,NA,1,0.32,1
20,0.564619968827128,1,5,4,19,"1;2","nv14I6G7",0,3,NA,1,0.32,1
21,0.902957848500618,1,0,4,19,"1;2","nv14I6G7",0,3,NA,1,0.32,1
22,0.51870215082509,1,1,4,20,"1;2","nv14I6G7",0,3,NA,1,0.32,1
23,0.928137063972113,1,1,4,21,"1;2","nv14I6G7",0,3,NA,1,0.32,1
24,0.967850589002838,1,-3,4,18,"1;2","nv14I6G7",0,3,NA,1,0.32,1
25,0.940374117083045,1,0,4,18,"1;2","nv14I6G7",0,3,NA,1,0.32,1
1,0.960742737836596,2,4,5,4,"2;1","nv14I6G7",0,3,NA,1,0.32,1
2,0.541365683215609,1,-17,5,-13,"2;1","nv14I6G7",0,3,NA,1,0.32,1
3,0.784373623748269,1,5,5,-8,"2;1","nv14I6G7",0,3,NA,1,0.32,1
4,0.83548104435276,2,4,5,-4,"2;1","nv14I6G7",0,3,NA,1,0.32,1
5,0.5,1,11,5,7,"2;1","nv14I6G7",0,3,NA,1,0.32,1
6,0.5,1,7,5,14,"2;1","nv14I6G7",0,3,NA,1,0.32,1
7,0.873332969384785,2,0,5,14,"2;1","nv14I6G7",0,3,NA,1,0.32,1
8,0.914690661851344,2,1,5,15,"2;1","nv14I6G7",0,3,NA,1,0.32,1
9,0.714866146818504,2,2,5,17,"2;1","nv14I6G7",0,3,NA,1,0.32,1
10,1.14757934130204,2,1,5,18,"2;1","nv14I6G7",0,3,NA,1,0.32,1
11,0.641133540336384,2,0,5,18,"2;1","nv14I6G7",0,3,NA,1,0.32,1
12,1.06316768235479,2,3,5,21,"2;1","nv14I6G7",0,3,NA,1,0.32,1
13,0.824981861202008,2,2,5,23,"2;1","nv14I6G7",0,3,NA,1,0.32,1
14,0.5,2,5,5,28,"2;1","nv14I6G7",0,3,NA,1,0.32,1
15,0.796853176470644,1,15,5,43,"2;1","nv14I6G7",0,3,NA,1,0.32,1
