"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.989223023466721,1,2,1,2,"1;2","otYOVysw",100,5,5,0,1,2
2,1.10370392323995,1,2,1,4,"1;2","otYOVysw",100,5,5,0,1,2
3,0.899697783617629,2,3,1,7,"1;2","otYOVysw",100,5,5,0,1,2
4,0.5,2,1,1,8,"1;2","otYOVysw",100,5,5,0,1,2
5,0.56061523453387,2,2,1,10,"1;2","otYOVysw",100,5,5,0,1,2
6,0.683538733085641,2,1,1,11,"1;2","otYOVysw",100,5,5,0,1,2
7,1.40266138809776,1,0,1,11,"1;2","otYOVysw",100,5,5,0,1,2
8,0.904602693377165,2,1,1,12,"1;2","otYOVysw",100,5,5,0,1,2
9,0.559012375801543,1,2,1,14,"1;2","otYOVysw",100,5,5,0,1,2
10,1.21997367359154,1,4,1,18,"1;2","otYOVysw",100,5,5,0,1,2
11,0.642534172151966,2,2,1,20,"1;2","otYOVysw",100,5,5,0,1,2
12,0.795544638690079,1,2,1,22,"1;2","otYOVysw",100,5,5,0,1,2
13,1.52633859300977,1,3,1,25,"1;2","otYOVysw",100,5,5,0,1,2
14,0.576206440006251,1,3,1,28,"1;2","otYOVysw",100,5,5,0,1,2
15,0.899850865741213,1,5,1,33,"1;2","otYOVysw",100,5,5,0,1,2
16,1.1400263990745,2,4,1,37,"1;2","otYOVysw",100,5,5,0,1,2
17,0.999575791596737,1,8,1,45,"1;2","otYOVysw",100,5,5,0,1,2
18,0.642090651700694,2,7,1,52,"1;2","otYOVysw",100,5,5,0,1,2
19,0.5,2,3,1,55,"1;2","otYOVysw",100,5,5,0,1,2
20,0.584940058156581,2,5,1,60,"1;2","otYOVysw",100,5,5,0,1,2
1,0.97827584132855,2,4,2,4,"2;1","otYOVysw",100,5,5,0,1,2
2,0.844433244464702,2,6,2,10,"2;1","otYOVysw",100,5,5,0,1,2
3,0.910899578128427,2,2,2,12,"2;1","otYOVysw",100,5,5,0,1,2
4,0.894995606974775,2,5,2,17,"2;1","otYOVysw",100,5,5,0,1,2
5,0.77594481565513,2,-2,2,15,"2;1","otYOVysw",100,5,5,0,1,2
6,0.66450160321169,2,6,2,21,"2;1","otYOVysw",100,5,5,0,1,2
7,0.5,2,3,2,24,"2;1","otYOVysw",100,5,5,0,1,2
8,1.08249865878024,1,-4,2,20,"2;1","otYOVysw",100,5,5,0,1,2
9,0.833522650965231,2,4,2,24,"2;1","otYOVysw",100,5,5,0,1,2
10,1.17561651159234,2,7,2,31,"2;1","otYOVysw",100,5,5,0,1,2
11,0.785817177401496,2,3,2,34,"2;1","otYOVysw",100,5,5,0,1,2
12,0.757977860601721,1,10,2,44,"2;1","otYOVysw",100,5,5,0,1,2
13,0.826512257576005,2,6,2,50,"2;1","otYOVysw",100,5,5,0,1,2
14,0.791151289389833,2,5,2,55,"2;1","otYOVysw",100,5,5,0,1,2
15,0.749802110370777,2,5,2,60,"2;1","otYOVysw",100,5,5,0,1,2
16,0.711001922102094,2,2,2,62,"2;1","otYOVysw",100,5,5,0,1,2
17,0.824465711850045,1,-8,2,54,"2;1","otYOVysw",100,5,5,0,1,2
18,0.8377972627379,1,-18,2,36,"2;1","otYOVysw",100,5,5,0,1,2
19,1.21069343990271,1,-12,2,24,"2;1","otYOVysw",100,5,5,0,1,2
20,0.738344476235476,1,-10,2,14,"2;1","otYOVysw",100,5,5,0,1,2
21,1.30634511586427,1,13,2,27,"2;1","otYOVysw",100,5,5,0,1,2
22,0.861505830716541,2,5,2,32,"2;1","otYOVysw",100,5,5,0,1,2
23,0.792097693810469,1,4,2,36,"2;1","otYOVysw",100,5,5,0,1,2
24,0.807764526927266,1,-3,2,33,"2;1","otYOVysw",100,5,5,0,1,2
25,0.947609902267531,2,5,2,38,"2;1","otYOVysw",100,5,5,0,1,2
1,0.939459139161741,1,2,3,2,"1;2","otYOVysw",100,5,5,0,1,2
2,0.73953024142323,2,2,3,4,"1;2","otYOVysw",100,5,5,0,1,2
3,0.659331177083296,1,4,3,8,"1;2","otYOVysw",100,5,5,0,1,2
4,0.77856528417443,2,-6,3,2,"1;2","otYOVysw",100,5,5,0,1,2
5,0.943215161657707,2,17,3,19,"1;2","otYOVysw",100,5,5,0,1,2
6,0.751871647784852,2,-11,3,8,"1;2","otYOVysw",100,5,5,0,1,2
7,0.744270616191053,2,6,3,14,"1;2","otYOVysw",100,5,5,0,1,2
8,0.986609520247716,2,11,3,25,"1;2","otYOVysw",100,5,5,0,1,2
9,0.59758538465271,2,20,3,45,"1;2","otYOVysw",100,5,5,0,1,2
10,0.5,2,17,3,62,"1;2","otYOVysw",100,5,5,0,1,2
11,0.930468107169706,2,10,3,72,"1;2","otYOVysw",100,5,5,0,1,2
12,0.5,2,7,3,79,"1;2","otYOVysw",100,5,5,0,1,2
13,0.804269246597953,2,-9,3,70,"1;2","otYOVysw",100,5,5,0,1,2
14,1.03198143268625,2,5,3,75,"1;2","otYOVysw",100,5,5,0,1,2
15,1.01824105384918,2,10,3,85,"1;2","otYOVysw",100,5,5,0,1,2
16,1.0443813590608,1,7,3,92,"1;2","otYOVysw",100,5,5,0,1,2
