"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.26011008472732,2,4,1,4,"1;2","p9WzrWW5",100,5,4,0,0.8,2
2,0.956834177458068,1,4,1,8,"1;2","p9WzrWW5",100,5,4,0,0.8,2
3,1.16713791032829,1,3,1,11,"1;2","p9WzrWW5",100,5,4,0,0.8,2
4,0.928029739350907,2,3,1,14,"1;2","p9WzrWW5",100,5,4,0,0.8,2
5,1.02704111904752,1,2,1,16,"1;2","p9WzrWW5",100,5,4,0,0.8,2
6,0.524957535137529,2,4,1,20,"1;2","p9WzrWW5",100,5,4,0,0.8,2
7,0.641196000293137,1,5,1,25,"1;2","p9WzrWW5",100,5,4,0,0.8,2
8,0.606031041353832,2,2,1,27,"1;2","p9WzrWW5",100,5,4,0,0.8,2
9,0.735084884440777,2,1,1,28,"1;2","p9WzrWW5",100,5,4,0,0.8,2
10,0.873253720218724,1,6,1,34,"1;2","p9WzrWW5",100,5,4,0,0.8,2
11,0.5,1,3,1,37,"1;2","p9WzrWW5",100,5,4,0,0.8,2
12,0.5,1,6,1,43,"1;2","p9WzrWW5",100,5,4,0,0.8,2
13,1.00261944543835,1,3,1,46,"1;2","p9WzrWW5",100,5,4,0,0.8,2
14,0.686267306699999,1,8,1,54,"1;2","p9WzrWW5",100,5,4,0,0.8,2
15,0.5,1,0,1,54,"1;2","p9WzrWW5",100,5,4,0,0.8,2
16,0.948507401971199,2,1,1,55,"1;2","p9WzrWW5",100,5,4,0,0.8,2
17,0.702098753776942,2,-1,1,54,"1;2","p9WzrWW5",100,5,4,0,0.8,2
18,0.594733887033518,1,2,1,56,"1;2","p9WzrWW5",100,5,4,0,0.8,2
19,1.02548311725264,1,6,1,62,"1;2","p9WzrWW5",100,5,4,0,0.8,2
20,0.7259914939716,2,3,1,65,"1;2","p9WzrWW5",100,5,4,0,0.8,2
1,0.825946815722461,1,5,2,5,"2;1","p9WzrWW5",100,5,4,0,0.8,2
2,0.795910263127328,2,6,2,11,"2;1","p9WzrWW5",100,5,4,0,0.8,2
3,0.812742332546104,1,2,2,13,"2;1","p9WzrWW5",100,5,4,0,0.8,2
4,0.663540172671631,2,2,2,15,"2;1","p9WzrWW5",100,5,4,0,0.8,2
5,1.01143656566445,2,1,2,16,"2;1","p9WzrWW5",100,5,4,0,0.8,2
