"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.762520418687548,1,6,1,6,"2;1","pIo6jzUd",100,5,1,0,0.2,3
2,0.937474770694219,1,1,1,7,"2;1","pIo6jzUd",100,5,1,0,0.2,3
3,0.5,1,4,1,11,"2;1","pIo6jzUd",100,5,1,0,0.2,3
4,0.538339479440209,1,3,1,14,"2;1","pIo6jzUd",100,5,1,0,0.2,3
5,0.70593784944235,1,1,1,15,"2;1","pIo6jzUd",100,5,1,0,0.2,3
6,0.621814997529281,1,6,1,21,"2;1","pIo6jzUd",100,5,1,0,0.2,3
7,1.01387747217049,1,2,1,23,"2;1","pIo6jzUd",100,5,1,0,0.2,3
8,0.82847091386537,1,2,1,25,"2;1","pIo6jzUd",100,5,1,0,0.2,3
9,0.997073476794196,1,3,1,28,"2;1","pIo6jzUd",100,5,1,0,0.2,3
10,1.05488981396212,1,0,1,28,"2;1","pIo6jzUd",100,5,1,0,0.2,3
11,0.682109193811963,1,3,1,31,"2;1","pIo6jzUd",100,5,1,0,0.2,3
12,1.21547438117336,1,7,1,38,"2;1","pIo6jzUd",100,5,1,0,0.2,3
13,1.03376166212694,1,1,1,39,"2;1","pIo6jzUd",100,5,1,0,0.2,3
14,0.737121190806435,1,7,1,46,"2;1","pIo6jzUd",100,5,1,0,0.2,3
15,0.84850654864709,1,4,1,50,"2;1","pIo6jzUd",100,5,1,0,0.2,3
16,0.699805707613805,1,5,1,55,"2;1","pIo6jzUd",100,5,1,0,0.2,3
17,0.773423321605815,1,1,1,56,"2;1","pIo6jzUd",100,5,1,0,0.2,3
18,0.888403272942249,1,3,1,59,"2;1","pIo6jzUd",100,5,1,0,0.2,3
19,0.841281510042586,2,1,1,60,"2;1","pIo6jzUd",100,5,1,0,0.2,3
20,0.5,1,7,1,67,"2;1","pIo6jzUd",100,5,1,0,0.2,3
1,1.15630137768378,2,5,2,5,"2;1","pIo6jzUd",100,5,1,0,0.2,3
2,1.12397415707014,2,4,2,9,"2;1","pIo6jzUd",100,5,1,0,0.2,3
3,1.01218799272226,2,5,2,14,"2;1","pIo6jzUd",100,5,1,0,0.2,3
4,0.894937472556474,2,5,2,19,"2;1","pIo6jzUd",100,5,1,0,0.2,3
5,0.889505144135291,2,5,2,24,"2;1","pIo6jzUd",100,5,1,0,0.2,3
6,0.5,2,-1,2,23,"2;1","pIo6jzUd",100,5,1,0,0.2,3
7,1.22744214782389,2,3,2,26,"2;1","pIo6jzUd",100,5,1,0,0.2,3
8,0.762823970374588,2,0,2,26,"2;1","pIo6jzUd",100,5,1,0,0.2,3
9,0.774790938388101,2,6,2,32,"2;1","pIo6jzUd",100,5,1,0,0.2,3
10,0.82583386463635,2,4,2,36,"2;1","pIo6jzUd",100,5,1,0,0.2,3
11,0.830613833095895,2,5,2,41,"2;1","pIo6jzUd",100,5,1,0,0.2,3
12,0.66064262517259,2,3,2,44,"2;1","pIo6jzUd",100,5,1,0,0.2,3
13,1.04229658198097,2,2,2,46,"2;1","pIo6jzUd",100,5,1,0,0.2,3
14,0.662573049685694,2,6,2,52,"2;1","pIo6jzUd",100,5,1,0,0.2,3
15,0.5,2,3,2,55,"2;1","pIo6jzUd",100,5,1,0,0.2,3
16,1.45022029120282,2,4,2,59,"2;1","pIo6jzUd",100,5,1,0,0.2,3
17,1.28166206007601,2,8,2,67,"2;1","pIo6jzUd",100,5,1,0,0.2,3
18,0.507489955097185,2,5,2,72,"2;1","pIo6jzUd",100,5,1,0,0.2,3
19,0.763882824230855,2,2,2,74,"2;1","pIo6jzUd",100,5,1,0,0.2,3
20,1.27370015623565,2,5,2,79,"2;1","pIo6jzUd",100,5,1,0,0.2,3
21,0.530944859975836,2,5,2,84,"2;1","pIo6jzUd",100,5,1,0,0.2,3
22,0.673886231374617,2,7,2,91,"2;1","pIo6jzUd",100,5,1,0,0.2,3
