"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.21174068373112,1,4,1,4,"1;2","pJWXg7zV",100,5,2,0,0.4,2
2,1.11785150625711,2,2,1,6,"1;2","pJWXg7zV",100,5,2,0,0.4,2
3,0.5,1,2,1,8,"1;2","pJWXg7zV",100,5,2,0,0.4,2
4,0.895231254604387,2,3,1,11,"1;2","pJWXg7zV",100,5,2,0,0.4,2
5,1.16900304507419,2,3,1,14,"1;2","pJWXg7zV",100,5,2,0,0.4,2
6,0.828747795172133,1,3,1,17,"1;2","pJWXg7zV",100,5,2,0,0.4,2
7,0.845125449039297,1,-1,1,16,"1;2","pJWXg7zV",100,5,2,0,0.4,2
8,0.97710280105408,1,3,1,19,"1;2","pJWXg7zV",100,5,2,0,0.4,2
9,0.542059279912524,2,6,1,25,"1;2","pJWXg7zV",100,5,2,0,0.4,2
10,0.875141711233057,2,5,1,30,"1;2","pJWXg7zV",100,5,2,0,0.4,2
11,0.831313605186525,2,7,1,37,"1;2","pJWXg7zV",100,5,2,0,0.4,2
12,0.912769900799333,2,4,1,41,"1;2","pJWXg7zV",100,5,2,0,0.4,2
13,1.08580635672574,2,2,1,43,"1;2","pJWXg7zV",100,5,2,0,0.4,2
14,0.65465707328249,1,3,1,46,"1;2","pJWXg7zV",100,5,2,0,0.4,2
15,0.5,1,3,1,49,"1;2","pJWXg7zV",100,5,2,0,0.4,2
16,0.862352050564313,2,2,1,51,"1;2","pJWXg7zV",100,5,2,0,0.4,2
17,0.5,2,3,1,54,"1;2","pJWXg7zV",100,5,2,0,0.4,2
18,0.5,2,0,1,54,"1;2","pJWXg7zV",100,5,2,0,0.4,2
19,0.5,1,2,1,56,"1;2","pJWXg7zV",100,5,2,0,0.4,2
20,0.691615632382435,2,4,1,60,"1;2","pJWXg7zV",100,5,2,0,0.4,2
1,0.927586208600611,1,9,2,9,"1;2","pJWXg7zV",100,5,2,0,0.4,2
2,0.657010556058114,1,9,2,18,"1;2","pJWXg7zV",100,5,2,0,0.4,2
3,0.940375463442792,1,5,2,23,"1;2","pJWXg7zV",100,5,2,0,0.4,2
4,1.17919925492179,1,5,2,28,"1;2","pJWXg7zV",100,5,2,0,0.4,2
5,0.5,1,2,2,30,"1;2","pJWXg7zV",100,5,2,0,0.4,2
6,0.859630678258378,1,5,2,35,"1;2","pJWXg7zV",100,5,2,0,0.4,2
7,0.897157827559561,1,6,2,41,"1;2","pJWXg7zV",100,5,2,0,0.4,2
8,1.03975027731894,1,7,2,48,"1;2","pJWXg7zV",100,5,2,0,0.4,2
9,1.29851294073263,1,4,2,52,"1;2","pJWXg7zV",100,5,2,0,0.4,2
10,0.765154234888552,1,1,2,53,"1;2","pJWXg7zV",100,5,2,0,0.4,2
11,0.800694262926543,2,14,2,67,"1;2","pJWXg7zV",100,5,2,0,0.4,2
12,0.591537920377495,2,34,2,101,"1;2","pJWXg7zV",100,5,2,0,0.4,2
13,0.712438922966651,2,-18,2,83,"1;2","pJWXg7zV",100,5,2,0,0.4,2
14,1.08052201670963,1,3,2,86,"1;2","pJWXg7zV",100,5,2,0,0.4,2
15,0.691750479614633,1,8,2,94,"1;2","pJWXg7zV",100,5,2,0,0.4,2
16,0.5,1,3,2,97,"1;2","pJWXg7zV",100,5,2,0,0.4,2
17,0.719224205366147,1,8,2,105,"1;2","pJWXg7zV",100,5,2,0,0.4,2
18,1.31976719681916,1,4,2,109,"1;2","pJWXg7zV",100,5,2,0,0.4,2
19,0.643737082950866,1,2,2,111,"1;2","pJWXg7zV",100,5,2,0,0.4,2
20,1.19364095012229,1,6,2,117,"1;2","pJWXg7zV",100,5,2,0,0.4,2
21,0.683288254749425,1,3,2,120,"1;2","pJWXg7zV",100,5,2,0,0.4,2
22,0.741985648482025,2,-10,2,110,"1;2","pJWXg7zV",100,5,2,0,0.4,2
23,0.5,1,4,2,114,"1;2","pJWXg7zV",100,5,2,0,0.4,2
24,0.644756323182867,1,3,2,117,"1;2","pJWXg7zV",100,5,2,0,0.4,2
25,0.972513705689103,1,7,2,124,"1;2","pJWXg7zV",100,5,2,0,0.4,2
1,1.08545656058974,2,9,3,9,"2;1","pJWXg7zV",100,5,2,0,0.4,2
2,0.665869987194481,2,1,3,10,"2;1","pJWXg7zV",100,5,2,0,0.4,2
3,0.708906074591556,1,-7,3,3,"2;1","pJWXg7zV",100,5,2,0,0.4,2
4,0.616057877694338,2,1,3,4,"2;1","pJWXg7zV",100,5,2,0,0.4,2
5,0.749940700882566,2,5,3,9,"2;1","pJWXg7zV",100,5,2,0,0.4,2
6,0.513733077484799,1,-11,3,-2,"2;1","pJWXg7zV",100,5,2,0,0.4,2
7,1.08899143288931,2,4,3,2,"2;1","pJWXg7zV",100,5,2,0,0.4,2
8,0.5,1,-5,3,-3,"2;1","pJWXg7zV",100,5,2,0,0.4,2
9,0.508799146725658,2,3,3,0,"2;1","pJWXg7zV",100,5,2,0,0.4,2
10,0.511769907968993,2,6,3,6,"2;1","pJWXg7zV",100,5,2,0,0.4,2
11,0.5,2,5,3,11,"2;1","pJWXg7zV",100,5,2,0,0.4,2
12,1.11414338011542,2,1,3,12,"2;1","pJWXg7zV",100,5,2,0,0.4,2
13,0.889699679760019,2,6,3,18,"2;1","pJWXg7zV",100,5,2,0,0.4,2
14,0.954591691446736,2,4,3,22,"2;1","pJWXg7zV",100,5,2,0,0.4,2
15,1.19731045169204,2,2,3,24,"2;1","pJWXg7zV",100,5,2,0,0.4,2
16,0.723878642971316,2,3,3,27,"2;1","pJWXg7zV",100,5,2,0,0.4,2
17,0.946699515489556,2,6,3,33,"2;1","pJWXg7zV",100,5,2,0,0.4,2
18,1.01526301655338,2,-2,3,31,"2;1","pJWXg7zV",100,5,2,0,0.4,2
19,0.5,1,25,3,56,"2;1","pJWXg7zV",100,5,2,0,0.4,2
20,0.864201556281116,1,-6,3,50,"2;1","pJWXg7zV",100,5,2,0,0.4,2
21,1.01848075799681,2,3,3,53,"2;1","pJWXg7zV",100,5,2,0,0.4,2
22,0.900037871608294,1,27,3,80,"2;1","pJWXg7zV",100,5,2,0,0.4,2
23,0.575604487033161,1,-1,3,79,"2;1","pJWXg7zV",100,5,2,0,0.4,2
24,1.18156266952747,1,-6,3,73,"2;1","pJWXg7zV",100,5,2,0,0.4,2
25,0.913876388680272,1,-6,3,67,"2;1","pJWXg7zV",100,5,2,0,0.4,2
1,0.611032330757319,2,-2,4,-2,"1;2","pJWXg7zV",100,5,2,0,0.4,2
2,1.17046232314776,2,5,4,3,"1;2","pJWXg7zV",100,5,2,0,0.4,2
3,1.05699248931033,2,19,4,22,"1;2","pJWXg7zV",100,5,2,0,0.4,2
4,0.709309824801736,2,3,4,25,"1;2","pJWXg7zV",100,5,2,0,0.4,2
5,0.610322394604423,2,12,4,37,"1;2","pJWXg7zV",100,5,2,0,0.4,2
6,0.54163951553815,2,-1,4,36,"1;2","pJWXg7zV",100,5,2,0,0.4,2
7,0.951315418288086,2,-6,4,30,"1;2","pJWXg7zV",100,5,2,0,0.4,2
8,0.621271520125808,2,0,4,30,"1;2","pJWXg7zV",100,5,2,0,0.4,2
9,0.785702802629057,2,0,4,30,"1;2","pJWXg7zV",100,5,2,0,0.4,2
10,0.5,2,-2,4,28,"1;2","pJWXg7zV",100,5,2,0,0.4,2
11,1.11601568576277,1,4,4,32,"1;2","pJWXg7zV",100,5,2,0,0.4,2
12,0.786963638865769,2,5,4,37,"1;2","pJWXg7zV",100,5,2,0,0.4,2
13,0.784668181906185,2,5,4,42,"1;2","pJWXg7zV",100,5,2,0,0.4,2
14,0.96174050844588,2,14,4,56,"1;2","pJWXg7zV",100,5,2,0,0.4,2
15,0.714900375497936,2,4,4,60,"1;2","pJWXg7zV",100,5,2,0,0.4,2
16,0.5,1,4,4,64,"1;2","pJWXg7zV",100,5,2,0,0.4,2
17,0.5,1,3,4,67,"1;2","pJWXg7zV",100,5,2,0,0.4,2
18,1.08562175522728,2,-11,4,56,"1;2","pJWXg7zV",100,5,2,0,0.4,2
19,0.5,2,5,4,61,"1;2","pJWXg7zV",100,5,2,0,0.4,2
20,0.735652081856773,2,-11,4,50,"1;2","pJWXg7zV",100,5,2,0,0.4,2
21,0.666761787457377,2,-10,4,40,"1;2","pJWXg7zV",100,5,2,0,0.4,2
22,0.5,2,-8,4,32,"1;2","pJWXg7zV",100,5,2,0,0.4,2
23,0.5,2,5,4,37,"1;2","pJWXg7zV",100,5,2,0,0.4,2
24,1.2190672336034,2,3,4,40,"1;2","pJWXg7zV",100,5,2,0,0.4,2
25,1.08841586207231,2,3,4,43,"1;2","pJWXg7zV",100,5,2,0,0.4,2
1,1.16566010038396,2,-29,5,-29,"1;2","pJWXg7zV",100,5,2,0,0.4,2
2,1.15469572293881,2,5,5,-24,"1;2","pJWXg7zV",100,5,2,0,0.4,2
3,0.781963333331727,2,-12,5,-36,"1;2","pJWXg7zV",100,5,2,0,0.4,2
4,0.5,2,19,5,-17,"1;2","pJWXg7zV",100,5,2,0,0.4,2
5,0.893280550515202,2,-8,5,-25,"1;2","pJWXg7zV",100,5,2,0,0.4,2
6,1.26828090364734,2,-4,5,-29,"1;2","pJWXg7zV",100,5,2,0,0.4,2
7,0.798082424206678,2,27,5,-2,"1;2","pJWXg7zV",100,5,2,0,0.4,2
8,0.5,2,19,5,17,"1;2","pJWXg7zV",100,5,2,0,0.4,2
9,0.606555796765771,2,-9,5,8,"1;2","pJWXg7zV",100,5,2,0,0.4,2
10,0.975304971136965,2,6,5,14,"1;2","pJWXg7zV",100,5,2,0,0.4,2
11,0.810527647416273,2,9,5,23,"1;2","pJWXg7zV",100,5,2,0,0.4,2
12,0.614739619341807,2,14,5,37,"1;2","pJWXg7zV",100,5,2,0,0.4,2
13,0.631505826689877,2,1,5,38,"1;2","pJWXg7zV",100,5,2,0,0.4,2
14,0.97259525707753,1,0,5,38,"1;2","pJWXg7zV",100,5,2,0,0.4,2
15,1.34458452536668,2,3,5,41,"1;2","pJWXg7zV",100,5,2,0,0.4,2
16,0.684973614127791,2,-11,5,30,"1;2","pJWXg7zV",100,5,2,0,0.4,2
17,0.855664436745411,1,10,5,40,"1;2","pJWXg7zV",100,5,2,0,0.4,2
18,0.738649746949629,2,5,5,45,"1;2","pJWXg7zV",100,5,2,0,0.4,2
19,0.826771290341925,1,3,5,48,"1;2","pJWXg7zV",100,5,2,0,0.4,2
20,1.32829871305188,2,10,5,58,"1;2","pJWXg7zV",100,5,2,0,0.4,2
21,0.63087662970895,1,4,5,62,"1;2","pJWXg7zV",100,5,2,0,0.4,2
22,1.13787025894766,1,8,5,70,"1;2","pJWXg7zV",100,5,2,0,0.4,2
23,0.842087546123252,2,4,5,74,"1;2","pJWXg7zV",100,5,2,0,0.4,2
24,1.12761882648892,2,16,5,90,"1;2","pJWXg7zV",100,5,2,0,0.4,2
25,0.5,1,4,5,94,"1;2","pJWXg7zV",100,5,2,0,0.4,2
1,0.78733804000809,1,-20,6,-20,"2;1","pJWXg7zV",100,5,2,0,0.4,2
2,1.24076041086021,2,10,6,-10,"2;1","pJWXg7zV",100,5,2,0,0.4,2
3,0.808851337146432,1,-5,6,-15,"2;1","pJWXg7zV",100,5,2,0,0.4,2
4,1.1083240370733,1,7,6,-8,"2;1","pJWXg7zV",100,5,2,0,0.4,2
5,0.885729393921637,1,-24,6,-32,"2;1","pJWXg7zV",100,5,2,0,0.4,2
6,0.76014011385324,1,22,6,-10,"2;1","pJWXg7zV",100,5,2,0,0.4,2
7,0.585955304824077,1,1,6,-9,"2;1","pJWXg7zV",100,5,2,0,0.4,2
8,0.954222709601953,1,-8,6,-17,"2;1","pJWXg7zV",100,5,2,0,0.4,2
9,1.1643024222102,1,11,6,-6,"2;1","pJWXg7zV",100,5,2,0,0.4,2
10,0.577485425086657,1,17,6,11,"2;1","pJWXg7zV",100,5,2,0,0.4,2
11,0.839357655019319,1,-9,6,2,"2;1","pJWXg7zV",100,5,2,0,0.4,2
12,0.537931695665734,1,5,6,7,"2;1","pJWXg7zV",100,5,2,0,0.4,2
13,0.616349772816411,1,20,6,27,"2;1","pJWXg7zV",100,5,2,0,0.4,2
14,0.610874493822677,1,2,6,29,"2;1","pJWXg7zV",100,5,2,0,0.4,2
15,0.5,1,7,6,36,"2;1","pJWXg7zV",100,5,2,0,0.4,2
16,0.92470889230238,1,-4,6,32,"2;1","pJWXg7zV",100,5,2,0,0.4,2
17,0.5,1,-4,6,28,"2;1","pJWXg7zV",100,5,2,0,0.4,2
18,0.508974417965445,2,3,6,31,"2;1","pJWXg7zV",100,5,2,0,0.4,2
19,0.87089463757173,1,-1,6,30,"2;1","pJWXg7zV",100,5,2,0,0.4,2
20,0.878270091660852,1,19,6,49,"2;1","pJWXg7zV",100,5,2,0,0.4,2
21,1.0871734129225,1,5,6,54,"2;1","pJWXg7zV",100,5,2,0,0.4,2
22,0.675536386157003,1,20,6,74,"2;1","pJWXg7zV",100,5,2,0,0.4,2
23,1.30073858767433,1,10,6,84,"2;1","pJWXg7zV",100,5,2,0,0.4,2
24,1.04385555479444,1,-7,6,77,"2;1","pJWXg7zV",100,5,2,0,0.4,2
25,0.761144985732396,1,1,6,78,"2;1","pJWXg7zV",100,5,2,0,0.4,2
1,0.538941690421567,2,-4,7,-4,"1;2","pJWXg7zV",100,5,2,0,0.4,2
2,1.09547523938556,1,4,7,0,"1;2","pJWXg7zV",100,5,2,0,0.4,2
3,0.69684186575198,1,7,7,7,"1;2","pJWXg7zV",100,5,2,0,0.4,2
4,0.57793564576224,1,1,7,8,"1;2","pJWXg7zV",100,5,2,0,0.4,2
5,0.616176180659356,1,4,7,12,"1;2","pJWXg7zV",100,5,2,0,0.4,2
6,0.533146862906873,2,11,7,23,"1;2","pJWXg7zV",100,5,2,0,0.4,2
7,0.658881709144232,2,-11,7,12,"1;2","pJWXg7zV",100,5,2,0,0.4,2
8,0.638357483882341,1,0,7,12,"1;2","pJWXg7zV",100,5,2,0,0.4,2
9,0.74308656955421,1,3,7,15,"1;2","pJWXg7zV",100,5,2,0,0.4,2
10,0.5,2,-17,7,-2,"1;2","pJWXg7zV",100,5,2,0,0.4,2
11,0.668112230390935,2,6,7,4,"1;2","pJWXg7zV",100,5,2,0,0.4,2
12,0.984897010864038,2,-7,7,-3,"1;2","pJWXg7zV",100,5,2,0,0.4,2
13,0.61060329559659,2,-5,7,-8,"1;2","pJWXg7zV",100,5,2,0,0.4,2
14,0.745716471634013,2,12,7,4,"1;2","pJWXg7zV",100,5,2,0,0.4,2
15,0.5,2,-6,7,-2,"1;2","pJWXg7zV",100,5,2,0,0.4,2
16,0.846578374260275,2,2,7,0,"1;2","pJWXg7zV",100,5,2,0,0.4,2
17,0.523580976750884,2,-9,7,-9,"1;2","pJWXg7zV",100,5,2,0,0.4,2
18,1.15881927742472,2,-13,7,-22,"1;2","pJWXg7zV",100,5,2,0,0.4,2
19,0.726443278533015,2,-9,7,-31,"1;2","pJWXg7zV",100,5,2,0,0.4,2
20,0.58635820301779,2,-4,7,-35,"1;2","pJWXg7zV",100,5,2,0,0.4,2
21,0.852661122414446,1,0,7,-35,"1;2","pJWXg7zV",100,5,2,0,0.4,2
22,1.36155137047379,1,0,7,-35,"1;2","pJWXg7zV",100,5,2,0,0.4,2
23,0.785956563304432,2,-3,7,-38,"1;2","pJWXg7zV",100,5,2,0,0.4,2
24,0.747427491384423,1,1,7,-37,"1;2","pJWXg7zV",100,5,2,0,0.4,2
25,0.698667507722021,1,-2,7,-39,"1;2","pJWXg7zV",100,5,2,0,0.4,2
1,0.530927223939814,2,1,8,1,"2;1","pJWXg7zV",100,5,2,0,0.4,2
2,0.7026448079451,2,1,8,2,"2;1","pJWXg7zV",100,5,2,0,0.4,2
3,0.702721736700728,2,5,8,7,"2;1","pJWXg7zV",100,5,2,0,0.4,2
4,0.604603368778756,2,4,8,11,"2;1","pJWXg7zV",100,5,2,0,0.4,2
5,0.5,2,5,8,16,"2;1","pJWXg7zV",100,5,2,0,0.4,2
6,0.64719773006231,2,6,8,22,"2;1","pJWXg7zV",100,5,2,0,0.4,2
7,0.629205526968163,2,6,8,28,"2;1","pJWXg7zV",100,5,2,0,0.4,2
8,1.06414639100514,2,11,8,39,"2;1","pJWXg7zV",100,5,2,0,0.4,2
9,0.5,2,6,8,45,"2;1","pJWXg7zV",100,5,2,0,0.4,2
10,0.866892539172219,2,4,8,49,"2;1","pJWXg7zV",100,5,2,0,0.4,2
11,0.735287627490586,2,5,8,54,"2;1","pJWXg7zV",100,5,2,0,0.4,2
12,1.04920554327766,2,2,8,56,"2;1","pJWXg7zV",100,5,2,0,0.4,2
13,1.09423464788699,2,9,8,65,"2;1","pJWXg7zV",100,5,2,0,0.4,2
14,0.582844129218675,2,1,8,66,"2;1","pJWXg7zV",100,5,2,0,0.4,2
15,0.507926877376823,2,1,8,67,"2;1","pJWXg7zV",100,5,2,0,0.4,2
16,0.788637451534873,2,5,8,72,"2;1","pJWXg7zV",100,5,2,0,0.4,2
17,0.654951624476377,2,0,8,72,"2;1","pJWXg7zV",100,5,2,0,0.4,2
18,0.5,2,2,8,74,"2;1","pJWXg7zV",100,5,2,0,0.4,2
19,0.5,2,5,8,79,"2;1","pJWXg7zV",100,5,2,0,0.4,2
20,0.5,2,5,8,84,"2;1","pJWXg7zV",100,5,2,0,0.4,2
21,0.5,2,3,8,87,"2;1","pJWXg7zV",100,5,2,0,0.4,2
22,0.788847900191663,2,4,8,91,"2;1","pJWXg7zV",100,5,2,0,0.4,2
23,0.832030827923265,2,2,8,93,"2;1","pJWXg7zV",100,5,2,0,0.4,2
24,0.624634083896448,2,7,8,100,"2;1","pJWXg7zV",100,5,2,0,0.4,2
25,0.772656771079179,1,-8,8,92,"2;1","pJWXg7zV",100,5,2,0,0.4,2
1,0.572171427494796,2,19,9,19,"1;2","pJWXg7zV",100,5,2,0,0.4,2
2,1.18684129109486,2,8,9,27,"1;2","pJWXg7zV",100,5,2,0,0.4,2
3,0.625293145005284,2,1,9,28,"1;2","pJWXg7zV",100,5,2,0,0.4,2
4,0.703675773668271,2,1,9,29,"1;2","pJWXg7zV",100,5,2,0,0.4,2
5,0.887335917460936,2,-9,9,20,"1;2","pJWXg7zV",100,5,2,0,0.4,2
6,0.664386519527745,2,-7,9,13,"1;2","pJWXg7zV",100,5,2,0,0.4,2
7,0.909068992193263,2,-11,9,2,"1;2","pJWXg7zV",100,5,2,0,0.4,2
8,1.06917700145644,2,-1,9,1,"1;2","pJWXg7zV",100,5,2,0,0.4,2
9,0.5,2,-17,9,-16,"1;2","pJWXg7zV",100,5,2,0,0.4,2
10,0.5,2,-2,9,-18,"1;2","pJWXg7zV",100,5,2,0,0.4,2
11,0.843502275925455,2,-2,9,-20,"1;2","pJWXg7zV",100,5,2,0,0.4,2
12,0.734052137479724,2,19,9,-1,"1;2","pJWXg7zV",100,5,2,0,0.4,2
13,0.612090622703995,2,1,9,0,"1;2","pJWXg7zV",100,5,2,0,0.4,2
14,0.983527063372332,2,3,9,3,"1;2","pJWXg7zV",100,5,2,0,0.4,2
15,0.5,2,5,9,8,"1;2","pJWXg7zV",100,5,2,0,0.4,2
16,0.757711621435976,2,-8,9,0,"1;2","pJWXg7zV",100,5,2,0,0.4,2
17,0.658283521943648,2,-3,9,-3,"1;2","pJWXg7zV",100,5,2,0,0.4,2
18,0.5,2,-14,9,-17,"1;2","pJWXg7zV",100,5,2,0,0.4,2
19,0.838784954398362,2,3,9,-14,"1;2","pJWXg7zV",100,5,2,0,0.4,2
20,0.760461347737315,2,-13,9,-27,"1;2","pJWXg7zV",100,5,2,0,0.4,2
21,1.16857687266759,2,-8,9,-35,"1;2","pJWXg7zV",100,5,2,0,0.4,2
22,0.642612715337356,2,9,9,-26,"1;2","pJWXg7zV",100,5,2,0,0.4,2
23,0.904814373790041,2,-11,9,-37,"1;2","pJWXg7zV",100,5,2,0,0.4,2
24,0.715767610682932,1,0,9,-37,"1;2","pJWXg7zV",100,5,2,0,0.4,2
25,0.883761531543462,1,2,9,-35,"1;2","pJWXg7zV",100,5,2,0,0.4,2
1,1.19988921254778,2,26,10,26,"1;2","pJWXg7zV",100,5,2,0,0.4,2
2,0.935099154604201,2,-16,10,10,"1;2","pJWXg7zV",100,5,2,0,0.4,2
3,0.83480768822733,2,2,10,12,"1;2","pJWXg7zV",100,5,2,0,0.4,2
4,0.715576273207703,2,12,10,24,"1;2","pJWXg7zV",100,5,2,0,0.4,2
5,0.725719882583054,2,11,10,35,"1;2","pJWXg7zV",100,5,2,0,0.4,2
6,1.15628322498313,2,17,10,52,"1;2","pJWXg7zV",100,5,2,0,0.4,2
7,0.757608696592359,1,3,10,55,"1;2","pJWXg7zV",100,5,2,0,0.4,2
8,1.00375497267293,2,-11,10,44,"1;2","pJWXg7zV",100,5,2,0,0.4,2
9,1.02714406191098,2,0,10,44,"1;2","pJWXg7zV",100,5,2,0,0.4,2
10,0.69234737051637,2,1,10,45,"1;2","pJWXg7zV",100,5,2,0,0.4,2
11,1.09120381684185,1,3,10,48,"1;2","pJWXg7zV",100,5,2,0,0.4,2
12,0.87522576342155,2,-2,10,46,"1;2","pJWXg7zV",100,5,2,0,0.4,2
13,0.74026008472326,2,-9,10,37,"1;2","pJWXg7zV",100,5,2,0,0.4,2
14,0.560959664682209,2,-7,10,30,"1;2","pJWXg7zV",100,5,2,0,0.4,2
15,0.556747230384848,2,-14,10,16,"1;2","pJWXg7zV",100,5,2,0,0.4,2
16,0.970244900015517,2,2,10,18,"1;2","pJWXg7zV",100,5,2,0,0.4,2
17,1.23621896029896,2,12,10,30,"1;2","pJWXg7zV",100,5,2,0,0.4,2
18,0.813851224202277,2,36,10,66,"1;2","pJWXg7zV",100,5,2,0,0.4,2
19,0.839410512329015,1,3,10,69,"1;2","pJWXg7zV",100,5,2,0,0.4,2
20,0.60219670664371,2,5,10,74,"1;2","pJWXg7zV",100,5,2,0,0.4,2
21,0.985686706414853,2,1,10,75,"1;2","pJWXg7zV",100,5,2,0,0.4,2
22,1.52826723972864,2,12,10,87,"1;2","pJWXg7zV",100,5,2,0,0.4,2
23,0.836307770204821,2,20,10,107,"1;2","pJWXg7zV",100,5,2,0,0.4,2
24,1.07528291570742,1,5,10,112,"1;2","pJWXg7zV",100,5,2,0,0.4,2
25,0.791367558905507,2,7,10,119,"1;2","pJWXg7zV",100,5,2,0,0.4,2
1,0.500870805524466,1,8,11,8,"2;1","pJWXg7zV",100,5,2,0,0.4,2
2,0.67116878629086,2,8,11,16,"2;1","pJWXg7zV",100,5,2,0,0.4,2
3,0.717856965847413,2,1,11,17,"2;1","pJWXg7zV",100,5,2,0,0.4,2
4,0.699511803367011,1,-16,11,1,"2;1","pJWXg7zV",100,5,2,0,0.4,2
5,0.74473274514681,1,12,11,13,"2;1","pJWXg7zV",100,5,2,0,0.4,2
6,0.663528127783923,1,38,11,51,"2;1","pJWXg7zV",100,5,2,0,0.4,2
7,1.06086686606005,1,12,11,63,"2;1","pJWXg7zV",100,5,2,0,0.4,2
8,0.773069632406789,1,-6,11,57,"2;1","pJWXg7zV",100,5,2,0,0.4,2
9,0.680578529751876,1,1,11,58,"2;1","pJWXg7zV",100,5,2,0,0.4,2
10,0.65065072929624,1,-10,11,48,"2;1","pJWXg7zV",100,5,2,0,0.4,2
11,0.671361701361497,1,4,11,52,"2;1","pJWXg7zV",100,5,2,0,0.4,2
12,0.763895949888155,1,-2,11,50,"2;1","pJWXg7zV",100,5,2,0,0.4,2
13,0.654748153772054,1,-3,11,47,"2;1","pJWXg7zV",100,5,2,0,0.4,2
14,0.66817722377697,1,-1,11,46,"2;1","pJWXg7zV",100,5,2,0,0.4,2
15,1.01895907179066,1,-1,11,45,"2;1","pJWXg7zV",100,5,2,0,0.4,2
16,1.12680413881265,1,17,11,62,"2;1","pJWXg7zV",100,5,2,0,0.4,2
17,0.668233097179809,1,-12,11,50,"2;1","pJWXg7zV",100,5,2,0,0.4,2
18,0.667556778030885,1,-3,11,47,"2;1","pJWXg7zV",100,5,2,0,0.4,2
19,0.838685410426245,1,9,11,56,"2;1","pJWXg7zV",100,5,2,0,0.4,2
20,0.704588464586672,1,12,11,68,"2;1","pJWXg7zV",100,5,2,0,0.4,2
21,0.807067143982477,1,4,11,72,"2;1","pJWXg7zV",100,5,2,0,0.4,2
22,0.643940089932824,1,11,11,83,"2;1","pJWXg7zV",100,5,2,0,0.4,2
23,0.922622850344315,1,8,11,91,"2;1","pJWXg7zV",100,5,2,0,0.4,2
24,0.859293216149346,1,-14,11,77,"2;1","pJWXg7zV",100,5,2,0,0.4,2
25,0.996768567776014,1,5,11,82,"2;1","pJWXg7zV",100,5,2,0,0.4,2
