"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.11095699233094,1,3,1,3,"2;1","pegNfUPl",100,4,7,0,1.4,1
2,0.900151718040197,1,4,1,7,"2;1","pegNfUPl",100,4,7,0,1.4,1
3,0.5,1,0,1,7,"2;1","pegNfUPl",100,4,7,0,1.4,1
4,1.09767556750593,2,2,1,9,"2;1","pegNfUPl",100,4,7,0,1.4,1
5,0.547128887407457,2,0,1,9,"2;1","pegNfUPl",100,4,7,0,1.4,1
6,0.5,1,6,1,15,"2;1","pegNfUPl",100,4,7,0,1.4,1
7,1.15243921185117,1,5,1,20,"2;1","pegNfUPl",100,4,7,0,1.4,1
8,0.968737731531705,1,1,1,21,"2;1","pegNfUPl",100,4,7,0,1.4,1
9,0.936446930823974,1,3,1,24,"2;1","pegNfUPl",100,4,7,0,1.4,1
10,0.889546136691207,1,0,1,24,"2;1","pegNfUPl",100,4,7,0,1.4,1
11,0.904936015005354,2,3,1,27,"2;1","pegNfUPl",100,4,7,0,1.4,1
12,0.639197429711553,1,4,1,31,"2;1","pegNfUPl",100,4,7,0,1.4,1
13,0.967505645541848,2,1,1,32,"2;1","pegNfUPl",100,4,7,0,1.4,1
14,0.822597291782433,1,2,1,34,"2;1","pegNfUPl",100,4,7,0,1.4,1
15,0.942783104914474,2,3,1,37,"2;1","pegNfUPl",100,4,7,0,1.4,1
16,0.871346233694769,1,4,1,41,"2;1","pegNfUPl",100,4,7,0,1.4,1
17,0.818879127546151,1,1,1,42,"2;1","pegNfUPl",100,4,7,0,1.4,1
18,0.518828654802092,2,2,1,44,"2;1","pegNfUPl",100,4,7,0,1.4,1
19,0.5,2,3,1,47,"2;1","pegNfUPl",100,4,7,0,1.4,1
20,1.24621124635156,1,4,1,51,"2;1","pegNfUPl",100,4,7,0,1.4,1
1,0.573961804350656,1,-1,2,-1,"2;1","pegNfUPl",100,4,7,0,1.4,1
2,0.915012503010974,2,4,2,3,"2;1","pegNfUPl",100,4,7,0,1.4,1
3,1.3520623376271,2,6,2,9,"2;1","pegNfUPl",100,4,7,0,1.4,1
4,0.866926842576409,1,-4,2,5,"2;1","pegNfUPl",100,4,7,0,1.4,1
5,0.861249826137505,2,4,2,9,"2;1","pegNfUPl",100,4,7,0,1.4,1
6,0.760043897809733,2,3,2,12,"2;1","pegNfUPl",100,4,7,0,1.4,1
7,0.5,2,4,2,16,"2;1","pegNfUPl",100,4,7,0,1.4,1
8,0.824890173717128,2,8,2,24,"2;1","pegNfUPl",100,4,7,0,1.4,1
9,0.874221056608162,2,7,2,31,"2;1","pegNfUPl",100,4,7,0,1.4,1
10,1.13975799706385,1,20,2,51,"2;1","pegNfUPl",100,4,7,0,1.4,1
11,1.02614881597071,2,4,2,55,"2;1","pegNfUPl",100,4,7,0,1.4,1
12,0.63847017916991,2,4,2,59,"2;1","pegNfUPl",100,4,7,0,1.4,1
13,0.763541398055429,1,12,2,71,"2;1","pegNfUPl",100,4,7,0,1.4,1
14,0.938445682498118,2,5,2,76,"2;1","pegNfUPl",100,4,7,0,1.4,1
15,0.643196688059547,2,5,2,81,"2;1","pegNfUPl",100,4,7,0,1.4,1
16,0.554646122465128,2,2,2,83,"2;1","pegNfUPl",100,4,7,0,1.4,1
17,0.726763583726097,2,5,2,88,"2;1","pegNfUPl",100,4,7,0,1.4,1
18,0.814175064789419,2,3,2,91,"2;1","pegNfUPl",100,4,7,0,1.4,1
19,0.5,2,1,2,92,"2;1","pegNfUPl",100,4,7,0,1.4,1
20,1.1968760742019,1,11,2,103,"2;1","pegNfUPl",100,4,7,0,1.4,1
21,0.999304215029976,2,5,2,108,"2;1","pegNfUPl",100,4,7,0,1.4,1
22,1.06238563056153,2,3,2,111,"2;1","pegNfUPl",100,4,7,0,1.4,1
23,1.05899409922709,1,1,2,112,"2;1","pegNfUPl",100,4,7,0,1.4,1
24,0.669026854853082,2,5,2,117,"2;1","pegNfUPl",100,4,7,0,1.4,1
