"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.70454069732267,2,2,1,2,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
2,0.737280842870173,2,3,1,5,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
3,0.983340657146214,2,5,1,10,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
4,0.895417468947545,1,4,1,14,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
5,0.5,2,3,1,17,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
6,0.892288106549614,2,2,1,19,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
7,1.23416543400687,2,2,1,21,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
8,1.04842723170374,2,6,1,27,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
9,0.860223147306763,1,5,1,32,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
10,0.836803528130378,2,0,1,32,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
11,0.70866134860294,2,4,1,36,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
12,0.694613382265534,2,-1,1,35,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
13,0.62385111045285,2,1,1,36,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
14,0.508443263653872,2,2,1,38,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
15,0.697490956607621,1,0,1,38,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
16,1.0231684782169,2,6,1,44,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
17,0.799148497170107,2,1,1,45,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
18,0.5,2,1,1,46,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
19,0.813321589498406,2,3,1,49,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
20,0.716714030707735,2,7,1,56,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
1,0.72698558180052,1,-10,2,-10,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
2,0.5,2,5,2,-5,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
3,0.936191359796308,2,4,2,-1,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
4,0.635367169290819,2,5,2,4,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
5,0.541265082645802,2,2,2,6,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
6,0.891006363827709,2,3,2,9,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
7,0.985201861347131,2,3,2,12,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
8,0.690771011201898,2,4,2,16,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
9,1.12260643072776,2,3,2,19,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
10,1.04104656388516,1,10,2,29,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
11,1.01504429142449,2,6,2,35,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
12,1.01190606342318,2,4,2,39,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
13,1.02575211657027,2,9,2,48,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
14,0.95712581267177,2,3,2,51,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
15,0.513740113697279,1,2,2,53,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
16,0.5,2,5,2,58,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
17,1.00613437896455,2,4,2,62,"2;1","pfe8s9Lz",0,2,NA,0,0.97,1
