"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.937743684864054,1,1,1,1,"2;1","qPqK4Dgc",100,6,6,0,1.2,1
2,1.04291509498142,1,2,1,3,"2;1","qPqK4Dgc",100,6,6,0,1.2,1
3,0.683946205322634,1,2,1,5,"2;1","qPqK4Dgc",100,6,6,0,1.2,1
4,0.631180627988589,1,4,1,9,"2;1","qPqK4Dgc",100,6,6,0,1.2,1
5,0.931297155239529,1,8,1,17,"2;1","qPqK4Dgc",100,6,6,0,1.2,1
6,0.778774021739354,1,1,1,18,"2;1","qPqK4Dgc",100,6,6,0,1.2,1
7,0.833818115417701,1,2,1,20,"2;1","qPqK4Dgc",100,6,6,0,1.2,1
8,0.695222640783065,1,1,1,21,"2;1","qPqK4Dgc",100,6,6,0,1.2,1
9,0.829690970963247,1,3,1,24,"2;1","qPqK4Dgc",100,6,6,0,1.2,1
10,1.18377660514333,1,7,1,31,"2;1","qPqK4Dgc",100,6,6,0,1.2,1
11,1.09207055592088,1,4,1,35,"2;1","qPqK4Dgc",100,6,6,0,1.2,1
12,0.727651873412662,2,1,1,36,"2;1","qPqK4Dgc",100,6,6,0,1.2,1
13,1.0173586433203,2,-1,1,35,"2;1","qPqK4Dgc",100,6,6,0,1.2,1
14,0.738391106886268,1,2,1,37,"2;1","qPqK4Dgc",100,6,6,0,1.2,1
15,1.07025016518182,1,4,1,41,"2;1","qPqK4Dgc",100,6,6,0,1.2,1
16,0.950187546983068,2,0,1,41,"2;1","qPqK4Dgc",100,6,6,0,1.2,1
17,0.734409022852894,2,5,1,46,"2;1","qPqK4Dgc",100,6,6,0,1.2,1
18,0.644192263127789,2,6,1,52,"2;1","qPqK4Dgc",100,6,6,0,1.2,1
19,0.844731254326589,2,5,1,57,"2;1","qPqK4Dgc",100,6,6,0,1.2,1
20,0.700834509699597,2,0,1,57,"2;1","qPqK4Dgc",100,6,6,0,1.2,1
1,1.19450978972659,2,3,2,3,"1;2","qPqK4Dgc",100,6,6,0,1.2,1
2,0.824698651652809,1,1,2,4,"1;2","qPqK4Dgc",100,6,6,0,1.2,1
3,1.05091034243442,1,7,2,11,"1;2","qPqK4Dgc",100,6,6,0,1.2,1
4,0.702809842510646,1,8,2,19,"1;2","qPqK4Dgc",100,6,6,0,1.2,1
5,1.08280933314152,1,0,2,19,"1;2","qPqK4Dgc",100,6,6,0,1.2,1
6,0.5,2,-13,2,6,"1;2","qPqK4Dgc",100,6,6,0,1.2,1
7,0.972012674588744,2,0,2,6,"1;2","qPqK4Dgc",100,6,6,0,1.2,1
8,0.892155806300873,2,13,2,19,"1;2","qPqK4Dgc",100,6,6,0,1.2,1
9,0.6797406267713,2,8,2,27,"1;2","qPqK4Dgc",100,6,6,0,1.2,1
10,0.5,2,18,2,45,"1;2","qPqK4Dgc",100,6,6,0,1.2,1
11,1.17375821577644,2,15,2,60,"1;2","qPqK4Dgc",100,6,6,0,1.2,1
12,0.619435560436959,2,3,2,63,"1;2","qPqK4Dgc",100,6,6,0,1.2,1
13,0.745580086217471,2,-12,2,51,"1;2","qPqK4Dgc",100,6,6,0,1.2,1
14,1.1059861525774,2,-6,2,45,"1;2","qPqK4Dgc",100,6,6,0,1.2,1
15,0.725657500938091,2,18,2,63,"1;2","qPqK4Dgc",100,6,6,0,1.2,1
16,0.643220030414683,2,-8,2,55,"1;2","qPqK4Dgc",100,6,6,0,1.2,1
17,0.73147217815686,2,4,2,59,"1;2","qPqK4Dgc",100,6,6,0,1.2,1
18,0.537856577344037,1,2,2,61,"1;2","qPqK4Dgc",100,6,6,0,1.2,1
19,0.5,2,7,2,68,"1;2","qPqK4Dgc",100,6,6,0,1.2,1
20,0.908980738136075,2,5,2,73,"1;2","qPqK4Dgc",100,6,6,0,1.2,1
21,0.5,1,2,2,75,"1;2","qPqK4Dgc",100,6,6,0,1.2,1
22,0.930322344781576,2,3,2,78,"1;2","qPqK4Dgc",100,6,6,0,1.2,1
23,0.575934244853075,2,11,2,89,"1;2","qPqK4Dgc",100,6,6,0,1.2,1
24,0.690046281436244,2,5,2,94,"1;2","qPqK4Dgc",100,6,6,0,1.2,1
25,0.652553640781547,2,23,2,117,"1;2","qPqK4Dgc",100,6,6,0,1.2,1
