"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.909809212618607,1,4,1,4,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
2,0.814011244033354,2,4,1,8,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
3,1.08449839886615,2,1,1,9,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
4,0.612126623890619,2,2,1,11,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
5,1.03560162815498,1,5,1,16,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
6,0.708029584812267,2,4,1,20,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
7,0.782417882213385,1,5,1,25,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
8,0.790571758496855,1,3,1,28,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
9,0.777769444032286,2,3,1,31,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
10,0.802906656723622,1,7,1,38,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
11,0.588929345601784,1,5,1,43,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
12,0.590103493274746,1,5,1,48,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
13,0.570410926319627,2,5,1,53,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
14,0.637086304251623,1,4,1,57,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
15,1.02592522063128,1,4,1,61,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
16,0.638610565682889,2,6,1,67,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
17,0.956421347853742,2,3,1,70,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
18,0.988399517292917,2,2,1,72,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
19,1.08594312498572,1,-1,1,71,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
20,0.653663962996534,1,2,1,73,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
1,1.03810717131475,2,2,2,2,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
2,0.81839452470868,2,27,2,29,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
3,1.215346464948,1,5,2,34,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
4,0.626440574659414,1,3,2,37,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
5,1.10175639733281,1,8,2,45,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
6,1.02670245834029,2,2,2,47,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
7,0.612473193626595,2,-6,2,41,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
8,0.896764748324048,1,7,2,48,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
9,1.02045295053137,2,-7,2,41,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
10,0.663712710745368,2,0,2,41,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
11,0.87017964934975,1,9,2,50,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
12,1.17673048287435,2,-4,2,46,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
13,1.08351703654277,1,4,2,50,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
14,0.591015172444138,2,7,2,57,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
15,0.970325440583829,2,23,2,80,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
16,0.782709836041741,2,12,2,92,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
17,0.70135046694626,2,9,2,101,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
18,0.663199808175778,1,6,2,107,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
19,1.01169385021213,1,2,2,109,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
20,0.746500881388634,2,16,2,125,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
21,0.644422271905276,2,2,2,127,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
22,0.841685629590808,2,-7,2,120,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
23,0.696849131449989,2,9,2,129,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
24,0.657212415791067,2,4,2,133,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
25,1.09908022883407,1,-2,2,131,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
1,0.890415533464117,1,4,3,4,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
2,0.785579702285786,1,3,3,7,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
3,0.928897961947153,2,14,3,21,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
4,1.4257126551083,1,0,3,21,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
5,0.655810409985094,1,3,3,24,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
6,1.1231342212496,1,3,3,27,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
7,0.838660337930842,2,6,3,33,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
8,0.822561327988163,2,6,3,39,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
9,1.16324310074685,2,-6,3,33,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
10,0.5,2,-16,3,17,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
11,0.970771928720045,1,9,3,26,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
12,1.0271286766756,1,4,3,30,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
13,0.844121462042677,2,12,3,42,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
14,0.879783181712071,2,11,3,53,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
15,1.135634358421,1,1,3,54,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
16,0.653152996097285,2,-2,3,52,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
17,0.899197412799518,1,3,3,55,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
18,1.25987085987032,2,21,3,76,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
19,0.673603509990227,1,3,3,79,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
20,0.597903638873159,2,7,3,86,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
21,0.5,2,11,3,97,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
22,1.18762893698385,1,6,3,103,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
23,0.855658857230396,2,-15,3,88,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
24,0.589541020584076,1,5,3,93,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
25,0.5,2,7,3,100,"1;2","r5QPPHBQ",0,1,NA,1,0.74,2
1,0.5,1,14,4,14,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
2,1.22370830516285,2,3,4,17,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
3,1.22167885445068,1,3,4,20,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
4,0.623693123353773,1,-16,4,4,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
5,0.609545582363839,2,9,4,13,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
6,1.1631821227898,2,4,4,17,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
7,0.625310295100537,2,-2,4,15,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
8,0.5,2,6,4,21,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
9,0.976451892408893,2,5,4,26,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
10,1.41432196565501,2,6,4,32,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
11,0.885317004100749,1,-2,4,30,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
12,0.616456477661035,1,10,4,40,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
13,0.976676334617119,1,9,4,49,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
14,1.14931551328902,2,3,4,52,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
15,0.811416678081497,2,1,4,53,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
16,0.845770384378577,2,7,4,60,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
17,0.686270467447151,2,5,4,65,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
18,0.574128123037191,2,3,4,68,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
19,0.961272317854752,2,5,4,73,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
20,1.12099120762767,1,1,4,74,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
21,1.48744106066622,1,-4,4,70,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
22,0.582062267644445,1,21,4,91,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
23,0.526537187725442,1,-9,4,82,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
24,0.5,2,5,4,87,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
25,0.889936345369158,1,10,4,97,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
1,0.968931490289191,1,8,5,8,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
2,0.5,1,-9,5,-1,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
3,0.592671220335265,2,5,5,4,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
4,0.5,1,30,5,34,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
5,0.880996352982986,1,7,5,41,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
6,1.09360221458347,2,4,5,45,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
7,0.770703426141003,1,-19,5,26,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
8,0.5,2,1,5,27,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
9,0.888597718833535,1,9,5,36,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
10,0.5,2,4,5,40,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
11,0.678672020065224,2,8,5,48,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
12,0.5,1,-1,5,47,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
13,1.13485256664311,2,0,5,47,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
14,0.740374974148369,1,13,5,60,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
15,0.647428832903517,2,5,5,65,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
16,0.5,1,2,5,67,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
17,1.14752229598406,1,6,5,73,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
18,0.787178486147819,1,15,5,88,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
19,1.029307038933,1,18,5,106,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
20,1.1378201110927,2,6,5,112,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
21,0.988910227583644,2,7,5,119,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
22,0.744218968152168,1,-4,5,115,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
23,1.29703818486694,1,12,5,127,"2;1","r5QPPHBQ",0,1,NA,1,0.74,2
