"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.563496849460707,1,5,1,5,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
2,0.752047364517444,1,4,1,9,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
3,0.5,1,3,1,12,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
4,0.719038594948119,1,2,1,14,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
5,0.585617797915815,1,4,1,18,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
6,0.846835736636119,1,3,1,21,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
7,1.0437491013499,1,2,1,23,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
8,0.5,1,1,1,24,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
9,0.777691848067732,1,8,1,32,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
10,0.629559586298761,2,3,1,35,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
11,1.15601975885834,1,3,1,38,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
12,0.563978103856992,2,2,1,40,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
13,0.879975099849995,1,4,1,44,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
14,0.51392257676382,1,3,1,47,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
15,0.920156621555921,2,5,1,52,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
16,0.636718538189217,1,4,1,56,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
17,0.69204489351749,1,1,1,57,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
18,0.869424162521147,1,4,1,61,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
19,0.5,2,1,1,62,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
20,0.677643731688743,1,2,1,64,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
1,0.951402310601956,1,25,2,25,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
2,0.719618552756562,1,5,2,30,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
3,0.770662521275522,1,13,2,43,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
4,0.96136241957731,1,-4,2,39,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
5,0.5,1,18,2,57,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
6,1.19645941463752,1,-1,2,56,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
7,1.01870083412165,2,2,2,58,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
8,0.949363061869953,1,3,2,61,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
9,0.69728947352008,1,-7,2,54,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
10,0.916228620270727,2,2,2,56,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
11,1.02182699618266,1,-1,2,55,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
12,1.093308046872,2,5,2,60,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
13,0.723491741894598,1,-10,2,50,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
14,0.987976762519988,1,-3,2,47,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
15,1.24974635820452,1,28,2,75,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
16,0.865059475461666,1,22,2,97,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
17,0.730824007071525,1,8,2,105,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
18,0.574578301448731,1,-5,2,100,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
19,0.700857793189147,2,2,2,102,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
20,0.569663371049298,1,3,2,105,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
21,0.5,1,17,2,122,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
22,0.735075274402334,1,-3,2,119,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
23,0.763376893067251,1,-1,2,118,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
24,1.0009408228353,1,8,2,126,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
25,0.856825010418226,1,-13,2,113,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
1,0.858580418736849,2,6,3,6,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
2,0.793734924417296,1,1,3,7,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
3,0.593109587346078,1,0,3,7,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
4,0.995558664486862,2,1,3,8,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
5,0.887638156112766,1,2,3,10,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
6,0.972284449273532,2,-1,3,9,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
7,1.15088762009648,1,2,3,11,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
8,1.08990322050292,1,1,3,12,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
9,0.5,2,-21,3,-9,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
10,1.1305273103507,1,-2,3,-11,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
11,0.984454738600641,1,1,3,-10,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
12,0.813844002752898,2,-9,3,-19,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
13,0.735748424945259,1,2,3,-17,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
14,0.628749481368548,2,6,3,-11,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
15,0.5,1,2,3,-9,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
16,0.776325711474167,2,-1,3,-10,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
17,0.563083418208142,1,1,3,-9,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
18,1.05082215133331,1,3,3,-6,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
19,0.76925555479193,1,1,3,-5,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
20,0.5,1,-3,3,-8,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
21,0.512887330718242,1,-3,3,-11,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
22,0.797400306386335,1,5,3,-6,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
23,0.673651186657688,2,4,3,-2,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
24,0.832384890312201,1,1,3,-1,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
25,0.759009906055463,1,3,3,2,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
1,1.17012583192258,1,6,4,6,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
2,0.815517337706835,1,6,4,12,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
3,1.27224143493454,1,3,4,15,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
4,0.888356729847649,1,5,4,20,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
5,0.715839619495598,2,5,4,25,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
6,0.742988727780983,1,0,4,25,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
7,1.09890223262663,2,7,4,32,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
8,0.55580022221374,1,6,4,38,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
9,0.759628127981152,2,15,4,53,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
10,0.674986036697203,2,9,4,62,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
11,0.969186132586314,2,-2,4,60,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
12,0.778806900315747,2,15,4,75,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
13,0.8520405204302,2,6,4,81,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
14,1.08748071610343,2,-3,4,78,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
15,0.5,2,7,4,85,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
16,0.79407855801259,2,3,4,88,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
17,0.66140559165599,2,3,4,91,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
18,0.887843582653035,2,10,4,101,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
19,0.5,1,6,4,107,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
20,1.44540894452008,1,2,4,109,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
21,0.5,2,-3,4,106,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
22,0.79819909933849,2,10,4,116,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
23,0.5,1,4,4,120,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
24,0.823775940996124,1,4,4,124,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
25,0.905366510658139,2,-27,4,97,"1;2","r5zGFfpV",0,3,NA,0,0.79,1
1,1.13482515823978,1,-12,5,-12,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
2,1.3778977856943,1,12,5,0,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
3,0.5,1,16,5,16,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
4,0.801171129566557,1,7,5,23,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
5,0.807822541498799,1,-14,5,9,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
6,0.86755556386312,1,2,5,11,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
7,0.816667130479505,2,6,5,17,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
8,1.12533015316354,1,18,5,35,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
9,0.767284493986943,1,5,5,40,"2;1","r5zGFfpV",0,3,NA,0,0.79,1
