"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.946480169332893,2,1,1,1,"1;2","rWgj9Shi",0,3,NA,0,0.59,2
2,1.06941100718927,2,5,1,6,"1;2","rWgj9Shi",0,3,NA,0,0.59,2
3,0.814061954686572,2,5,1,11,"1;2","rWgj9Shi",0,3,NA,0,0.59,2
4,0.594570883360175,2,1,1,12,"1;2","rWgj9Shi",0,3,NA,0,0.59,2
5,0.926191146036142,2,4,1,16,"1;2","rWgj9Shi",0,3,NA,0,0.59,2
6,0.512078761446119,1,2,1,18,"1;2","rWgj9Shi",0,3,NA,0,0.59,2
7,0.847101237633136,2,2,1,20,"1;2","rWgj9Shi",0,3,NA,0,0.59,2
8,0.5,1,4,1,24,"1;2","rWgj9Shi",0,3,NA,0,0.59,2
9,0.657904690670561,2,-1,1,23,"1;2","rWgj9Shi",0,3,NA,0,0.59,2
10,0.5,1,1,1,24,"1;2","rWgj9Shi",0,3,NA,0,0.59,2
11,0.978763417249126,1,5,1,29,"1;2","rWgj9Shi",0,3,NA,0,0.59,2
12,1.07517542447396,2,-1,1,28,"1;2","rWgj9Shi",0,3,NA,0,0.59,2
13,0.571746805195355,1,1,1,29,"1;2","rWgj9Shi",0,3,NA,0,0.59,2
14,0.706204836593212,1,4,1,33,"1;2","rWgj9Shi",0,3,NA,0,0.59,2
15,0.672886712101694,1,1,1,34,"1;2","rWgj9Shi",0,3,NA,0,0.59,2
16,1.17790167291442,1,1,1,35,"1;2","rWgj9Shi",0,3,NA,0,0.59,2
17,0.624010485618117,1,1,1,36,"1;2","rWgj9Shi",0,3,NA,0,0.59,2
18,1.26220639552002,1,4,1,40,"1;2","rWgj9Shi",0,3,NA,0,0.59,2
19,1.32745281126627,1,5,1,45,"1;2","rWgj9Shi",0,3,NA,0,0.59,2
20,0.786287614351347,2,4,1,49,"1;2","rWgj9Shi",0,3,NA,0,0.59,2
1,0.81097407915195,2,-4,2,-4,"2;1","rWgj9Shi",0,3,NA,0,0.59,2
2,1.02624364686819,1,2,2,-2,"2;1","rWgj9Shi",0,3,NA,0,0.59,2
3,0.93272124463828,1,13,2,11,"2;1","rWgj9Shi",0,3,NA,0,0.59,2
4,1.22992436466881,1,-14,2,-3,"2;1","rWgj9Shi",0,3,NA,0,0.59,2
5,0.896335969767494,2,5,2,2,"2;1","rWgj9Shi",0,3,NA,0,0.59,2
6,0.931116824650787,1,-6,2,-4,"2;1","rWgj9Shi",0,3,NA,0,0.59,2
7,0.77143067194216,2,6,2,2,"2;1","rWgj9Shi",0,3,NA,0,0.59,2
8,1.13248798054498,2,4,2,6,"2;1","rWgj9Shi",0,3,NA,0,0.59,2
9,0.774466550645908,2,6,2,12,"2;1","rWgj9Shi",0,3,NA,0,0.59,2
10,0.629394161325944,2,6,2,18,"2;1","rWgj9Shi",0,3,NA,0,0.59,2
11,1.02456958269084,2,3,2,21,"2;1","rWgj9Shi",0,3,NA,0,0.59,2
12,0.992876102583088,2,4,2,25,"2;1","rWgj9Shi",0,3,NA,0,0.59,2
13,0.61464725111852,2,-1,2,24,"2;1","rWgj9Shi",0,3,NA,0,0.59,2
14,0.5,2,7,2,31,"2;1","rWgj9Shi",0,3,NA,0,0.59,2
15,1.22337682487254,2,2,2,33,"2;1","rWgj9Shi",0,3,NA,0,0.59,2
16,1.04781329531627,2,4,2,37,"2;1","rWgj9Shi",0,3,NA,0,0.59,2
17,0.5,1,10,2,47,"2;1","rWgj9Shi",0,3,NA,0,0.59,2
18,0.914728367301138,2,9,2,56,"2;1","rWgj9Shi",0,3,NA,0,0.59,2
19,0.864556556034327,2,-1,2,55,"2;1","rWgj9Shi",0,3,NA,0,0.59,2
