"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.624762796070242,2,4,1,4,"2;1","ridnRPrG",0,2,NA,0,0.85,1
2,1.2723330217635,1,3,1,7,"2;1","ridnRPrG",0,2,NA,0,0.85,1
3,0.5,1,-1,1,6,"2;1","ridnRPrG",0,2,NA,0,0.85,1
4,0.775919666130013,2,7,1,13,"2;1","ridnRPrG",0,2,NA,0,0.85,1
5,0.5,2,5,1,18,"2;1","ridnRPrG",0,2,NA,0,0.85,1
6,0.764899248100035,1,3,1,21,"2;1","ridnRPrG",0,2,NA,0,0.85,1
7,0.791822822133687,2,6,1,27,"2;1","ridnRPrG",0,2,NA,0,0.85,1
8,0.915269902926035,1,7,1,34,"2;1","ridnRPrG",0,2,NA,0,0.85,1
9,1.22824433251451,1,6,1,40,"2;1","ridnRPrG",0,2,NA,0,0.85,1
10,0.731266716579906,1,5,1,45,"2;1","ridnRPrG",0,2,NA,0,0.85,1
11,0.803494855428602,2,-3,1,42,"2;1","ridnRPrG",0,2,NA,0,0.85,1
12,0.633646442237964,1,2,1,44,"2;1","ridnRPrG",0,2,NA,0,0.85,1
13,0.665792312348865,1,1,1,45,"2;1","ridnRPrG",0,2,NA,0,0.85,1
14,0.729802520631122,2,0,1,45,"2;1","ridnRPrG",0,2,NA,0,0.85,1
15,1.38701457689986,2,4,1,49,"2;1","ridnRPrG",0,2,NA,0,0.85,1
16,1.03458135944961,2,4,1,53,"2;1","ridnRPrG",0,2,NA,0,0.85,1
17,1.27451689023945,1,3,1,56,"2;1","ridnRPrG",0,2,NA,0,0.85,1
18,0.5,2,4,1,60,"2;1","ridnRPrG",0,2,NA,0,0.85,1
19,0.5,2,3,1,63,"2;1","ridnRPrG",0,2,NA,0,0.85,1
20,0.601612409602446,2,4,1,67,"2;1","ridnRPrG",0,2,NA,0,0.85,1
1,0.646082605159995,1,7,2,7,"1;2","ridnRPrG",0,2,NA,0,0.85,1
2,0.691334960756345,1,5,2,12,"1;2","ridnRPrG",0,2,NA,0,0.85,1
3,1.00879113852641,1,0,2,12,"1;2","ridnRPrG",0,2,NA,0,0.85,1
4,0.5,2,8,2,20,"1;2","ridnRPrG",0,2,NA,0,0.85,1
5,0.892563635472349,2,11,2,31,"1;2","ridnRPrG",0,2,NA,0,0.85,1
6,0.705585228652864,2,10,2,41,"1;2","ridnRPrG",0,2,NA,0,0.85,1
7,1.02997933298621,1,3,2,44,"1;2","ridnRPrG",0,2,NA,0,0.85,1
8,0.55466661379729,2,19,2,63,"1;2","ridnRPrG",0,2,NA,0,0.85,1
9,0.678159967813317,1,8,2,71,"1;2","ridnRPrG",0,2,NA,0,0.85,1
10,1.29023682317968,1,6,2,77,"1;2","ridnRPrG",0,2,NA,0,0.85,1
11,0.804271979360224,2,-7,2,70,"1;2","ridnRPrG",0,2,NA,0,0.85,1
12,0.587739162431027,2,14,2,84,"1;2","ridnRPrG",0,2,NA,0,0.85,1
13,0.882718904328258,1,5,2,89,"1;2","ridnRPrG",0,2,NA,0,0.85,1
14,0.5,1,5,2,94,"1;2","ridnRPrG",0,2,NA,0,0.85,1
15,1.00987273650801,1,7,2,101,"1;2","ridnRPrG",0,2,NA,0,0.85,1
16,0.899450299960439,2,6,2,107,"1;2","ridnRPrG",0,2,NA,0,0.85,1
17,1.1337486240024,1,7,2,114,"1;2","ridnRPrG",0,2,NA,0,0.85,1
18,0.508693640680329,2,12,2,126,"1;2","ridnRPrG",0,2,NA,0,0.85,1
19,0.591205758386679,1,6,2,132,"1;2","ridnRPrG",0,2,NA,0,0.85,1
20,0.915575611718912,1,5,2,137,"1;2","ridnRPrG",0,2,NA,0,0.85,1
21,0.680618372410145,1,3,2,140,"1;2","ridnRPrG",0,2,NA,0,0.85,1
22,1.19179069363339,2,2,2,142,"1;2","ridnRPrG",0,2,NA,0,0.85,1
