"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.713481919779068,2,2,1,2,"2;1","rnsGPruj",0,3,NA,0,0.96,2
2,0.767873205414162,2,1,1,3,"2;1","rnsGPruj",0,3,NA,0,0.96,2
3,0.5,2,5,1,8,"2;1","rnsGPruj",0,3,NA,0,0.96,2
4,0.565466744327946,2,1,1,9,"2;1","rnsGPruj",0,3,NA,0,0.96,2
5,0.566341790317482,2,2,1,11,"2;1","rnsGPruj",0,3,NA,0,0.96,2
6,0.745694915637782,2,5,1,16,"2;1","rnsGPruj",0,3,NA,0,0.96,2
7,0.5,2,-1,1,15,"2;1","rnsGPruj",0,3,NA,0,0.96,2
8,0.504966596423416,2,0,1,15,"2;1","rnsGPruj",0,3,NA,0,0.96,2
9,0.875722330972517,2,6,1,21,"2;1","rnsGPruj",0,3,NA,0,0.96,2
10,0.63804193690455,2,3,1,24,"2;1","rnsGPruj",0,3,NA,0,0.96,2
11,1.11061278216374,2,5,1,29,"2;1","rnsGPruj",0,3,NA,0,0.96,2
12,1.05418576709994,2,3,1,32,"2;1","rnsGPruj",0,3,NA,0,0.96,2
13,0.766953273877111,2,5,1,37,"2;1","rnsGPruj",0,3,NA,0,0.96,2
14,0.5,2,4,1,41,"2;1","rnsGPruj",0,3,NA,0,0.96,2
15,0.877267310462776,2,1,1,42,"2;1","rnsGPruj",0,3,NA,0,0.96,2
16,0.534275560454421,2,6,1,48,"2;1","rnsGPruj",0,3,NA,0,0.96,2
17,0.500276356843226,2,5,1,53,"2;1","rnsGPruj",0,3,NA,0,0.96,2
18,0.547366260805203,2,2,1,55,"2;1","rnsGPruj",0,3,NA,0,0.96,2
19,0.665781690371153,1,2,1,57,"2;1","rnsGPruj",0,3,NA,0,0.96,2
20,0.802454588425261,2,4,1,61,"2;1","rnsGPruj",0,3,NA,0,0.96,2
1,0.914463535288071,2,9,2,9,"1;2","rnsGPruj",0,3,NA,0,0.96,2
