"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.814430438072771,1,2,1,2,"1;2","s3Ya2N2L",100,6,5,1,1,3
2,1.05784336729754,1,3,1,5,"1;2","s3Ya2N2L",100,6,5,1,1,3
3,0.503055771506731,1,4,1,9,"1;2","s3Ya2N2L",100,6,5,1,1,3
4,0.908742246794735,2,5,1,14,"1;2","s3Ya2N2L",100,6,5,1,1,3
5,0.859485528434561,2,3,1,17,"1;2","s3Ya2N2L",100,6,5,1,1,3
6,1.12776697232388,2,3,1,20,"1;2","s3Ya2N2L",100,6,5,1,1,3
7,0.904371747528029,1,2,1,22,"1;2","s3Ya2N2L",100,6,5,1,1,3
8,0.79130536994266,1,6,1,28,"1;2","s3Ya2N2L",100,6,5,1,1,3
9,0.735266648239996,1,4,1,32,"1;2","s3Ya2N2L",100,6,5,1,1,3
10,1.03168446992914,2,3,1,35,"1;2","s3Ya2N2L",100,6,5,1,1,3
11,0.5,2,5,1,40,"1;2","s3Ya2N2L",100,6,5,1,1,3
12,1.29481176841335,2,3,1,43,"1;2","s3Ya2N2L",100,6,5,1,1,3
13,0.957054725847553,1,3,1,46,"1;2","s3Ya2N2L",100,6,5,1,1,3
14,1.21929911069993,2,3,1,49,"1;2","s3Ya2N2L",100,6,5,1,1,3
15,1.52438342904923,1,4,1,53,"1;2","s3Ya2N2L",100,6,5,1,1,3
16,1.13638091274749,1,4,1,57,"1;2","s3Ya2N2L",100,6,5,1,1,3
17,1.3438719291057,2,3,1,60,"1;2","s3Ya2N2L",100,6,5,1,1,3
18,0.558144303080956,1,7,1,67,"1;2","s3Ya2N2L",100,6,5,1,1,3
19,0.977095696900711,2,2,1,69,"1;2","s3Ya2N2L",100,6,5,1,1,3
20,0.686184641280668,1,3,1,72,"1;2","s3Ya2N2L",100,6,5,1,1,3
1,0.678818283428827,1,10,2,10,"2;1","s3Ya2N2L",100,6,5,1,1,3
2,0.735711231560633,1,11,2,21,"2;1","s3Ya2N2L",100,6,5,1,1,3
3,0.629198562528192,1,-1,2,20,"2;1","s3Ya2N2L",100,6,5,1,1,3
4,0.79108240484043,2,1,2,21,"2;1","s3Ya2N2L",100,6,5,1,1,3
5,0.750921034633999,2,0,2,21,"2;1","s3Ya2N2L",100,6,5,1,1,3
6,0.70159647761399,1,-1,2,20,"2;1","s3Ya2N2L",100,6,5,1,1,3
7,0.647435075566667,1,-3,2,17,"2;1","s3Ya2N2L",100,6,5,1,1,3
8,0.5477565624839,1,5,2,22,"2;1","s3Ya2N2L",100,6,5,1,1,3
9,0.641019278227219,1,11,2,33,"2;1","s3Ya2N2L",100,6,5,1,1,3
10,0.945672488939365,2,3,2,36,"2;1","s3Ya2N2L",100,6,5,1,1,3
11,0.959072465774343,1,14,2,50,"2;1","s3Ya2N2L",100,6,5,1,1,3
12,0.729566417048696,1,8,2,58,"2;1","s3Ya2N2L",100,6,5,1,1,3
13,0.919751504586121,1,-1,2,57,"2;1","s3Ya2N2L",100,6,5,1,1,3
14,1.12803639557207,2,0,2,57,"2;1","s3Ya2N2L",100,6,5,1,1,3
15,0.5,2,3,2,60,"2;1","s3Ya2N2L",100,6,5,1,1,3
16,0.94771873880247,2,-2,2,58,"2;1","s3Ya2N2L",100,6,5,1,1,3
17,0.5,2,0,2,58,"2;1","s3Ya2N2L",100,6,5,1,1,3
18,0.5,1,0,2,58,"2;1","s3Ya2N2L",100,6,5,1,1,3
19,0.732851383954088,1,17,2,75,"2;1","s3Ya2N2L",100,6,5,1,1,3
20,0.595043184492577,1,22,2,97,"2;1","s3Ya2N2L",100,6,5,1,1,3
21,1.01077884714732,1,6,2,103,"2;1","s3Ya2N2L",100,6,5,1,1,3
22,0.640964648816545,2,6,2,109,"2;1","s3Ya2N2L",100,6,5,1,1,3
23,0.5,1,7,2,116,"2;1","s3Ya2N2L",100,6,5,1,1,3
24,1.08876927812827,1,5,2,121,"2;1","s3Ya2N2L",100,6,5,1,1,3
